"","JOURNAL","YEAR","VOLUME","ISSUE","editor_id","FIRST_NAME","MIDDLE_NAME","LAST_NAME","TITLE","CATEGORY","INST","UNIT","CITY","STATE","COUNTRY","geo.code","NOTES","GENDER","check"
"66","JZOOL",2008,NA,NA,3934,"Rob",NA,"Williams",NA,NA,"missing",NA,NA,NA,NA,"CAN",NA,NA,"2x"
"67","JZOOL",2009,NA,NA,2763,"P",NA,"Bateman",NA,NA,"missing",NA,NA,NA,NA,"ZAF",NA,NA,"2x"
"68","JZOOL",2009,NA,"1",3304,"Steven","Le","Comber","Reviews Editor",NA,"University of London",NA,NA,NA,"England","GBR",NA,"M","2x"
"69","JZOOL",2009,NA,"1",122,"Andrew",NA,"Kitchener","Editor",NA,"National Museums Scotland",NA,NA,NA,"Scotland","GBR",NA,"M","spotcheck"
"70","JZOOL",2009,NA,NA,2682,"N",NA,"Raine",NA,NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"2x"
"71","JZOOL",2010,NA,NA,2659,"Noga",NA,"Kronfeld-Schor",NA,NA,"University of Tel Aviv",NA,NA,NA,NA,"ISR",NA,NA,"spotcheck"
"72","JZOOL",2010,NA,NA,2550,"Michael",NA,"Scantlebury",NA,NA,"Univeristy of Pretoria",NA,NA,NA,NA,NA,NA,NA,"spotcheck"
"73","JZOOL",2011,NA,NA,939,"E",NA,"Briefer",NA,NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"2x"
"74","JZOOL",2011,NA,NA,664,"D",NA,"Dechmann",NA,NA,"missing",NA,NA,NA,NA,"DEU",NA,NA,"2x"
"75","JZOOL",2011,NA,NA,2807,"P","A","Fleming",NA,NA,"missing",NA,NA,NA,NA,"AUS",NA,NA,"2x"
"76","JZOOL",2011,NA,NA,103,"A",NA,"Herrel",NA,NA,"missing",NA,NA,NA,NA,"FRA",NA,NA,"2x"
"77","JZOOL",2011,NA,NA,3110,"R",NA,"Jenner",NA,NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"2x"
"78","JZOOL",2011,NA,"1",3120,"Rob",NA,"Knell","Editor",NA,"University of London",NA,NA,NA,"England","GBR",NA,"M","2x"
"79","JZOOL",2011,NA,"1",1333,"Heike",NA,"Lutermann","Sections Editor",NA,"Unversity of Pretoria",NA,NA,NA,"South Africa","ZAF",NA,"F","2x"
"80","JZOOL",2011,NA,NA,2681,"N",NA,"Raihani",NA,NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"2x"
"81","JZOOL",2011,NA,"1",2540,"Mark-Oliver",NA,"Rodel","Editor",NA,"Humboldt University Berlin",NA,NA,NA,"Germany","DEU",NA,"M","2x"
"82","JZOOL",2011,NA,NA,2708,"N",NA,"Yamaguchi",NA,NA,"missing",NA,NA,NA,NA,"QAT",NA,NA,"2x"
"83","JZOOL",2011,NA,"1",1280,"Gunther",NA,"Zupanc","Editor",NA,"Northeastern University",NA,NA,NA,"USA","USA",NA,"M","2x"
"84","JZOOL",2012,"286","1",3686,"Virginia",NA,"Hayssen","Editor",NA,"Smith College",NA,NA,NA,"USA","USA",NA,"F","spotcheck"
"85","JZOOL",2013,NA,NA,1466,"J",NA,"Bielby",NA,NA,"missing",NA,NA,NA,NA,"GBR",NA,NA,"2x"
"86","JZOOL",2013,NA,NA,55,"Agnes",NA,"Deuai",NA,NA,"Museum National d'Histoire Naturelle",NA,NA,NA,NA,"FRA",NA,NA,"spotcheck"
"87","JZOOL",2013,NA,NA,3591,"Tim",NA,"Littlewood",NA,NA,"Natural History Museum, UK",NA,NA,NA,NA,"GBR",NA,NA,"spotcheck"
"88","JZOOL",2013,"289","1",1941,"Jane",NA,"Waterman","Editor",NA,"University of Manitoba",NA,NA,NA,"Canada","CAN",NA,"F","spotcheck"
