,JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,UNIT,CITY,STATE,COUNTRY,check,Please note here if INCORRECT
1,PLANTECOL,1985,2281,Mike,P,Austin,CSIRO,NA,Canberra,NA,Australia,2x,
2,PLANTECOL,1985,1457,James,S,Beard,Vegetation Survey of Western Australia,NA,Applecross,Western Australia,Australia,spotcheck,
5,PLANTECOL,1985,1593,Jean-Marie,NA,Gehu,CSIRO Sustainable Ecosystems,NA,Paris,NA,France,2x,
7,PLANTECOL,1985,705,David,C,Glenn-Lewin,Iowa State University,NA,Ames,Iowa,United States,2x,
9,PLANTECOL,1985,3749,Wolfgang,NA,Holzner,University of Pittsburgh,NA,Vienna,NA,Austria,2x,
10,PLANTECOL,1985,1092,Frank,NA,Klotzli,University of Potsdam,NA,Zurich,NA,Switzerland,spotcheck,
11,PLANTECOL,1985,139,Ariel,E,Lugo,USDA Forest Service,NA,Rio Piedras,NA,Puerto Rico,2x,
13,PLANTECOL,1985,1035,Eddy,NA,VanDerMaarel,Rutgers University,NA,Uppsala,NA,Sweden,2x,
14,PLANTECOL,1985,2604,Marinus,JA,Werger,Ohio State University,NA,Utrecht,NA,Netherlands,2x,
18,PLANTECOL,1987,2345,Max,NA,Debussche,CSIRO,NA,Montpellier,NA,France,spotcheck,
23,PLANTECOL,1988,1849,Jelte,NA,Rozema,University of Stirling,NA,Amsterdam,NA,The Netherlands,2x,
24,PLANTECOL,1988,576,Cajo,JF,TerBraak,Wageningen University,NA,NA,NA,The Netherlands,spotcheck,
25,PLANTECOL,1988,3658,Timothy,C,Whitmore,University of Colorado-Boulder,NA,Oxford,NA,UK,2x,
31,PLANTECOL,1990,2006,Kazue,NA,Fujiwara,Yokohama National University,"Department of Vegetation Science, Institute of Environmental Science & Technology",Yokohama,NA,Japan,2x,
32,PLANTECOL,1990,282,Brij,NA,Gopal,Jawaharial Nehru University,School of Enviromental Sciences,New Delhi,NA,India,2x,
34,PLANTECOL,1990,2033,Konstantin,O,Korotkov,Institute of Animal Evolutionary Morphology and Ecology,Sukatchev Laboratory of General Ecology and Biogeocoenology,Moscow,NA,USSR,spotcheck,
37,PLANTECOL,1990,139,Ariel,E,Lugo,Center for Energy & Environmental Research,Tropical and World Carbon Budget Division,San Juan,NA,Puerto Rico,2x,
40,PLANTECOL,1990,153,Atsushi,NA,Miyawaki,Yokohama National University,"Department of Vegetation Science, Institute of Environmental Science & Technology",Yokohama,NA,Japan,2x,
41,PLANTECOL,1990,2882,Pier,L,Nimis,University of Trieste,"Dipartimento di Biologia, Sezione di Geobotanica et Ecologia",Trieste,NA,Italy,2x,
42,PLANTECOL,1990,1849,Jelte,NA,Rozema,Vrije Universiteit,Faculteit Biologie,Amsterdam,NA,The Netherlands,spotcheck,
43,PLANTECOL,1990,2737,Osvaldo,E,Sala,University of Buenos Aires,Departamento de Ecologêa,Buenos Aires,NA,Argentina,2x,
