"JOURNAL","YEAR","VOLUME","ISSUE","TITLE","NAME","INST","COUNTRY"
"BITR",2008,40,1,"SE","Mauro Galetti","UNESP University Estadual Paulista","Brazil"
"BITR",2008,40,1,"SE","Thomas Lewinsohn","UNICAMP State University of Campinas","Brazil"
"BITR",2009,41,1,"SE","Mauro Galetti","UNESP University Estadual Paulista","Brazil"
"BITR",2009,41,1,"SE","Thomas Lewinsohn","UNICAMP State University of Campinas","Brazil"
"BITR",2010,42,1,"SE","Thomas Lewinsohn","UNICAMP State University of Campinas","Brazil"
"BITR",2011,43,1,"SE","Thomas Lewinsohn","UNICAMP State University of Campinas","Brazil"
"BITR",2012,44,1,"SE","Thomas Lewinsohn","UNICAMP State University of Campinas","Brazil"
"BITR",2013,45,1,"SE","Thomas Lewinsohn","UNICAMP State University of Campinas","Brazil"
"BITR",2013,45,1,"SE","Heraldo Vasconcelos","Universidade Federal De Uberlandia","Brazil"
"BITR",2001,33,1,"SE","Augusto C Franco","University of Brasilia","Brazil "
"BITR",2002,34,1,"SE","Augusto C Franco","University of Brasilia","Brazil "
"BITR",2003,35,1,"SE","Augusto C Franco","University of Brasilia","Brazil "
"BITR",2004,36,1,"SE","Augusto C Franco","University of Brasilia","Brazil "
"BITR",2005,37,1,"SE","Augusto C Franco","University of Brasilia","Brazil "
"BITR",1998,30,1,"SE","Marina Wong","Brunei Museum","Brunei"
"BITR",1999,31,1,"SE","Marina Wong","Brunei Museum","Brunei"
"BITR",2004,36,1,"SE","Colin Chapman","McGill Univ","Canada"
"BITR",2005,37,1,"SE","Colin Chapman","McGill Univ","Canada"
"BITR",2005,37,1,"SE","Arturo Sanchez-Azofeifa","University of Alberta","Canada"
"BITR",2006,38,1,"SE","Arturo Sanchez-Azofeifa","University of Alberta","Canada"
"BITR",2007,39,1,"SE","Arturo Sanchez-Azofeifa","University of Alberta","Canada"
"BITR",2001,33,1,"SE","David Dudgeon","Freshwater biology University of Hong Kong","China"
"BITR",2002,34,1,"SE","David Dudgeon","Freshwater biology University of Hong Kong","China"
"BITR",2002,34,1,"SE","Kevin Hyde","University of Hong Kong","China"
"BITR",2003,35,1,"SE","David Dudgeon","Freshwater biology University of Hong Kong","China"
"BITR",2003,35,1,"SE","Kevin Hyde","University of Hong Kong","China"
"BITR",2004,36,1,"SE","David Dudgeon","Freshwater biology University of Hong Kong","China"
"BITR",2004,36,1,"SE","Kevin Hyde","University of Hong Kong","China"
"BITR",2005,37,1,"SE","David Dudgeon","Freshwater biology University of Hong Kong","China"
"BITR",2005,37,1,"SE","Kevin Hyde","University of Hong Kong","China"
"BITR",2006,38,1,"SE","David Dudgeon","Freshwater biology University of Hong Kong","China"
"BITR",2006,38,1,"SE","Kevin Hyde","University of Hong Kong","China"
"BITR",2006,38,1,"SE","Qing-Jun Li","Xishuangbanna Tropical Botanical Garden","China"
"BITR",2007,39,1,"SE","David Dudgeon","Freshwater biology University of Hong Kong","China"
"BITR",2007,39,1,"SE","Kevin Hyde","University of Hong Kong","China"
"BITR",2007,39,1,"SE","Qing-Jun Li","Xishuangbanna Tropical Botanical Garden","China"
"BITR",2008,40,1,"SE","David Dudgeon","Freshwater biology University of Hong Kong","China"
"BITR",2008,40,1,"SE","Kevin Hyde","University of Hong Kong","China"
"BITR",2008,40,1,"SE","Qing-Jun Li","Xishuangbanna Tropical Botanical Garden","China"
"BITR",2009,41,1,"SE","Qing-Jun Li","Xishuangbanna Tropical Botanical Garden","China"
"BITR",2010,42,1,"SE","Qing-Jun Li","Xishuangbanna Tropical Botanical Garden","China"
"BITR",2011,43,1,"SE","Qing-Jun Li","Xishuangbanna Tropical Botanical Garden","China"
"BITR",2013,45,1,"SE","Ferry Silk","Xishuangbanna Tropical Botanical Garden","China"
"BITR",2009,41,1,"SE","Adolfo Amezquita","University of Los Andes Bogota","Colombia"
"BITR",2010,42,1,"SE","Adolfo Amezquita","University of Los Andes Bogota","Colombia"
"BITR",2011,43,1,"SE","Adolfo Amezquita","University of Los Andes Bogota","Colombia"
"BITR",2001,33,1,"SE","Oscar Rocha","Universidad de Costa Rica","Costa Rica"
"BITR",2002,34,1,"SE","Oscar Rocha","Universidad de Costa Rica","Costa Rica"
"BITR",2003,35,1,"SE","Oscar Rocha","Universidad de Costa Rica","Costa Rica"
"BITR",2008,40,1,"SE","Bryan Finegan","CATIE Center for Tropical Agricultural Research and Education","Costa Rica"
"BITR",2009,41,1,"SE","Bryan Finegan","CATIE Center for Tropical Agricultural Research and Education","Costa Rica"
"BITR",2010,42,1,"SE","Bryan Finegan","CATIE Center for Tropical Agricultural Research and Education","Costa Rica"
"BITR",2011,43,1,"SE","Bryan Finegan","CATIE Center for Tropical Agricultural Research and Education","Costa Rica"
"BITR",2012,44,1,"SE","Bryan Finegan","CATIE Center for Tropical Agricultural Research and Education","Costa Rica"
"BITR",2013,45,1,"SE","Bryan Finegan","CATIE Center for Tropical Agricultural Research and Education","Costa Rica"
"BITR",2005,37,1,"SE","Vojtech Novotny ","Czech Academy of Sciences","Czech Republic"
"BITR",2006,38,1,"SE","Vojtech Novotny ","Czech Academy of Sciences","Czech Republic"
"BITR",2007,39,1,"SE","Vojtech Novotny ","Czech Academy of Sciences","Czech Republic"
"BITR",2008,40,1,"SE","Vojtech Novotny ","Czech Academy of Sciences","Czech Republic"
"BITR",2009,41,1,"SE","Vojtech Novotny ","Czech Academy of Sciences","Czech Republic"
"BITR",2010,42,1,"SE","Vojtech Novotny ","Czech Academy of Sciences","Czech Republic"
"BITR",2011,43,1,"SE","Vojtech Novotny ","Czech Academy of Sciences","Czech Republic"
"BITR",1987,19,1,"SE","Ghillean T Prance","Royal Botanic Gardens Kew Richmond","England"
"BITR",1988,20,1,"SE","Ghillean T Prance","Royal Botanic Gardens Kew Richmond","England"
"BITR",1989,21,1,"SE","Ghillean T Prance","Royal Botanic Gardens Kew Richmond","England"
"BITR",1990,22,1,"SE","Ghillean T Prance","Royal Botanic Gardens Kew Richmond","England"
"BITR",1991,23,1,"SE","Ghillean T Prance","Royal Botanic Gardens Kew Richmond","England"
"BITR",1992,24,1,"SE","Ghillean T Prance","Royal Botanic Gardens Kew Richmond","England"
"BITR",1993,25,1,"SE","Ghillean T Prance","Royal Botanic Gardens Kew Richmond","England"
"BITR",1994,26,1,"SE","Ghillean T Prance","Royal Botanic Gardens Kew Richmond","England"
"BITR",2005,37,1,"SE","Carlos Peres","University of East Anglia","England"
"BITR",2006,38,1,"SE","Carlos Peres","University of East Anglia","England"
"BITR",2007,39,1,"SE","Carlos Peres","University of East Anglia","England"
"BITR",2012,44,1,"SE","Masresha Fetene","Addis Ababa University","Ethiopia"
"BITR",2013,45,1,"SE","Masresha Fetene","Addis Ababa University","Ethiopia"
"BITR",2004,36,1,"SE","Hanna Tuomisto","University of Turku","Finland"
"BITR",2005,37,1,"SE","Hanna Tuomisto","University of Turku","Finland"
"BITR",2006,38,1,"SE","Hanna Tuomisto","University of Turku","Finland"
"BITR",2007,39,1,"SE","Hanna Tuomisto","University of Turku","Finland"
"BITR",1987,19,1,"SE","Francis Halle","Institut Botanique","France"
"BITR",1988,20,1,"SE","Francis Halle","Institut Botanique","France"
"BITR",1989,21,1,"SE","Francis Halle","Institut Botanique","France"
"BITR",1990,22,1,"SE","Francis Halle","Institut Botanique","France"
"BITR",1991,23,1,"SE","Francis Halle","Institut Botanique","France"
"BITR",1992,24,1,"SE","Francis Halle","Institut Botanique","France"
"BITR",1993,25,1,"SE","Francis Halle","Institut Botanique","France"
"BITR",1994,26,1,"SE","Francis Halle","Institut Botanique","France"
"BITR",1995,27,1,"SE","Francis Halle","Institut Botanique","France"
"BITR",2012,44,1,"SE","Christopher Baraloto","UMR EcoFoG","French Guiana"
"BITR",2004,36,1,"SE","Elisabeth K V Kalko","University of Ulm","Germany"
"BITR",2005,37,1,"SE","Elisabeth K V Kalko","University of Ulm","Germany"
"BITR",2006,38,1,"SE","Elisabeth K V Kalko","University of Ulm","Germany"
"BITR",2009,41,1,"SE","Nina Farwig","PhiIipps-University Marburg","Germany"
"BITR",2009,41,1,"SE","Nico Bluthgen","University of Wurzburg","Germany"
"BITR",2010,42,1,"SE","Nina Farwig","PhiIipps-University Marburg","Germany"
"BITR",2010,42,1,"SE","Alexandra-Maria Klein","University of Gottingen","Germany"
"BITR",2010,42,1,"SE","Nico Bluthgen","University of Wurzburg","Germany"
"BITR",2011,43,1,"SE","Nina Farwig","PhiIipps-University Marburg","Germany"
"BITR",2011,43,1,"SE","Alexandra-Maria Klein","University of Gottingen","Germany"
"BITR",2011,43,1,"SE","Nico Bluthgen","University of Wurzburg","Germany"
"BITR",2012,44,1,"SE","Nina Farwig","PhiIipps-University Marburg","Germany"
"BITR",2012,44,1,"SE","Alexandra-Maria Klein","University of Gottingen","Germany"
"BITR",2012,44,1,"SE","Nico Bluthgen","University of Wurzburg","Germany"
"BITR",2013,45,1,"SE","Nina Farwig","PhiIipps-University Marburg","Germany"
"BITR",2013,45,1,"SE","Alexandra-Maria Klein","University of Gottingen","Germany"
"BITR",2013,45,1,"SE","Nico Bluthgen","University of Wurzburg","Germany"
"BITR",2007,39,1,"SE","Rainer Wirth","University of Kaiserslautern","Germany "
"BITR",2008,40,1,"SE","Rainer Wirth","University of Kaiserslautern","Germany "
"BITR",2009,41,1,"SE","Rainer Wirth","University of Kaiserslautern","Germany "
"BITR",2010,42,1,"SE","Rainer Wirth","University of Kaiserslautern","Germany "
"BITR",2011,43,1,"SE","Rainer Wirth","University of Kaiserslautern","Germany "
"BITR",2012,44,1,"SE","Stefan Lotters","Trier University","Germany "
"BITR",2013,45,1,"SE","Stefan Lotters","Trier University","Germany "
"BITR",2003,35,1,"SE","Renee M Borges","Indian Inst Science Bangalore","India"
"BITR",2003,35,1,"SE","Raghavendra Gadagkar","Indian Inst Science Bangalore","India"
"BITR",2003,35,1,"SE","R Uma Shaanker","University of Agricultural Science Bangalore","India"
"BITR",2004,36,1,"SE","Renee M Borges","Indian Inst Science Bangalore","India"
