,JOURNAL,YEAR,VOLUME,ISSUE,TITLE,NAME,FIRST_NAME.x,MIDDLE_NAME.x,LAST_NAME.x,COUNTRY.x,GENDER,CATEGORY,NOTES,editor_id,source.x,FIRST_NAME.y,MIDDLE_NAME.y,LAST_NAME.y,INST,UNIT,CITY,STATE,COUNTRY.y,source.y,double.check
173,AGRONOMY,2008,100,1,SE,Ronald Gehi,Ronald,,Gehi,USA,M,SE,NA,3070,ChoDryad,Ronald,NA,Gehl,NA,NA,Saint George,Kansas,USA,SciWri17,last_name
174,AGRONOMY,2009,101,1,SE,William Amderson,William,,Amderson,USA,M,SE,NA,3707,ChoDryad,William,NA,Anderson,US Department of Agriculture,ARS Crop Genetics and Breeding Research Unit,Tifton,Georgia,USA,SciWri17,last_name
175,AGRONOMY,2010,102,1,SE,Saseendran Anapali,Saseendran,,Anapali,USA,M,SE,NA,3268,ChoDryad,Saseendran,NA,Anapalli,US Department of Agriculture,ARS,NA,NA,USA,SciWri17,last_name
176,AGRONOMY,2010,102,1,SE,William Amderson,William,,Amderson,USA,M,SE,NA,3707,ChoDryad,William,NA,Anderson,US Department of Agriculture,ARS Crop Genetics and Breeding Research Unit,Tifton,Georgia,USA,SciWri17,last_name
177,AGRONOMY,2011,103,1,SE,Saseendran Anapali,Saseendran,,Anapali,USA,M,SE,NA,3268,ChoDryad,Saseendran,NA,Anapalli,US Department of Agriculture,ARS,NA,NA,USA,SciWri17,last_name
178,AGRONOMY,2011,103,1,SE,William Amderson,William,,Amderson,USA,M,SE,NA,3707,ChoDryad,William,NA,Anderson,US Department of Agriculture,ARS Crop Genetics and Breeding Research Unit,Tifton,Georgia,USA,SciWri17,last_name
179,AGRONOMY,2012,104,1,SE,Saseendran Anapali,Saseendran,,Anapali,USA,M,SE,NA,3268,ChoDryad,Saseendran,NA,Anapalli,US Department of Agriculture,ARS,NA,NA,USA,SciWri17,last_name
180,AGRONOMY,2012,104,1,SE,William Amderson,William,,Amderson,USA,M,SE,NA,3707,ChoDryad,William,NA,Anderson,US Department of Agriculture,ARS Crop Genetics and Breeding Research Unit,Tifton,Georgia,USA,SciWri17,last_name
192,OIKOS,2006,112,1,Subject.Editor,Kathy Sudig,Kathy,,Sudig,USA,NA,SE,NA,2100,EspinDryad,Kathy,NA,Suding,NA,NA,Irvine,CA,USA,SciWri17,last_name
193,OIKOS,2007,116,1,Subject.Editor,Kathy Sudig,Kathy,,Sudig,USA,NA,SE,NA,2100,EspinDryad,Kathy,NA,Suding,NA,NA,Irvine,CA,USA,SciWri17,last_name
152,JTE,1985,1,1,EIC,Adrian G Marshall,Adrian,G,Marshall,United Kingdom,M,EIC,NA,146,ChoDryad,Adrian,Green,Marshall,University of Aberdeen,Department of Zoology,Aberdeen,Scotland,United Kingdom,SciWri17,middle_name
153,JTE,1990,6,1,EIC,Adrian G Marshall,Adrian,G,Marshall,United Kingdom,M,EIC,NA,146,ChoDryad,Adrian,Green,Marshall,University of Aberdeen,Department of Zoology,Aberdeen,Scotland,United Kingdom,SciWri17,middle_name
154,JTE,1991,7,1,EIC,Adrian G Marshall,Adrian,G,Marshall,United Kingdom,M,EIC,NA,146,ChoDryad,Adrian,Green,Marshall,University of Aberdeen,Department of Zoology,Aberdeen,Scotland,United Kingdom,SciWri17,middle_name
155,JTE,1992,8,1,EIC,Adrian G Marshall,Adrian,G,Marshall,United Kingdom,M,EIC,NA,146,ChoDryad,Adrian,Green,Marshall,University of Aberdeen,Department of Zoology,Aberdeen,Scotland,United Kingdom,SciWri17,middle_name
156,JTE,1993,9,1,EIC,Adrian G Marshall,Adrian,G,Marshall,United Kingdom,M,EIC,NA,146,ChoDryad,Adrian,Green,Marshall,University of Aberdeen,Department of Zoology,Aberdeen,Scotland,United Kingdom,SciWri17,middle_name
157,JTE,1994,10,1,EIC,Adrian G Marshall,Adrian,G,Marshall,United Kingdom,M,EIC,NA,146,ChoDryad,Adrian,Green,Marshall,University of Aberdeen,Department of Zoology,Aberdeen,Scotland,United Kingdom,SciWri17,middle_name
158,JTE,1995,11,1,AE,Adrian G Marshall,Adrian,G,Marshall,United Kingdom,M,AE,NA,146,ChoDryad,Adrian,Green,Marshall,University of Aberdeen,Department of Zoology,Aberdeen,Scotland,United Kingdom,SciWri17,middle_name
166,JTE,1987,3,1,Editor,Adrian Marshall,Adrian,,Marshall,United Kingdom,NA,EIC,NA,146,EspinDryad,Adrian,Green,Marshall,University of Aberdeen,Department of Zoology,Aberdeen,Scotland,United Kingdom,SciWri17,middle_name
167,JTE,1988,4,1,Editor,Adrian Marshall,Adrian,,Marshall,United Kingdom,NA,EIC,NA,146,EspinDryad,Adrian,Green,Marshall,University of Aberdeen,Department of Zoology,Aberdeen,Scotland,United Kingdom,SciWri17,middle_name
168,JTE,1989,5,1,Editor,Adrian Marshall,Adrian,,Marshall,United Kingdom,NA,EIC,NA,146,EspinDryad,Adrian,Green,Marshall,University of Aberdeen,Department of Zoology,Aberdeen,Scotland,United Kingdom,SciWri17,middle_name
151,JECOL,1985,73,1,SE,J Grace,J,,Grace,United Kingdom,M,SE,probJohnGraceUofEdinborough,3892,ChoDryad,James ,B.,Grace,NA,NA,Baton Rouge,Louisiana,USA,SciWri17,middle_name
143,AGRONOMY,2011,103,1,SE,Johnathon Holman,Johnathon,,Holman,USA,M,SE,NA,1642,ChoDryad,Johnathon,D,Holman,Kansas State University,SW Research Extension Center,Garden City,Kansas,USA,SciWri17,middle_name
144,AGRONOMY,2012,104,1,SE,Johnathon Holman,Johnathon,,Holman,USA,M,SE,NA,1642,ChoDryad,Johnathon,D,Holman,Kansas State University,SW Research Extension Center,Garden City,Kansas,USA,SciWri17,middle_name
145,AGRONOMY,2013,105,1,SE,Johnathon Holman,Johnathon,,Holman,USA,M,SE,NA,1642,ChoDryad,Johnathon,D,Holman,Kansas State University,SW Research Extension Center,Garden City,Kansas,USA,SciWri17,middle_name
146,CONBIO,1999,13,1,SE,MarthaJ Groom,MarthaJ,,Groom,USA,F,SE,NA,2390,ChoDryad,Martha,J,Groom,University of Washington,NA,Seattle,Washington,USA,SciWri17,middle_name
147,CONBIO,2000,14,1,SE,MarthaJ Groom,MarthaJ,,Groom,USA,F,SE,NA,2390,ChoDryad,Martha,J,Groom,NA,NA,NA,NA,USA,SciWri17,middle_name
148,CONBIO,2001,15,1,SE,MarthaJ Groom,MarthaJ,,Groom,USA,F,SE,NA,2390,ChoDryad,Martha,J,Groom,NA,NA,NA,NA,USA,SciWri17,middle_name
149,CONBIO,2002,16,1,SE,MarthaJ Groom,MarthaJ,,Groom,USA,F,SE,NA,2390,ChoDryad,Martha,J,Groom,NA,NA,NA,NA,USA,SciWri17,middle_name
150,CONBIO,2003,17,1,SE,MarthaJ Groom,MarthaJ,,Groom,USA,F,SE,NA,2390,ChoDryad,Martha,J,Groom,NA,NA,NA,NA,USA,SciWri17,middle_name
159,AGRONOMY,1985,77,1,Associate.Editor,C C King,C,C,King,USA,NA,SE,,495,EspinDryad,C,Cooper,King,NA,NA,Leighton,Alabama,USA,SciWri17,middle_name
160,AGRONOMY,1985,77,1,Associate.Editor,H D Skipper,H,D,Skipper,USA,NA,SE,,1363,EspinDryad,Horace,Dean,Skipper,Clemson University,"Ent., Soils, & Pl Sciences",Clemson,South Carolina,USA,SciWri17,middle_name
161,AGRONOMY,1985,77,1,Associate.Editor,L R Nelson,L,R,Nelson,USA,NA,SE,,2214,EspinDryad,L,A,Nelson,North Carolina State University,NA,Raleigh,North Carolina,USA,SciWri17,middle_name
162,AGRONOMY,1985,77,1,Associate.Editor,L A Nelson,L,A,Nelson,USA,NA,SE,,2214,EspinDryad,L,R,Nelson,Texas A & M University,NA,College Station,Texas,USA,SciWri17,middle_name
163,AGRONOMY,1986,78,1,Associate.Editor,C C King,C,C,King,USA,NA,SE,,495,EspinDryad,C,Cooper,King,NA,NA,Leighton,Alabama,USA,SciWri17,middle_name
164,AGRONOMY,1986,78,1,Associate.Editor,L R Nelson,L,R,Nelson,USA,NA,SE,,2214,EspinDryad,L,A,Nelson,North Carolina State University,NA,Raleigh,North Carolina,USA,SciWri17,middle_name
165,AGRONOMY,1986,78,1,Associate.Editor,L A Nelson,L,A,Nelson,USA,NA,SE,,2214,EspinDryad,L,R,Nelson,Texas A & M University,NA,College Station,Texas,USA,SciWri17,middle_name
