"","JOURNAL","YEAR","FIRST_NAME","MIDDLE_NAME","LAST_NAME","INST","COUNTRY","editor_id","UNIT","CITY","STATE"
"59","BITR",2013,"Shin-ichiro",NA,"Aiba","Kagoshima University","Japan",3263,NA,NA,NA
"60","BITR",1983,"E","Raymond","Heithaus","Kenyon College","USA",978,NA,NA,"Ohio"
"61","BITR",1983,"Jay","S","Tashiro","Kenyon College","USA",1901,NA,NA,"Ohio"
"62","BITR",2005,"Shoko",NA,"Sakai","Kyoto University","Japan",3460,NA,NA,NA
"63","BITR",1998,"David",NA,"Clark","La Selva Biological Station","Costa Rica",650,NA,NA,NA
"64","BITR",2013,"Alexandra-Maria",NA,"Klein","Leuphana University of Lüneburg","Germany",123,NA,NA,NA
"65","BITR",2007,"Philip",NA,"Stouffer","Louisiana State University","USA",2928,NA,NA,NA
"66","BITR",2005,"Ann",NA,"Russell","lowa State University","USA",185,NA,NA,NA
"67","BITR",2008,"Francis",NA,"Brearley","Manchester Metropolitan University","United Kingdom",1059,NA,NA,NA
"68","BITR",1998,"Nicolas",NA,"Brokaw","Manomet Observatory","USA",2630,NA,NA,NA
"69","BITR",2004,"Colin",NA,"Chapman","McGill University","Canada",421,NA,NA,NA
"70","BITR",2002,"Douglas","W","Schemske","Michigan State University","USA",858,NA,NA,NA
"71","BITR",2001,"Philip",NA,"DeVries","Milwaukee Public Museum","USA",2794,NA,NA,NA
"72","BITR",1999,"Dennis",NA,"O'Dowd","Monash University","Australia",806,NA,NA,NA
"73","BITR",2012,"Catherine",NA,"Yule","Monash University","Malaysia",603,NA,NA,NA
"74","BITR",2006,"Navjot","S","Sodhi","National University of Singapore","Singapore",2693,NA,NA,NA
"75","BITR",2009,"David",NA,"Bickford","National University of Singapore","Singapore",628,NA,NA,NA
"76","BITR",2012,"Ted",NA,"Webb","National University of Singapore","Singapore",3655,NA,NA,NA
"77","BITR",1978,"John","D","Bultman","Naval Research Laboratory DC","USA",1491,NA,NA,NA
"78","BITR",1987,"Ghillean","T","Prance","New York Botanical Garden","United Kingdom",1248,NA,NA,NA
