,JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,UNIT,CITY,STATE,COUNTRY,check,NOTES,,
1,PLANTECOL,1985,2281,Mike,P,Austin,CSIRO,NA,Canberra,NA,Australia,2x,Correct,,
2,PLANTECOL,1985,1457,James,S,Beard,Vegetation Survey of Western Australia,NA,Applecross,Western Australia,Australia,spotcheck,NA,,
5,PLANTECOL,1985,1593,Jean-Marie,NA,Gehu,NA,NA,Paris,NA,France,2x,NA,,
7,PLANTECOL,1985,705,David,C,Glenn-Lewin,Iowa State University,NA,Ames,Iowa,United States,2x,NA,,
9,PLANTECOL,1985,3749,Wolfgang,NA,Holzner,University of Pittsburgh,NA,Vienna,NA,Austria,2x,NA,,
10,PLANTECOL,1985,1092,Frank,NA,Klotzli,University of Potsdam,NA,Zurich,NA,Switzerland,spotcheck,NA,,
11,PLANTECOL,1985,139,Ariel,E,Lugo,USDA Forest Service,NA,Rio Piedras,NA,Puerto Rico,2x,Correct,,
13,PLANTECOL,1985,1035,Eddy,NA,VanDerMaarel,Rutgers University,NA,Uppsala,NA,Sweden,2x,Incorrect,LISTED AT UNIVERSITY OF UPPSALA,
14,PLANTECOL,1985,2604,Marinus,JA,Werger,Ohio State University,NA,Utrecht,NA,Netherlands,2x,Incorrect,Listed at University of Utrecht,
18,PLANTECOL,1987,2345,Max,NA,Debussche,CSIRO,NA,Montpellier,NA,France,spotcheck,NA,,
23,PLANTECOL,1988,1849,Jelte,NA,Rozema,University of Stirling,NA,Amsterdam,NA,The Netherlands,2x,NA,,
24,PLANTECOL,1988,576,Cajo,JF,TerBraak,Wageningen University,NA,NA,NA,The Netherlands,spotcheck,Correct,,
25,PLANTECOL,1988,3658,Timothy,C,Whitmore,University of Colorado-Boulder,NA,Oxford,NA,UK,2x,Incorrect,Listed at Oxford Forestry Institute,
31,PLANTECOL,1990,2006,Kazue,NA,Fujiwara,Yokohama National University,"Department of Vegetation Science, Institute of Environmental Science & Technology",Yokohama,NA,Japan,2x,Correct,,
32,PLANTECOL,1990,282,Brij,NA,Gopal,Jawaharial Nehru University,School of Enviromental Sciences,New Delhi,NA,India,2x,Correct,,
34,PLANTECOL,1990,2033,Konstantin,O,Korotkov,Institute of Animal Evolutionary Morphology and Ecology,Sukatchev Laboratory of General Ecology and Biogeocoenology,Moscow,NA,USSR,spotcheck,Correct,,
37,PLANTECOL,1990,139,Ariel,E,Lugo,Center for Energy & Environmental Research,Tropical and World Carbon Budget Division,San Juan,NA,Puerto Rico,2x,Correct,,
40,PLANTECOL,1990,153,Atsushi,NA,Miyawaki,Yokohama National University,"Department of Vegetation Science, Institute of Environmental Science & Technology",Yokohama,NA,Japan,2x,Correct,,
41,PLANTECOL,1990,2882,Pier,L,Nimis,University of Trieste,"Dipartimento di Biologia, Sezione di Geobotanica et Ecologia",Trieste,NA,Italy,2x,Correct,,
42,PLANTECOL,1990,1849,Jelte,NA,Rozema,Vrije Universiteit,Faculteit Biologie,Amsterdam,NA,The Netherlands,spotcheck,Correct,,
43,PLANTECOL,1990,2737,Osvaldo,E,Sala,University of Buenos Aires,Departamento de Ecolog�a,Buenos Aires,NA,Argentina,2x,Correct,,
45,PLANTECOL,1990,221,Arnold,Green,VanDerValk,Iowa State University,Ecology and Evolutionary Biology Department of Botany,Armes,Iowa,United States,2x,Correct,,
46,PLANTECOL,1990,899,Dale,H,Vitt,University of Alberta,Department of Botany,Edmonton,Alberta,Canada,2x,Correct,,
48,PLANTECOL,1990,2604,Marinus,JA,Werger,University of Utrecht,Department of Plant Ecology and Vegetation Science,Utrecht,NA,Netherlands,2x,Correct,,
51,PLANTECOL,1991,937,Elgene,O,Box,University of Georgia,NA,Athens,GA,United States,spotcheck,Missing department,,
56,PLANTECOL,1991,3108,Robert,L,Jefferies,University of Toronto,Department of Botany,Toronto,NA,Canada,spotcheck,Correct,,
57,PLANTECOL,1991,3762,William,K,Lauenroth,Colorado State University,Range Science,Fort Collins,Colorado,United States,2x,Correct,,
63,PLANTECOL,1993,3566,Tadaki,NA,Hirose,Tohoku University,Biological Institute,Sendal,NA,Japan,2x,Correct,,
