JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,UNIT,CITY,COUNTRY,,,,,,,,,,,
AUK,2006,NA,john,NA,klicka,university of nevada las vegas,,NA,USA,,DATAFILE$INST[DATAFILE$LAST_NAME==,"walker"""," & JOURNAL==""",OIKOS,""" & YEAR==",2006,"]<-""",university of nevada las vegas,"""","DATAFILE$INST[DATAFILE$LAST_NAME==walker"" & JOURNAL==""OIKOS"" & YEAR==2006]<-""university of nevada las vegas"""
PLANTECOL,2004,2253,lawrence,r,walker,university of nevada las vegas,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,2253," & JOURNAL==""",OIKOS,""" & YEAR==",2004,"]<-""",university of nevada las vegas,"""","DATAFILE$INST[DATAFILE$editor_id==2253 & JOURNAL==""OIKOS"" & YEAR==2004]<-""university of nevada las vegas"""
ECOLOGY,2009,2352,martin,w,doyle,university of north carolina chapel hill,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,2352," & JOURNAL==""",OIKOS,""" & YEAR==",2009,"]<-""",university of north carolina chapel hill,"""","DATAFILE$INST[DATAFILE$editor_id==2352 & JOURNAL==""OIKOS"" & YEAR==2009]<-""university of north carolina chapel hill"""
EVOL,2007,820,david,w,pfennig,university of north carolina chapel hill,,raleigh,USA,,DATAFILE$INST[DATAFILE$editor_id==,820," & JOURNAL==""",OIKOS,""" & YEAR==",2007,"]<-""",university of north carolina chapel hill,"""","DATAFILE$INST[DATAFILE$editor_id==820 & JOURNAL==""OIKOS"" & YEAR==2007]<-""university of north carolina chapel hill"""
AJB,2006,3200,robert,a,raguso,university of south carolina columbia,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,3200," & JOURNAL==""",OIKOS,""" & YEAR==",2006,"]<-""",university of south carolina columbia,"""","DATAFILE$INST[DATAFILE$editor_id==3200 & JOURNAL==""OIKOS"" & YEAR==2006]<-""university of south carolina columbia"""
AJB,1995,1749,james,NA,mauseth,university of texas austin,university of texas austin,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,1749," & JOURNAL==""",OIKOS,""" & YEAR==",1995,"]<-""",university of texas austin,"""","DATAFILE$INST[DATAFILE$editor_id==1749 & JOURNAL==""OIKOS"" & YEAR==1995]<-""university of texas austin"""
AJB,2002,3137,randal,NA,linder,university of texas austin,university of texas austin,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,3137," & JOURNAL==""",OIKOS,""" & YEAR==",2002,"]<-""",university of texas austin,"""","DATAFILE$INST[DATAFILE$editor_id==3137 & JOURNAL==""OIKOS"" & YEAR==2002]<-""university of texas austin"""
AJB,1985,3535,theodore,NA,delevoryas,university of texas austin,university of texas austin,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,3535," & JOURNAL==""",OIKOS,""" & YEAR==",1985,"]<-""",university of texas austin,"""","DATAFILE$INST[DATAFILE$editor_id==3535 & JOURNAL==""OIKOS"" & YEAR==1985]<-""university of texas austin"""
AMNAT,2003,723,david,m,hillis,university of texas austin,university of texas austin,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,723," & JOURNAL==""",OIKOS,""" & YEAR==",2003,"]<-""",university of texas austin,"""","DATAFILE$INST[DATAFILE$editor_id==723 & JOURNAL==""OIKOS"" & YEAR==2003]<-""university of texas austin"""
OECOL,2012,1691,joanna,e,lambert,university of texas san antonio,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,1691," & JOURNAL==""",OIKOS,""" & YEAR==",2012,"]<-""",university of texas san antonio,"""","DATAFILE$INST[DATAFILE$editor_id==1691 & JOURNAL==""OIKOS"" & YEAR==2012]<-""university of texas san antonio"""
ECOLOGY,1985,3229,richard,r,strathmann,university of washington seattle,university of washington seattle,friday harbor,USA,,DATAFILE$INST[DATAFILE$editor_id==,3229," & JOURNAL==""",OIKOS,""" & YEAR==",1985,"]<-""",university of washington seattle,"""","DATAFILE$INST[DATAFILE$editor_id==3229 & JOURNAL==""OIKOS"" & YEAR==1985]<-""university of washington seattle"""
AJB,2006,3179,richard,NA,olmstead,university of washington seattle,university of washington seattle,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,3179," & JOURNAL==""",OIKOS,""" & YEAR==",2006,"]<-""",university of washington seattle,"""","DATAFILE$INST[DATAFILE$editor_id==3179 & JOURNAL==""OIKOS"" & YEAR==2006]<-""university of washington seattle"""
AJB,1997,3487,sean,NA,thomas,university of washington seattle,university of washington seattle,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,3487," & JOURNAL==""",OIKOS,""" & YEAR==",1997,"]<-""",university of washington seattle,"""","DATAFILE$INST[DATAFILE$editor_id==3487 & JOURNAL==""OIKOS"" & YEAR==1997]<-""university of washington seattle"""
AMNAT,1998,858,douglas,w,schemske,university of washington seattle,university of washington seattle,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,858," & JOURNAL==""",OIKOS,""" & YEAR==",1998,"]<-""",university of washington seattle,"""","DATAFILE$INST[DATAFILE$editor_id==858 & JOURNAL==""OIKOS"" & YEAR==1998]<-""university of washington seattle"""
AMNAT,1996,3183,robert,t,paine,university of washington seattle,university of washington seattle,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,3183," & JOURNAL==""",OIKOS,""" & YEAR==",1996,"]<-""",university of washington seattle,"""","DATAFILE$INST[DATAFILE$editor_id==3183 & JOURNAL==""OIKOS"" & YEAR==1996]<-""university of washington seattle"""
JBIOG,2014,3001,robert,NA,bryson,university of washington seattle,university of washington seattle,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,3001," & JOURNAL==""",OIKOS,""" & YEAR==",2014,"]<-""",university of washington seattle,"""","DATAFILE$INST[DATAFILE$editor_id==3001 & JOURNAL==""OIKOS"" & YEAR==2014]<-""university of washington seattle"""
OECOL,1987,1213,g,jim,kenagy,university of washington seattle,university of washington seattle,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,1213," & JOURNAL==""",OIKOS,""" & YEAR==",1987,"]<-""",university of washington seattle,"""","DATAFILE$INST[DATAFILE$editor_id==1213 & JOURNAL==""OIKOS"" & YEAR==1987]<-""university of washington seattle"""
OECOL,1990,1668,joel,NA,kingsolver,university of washington seattle,university of washington seattle,seattle ,USA,,DATAFILE$INST[DATAFILE$editor_id==,1668," & JOURNAL==""",OIKOS,""" & YEAR==",1990,"]<-""",university of washington seattle,"""","DATAFILE$INST[DATAFILE$editor_id==1668 & JOURNAL==""OIKOS"" & YEAR==1990]<-""university of washington seattle"""
AJB,2012,590,christina,NA,walters,usda ars,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,590," & JOURNAL==""",OIKOS,""" & YEAR==",2012,"]<-""",usda ars,"""","DATAFILE$INST[DATAFILE$editor_id==590 & JOURNAL==""OIKOS"" & YEAR==2012]<-""usda ars"""
FEM,2014,1799,john,a,parrotta,usfs us forest service,,arlington,USA,,DATAFILE$INST[DATAFILE$editor_id==,1799," & JOURNAL==""",OIKOS,""" & YEAR==",2014,"]<-""",usfs us forest service,"""","DATAFILE$INST[DATAFILE$editor_id==1799 & JOURNAL==""OIKOS"" & YEAR==2014]<-""usfs us forest service"""
FEM,2002,467,cathryn,h,greenberg,usfs southern research station,,asheville,USA,,DATAFILE$INST[DATAFILE$editor_id==,467," & JOURNAL==""",OIKOS,""" & YEAR==",2002,"]<-""",usfs southern research station,"""","DATAFILE$INST[DATAFILE$editor_id==467 & JOURNAL==""OIKOS"" & YEAR==2002]<-""usfs southern research station"""
LANDSCAPEECO,2007,1327,h,NA,li,usfs southern research station,,charleston,USA,,DATAFILE$INST[DATAFILE$editor_id==,1327," & JOURNAL==""",OIKOS,""" & YEAR==",2007,"]<-""",usfs southern research station,"""","DATAFILE$INST[DATAFILE$editor_id==1327 & JOURNAL==""OIKOS"" & YEAR==2007]<-""usfs southern research station"""
FEM,2008,446,christopher,j,fettig,usfs pacific southwest research station,,davis,USA,,DATAFILE$INST[DATAFILE$editor_id==,446," & JOURNAL==""",OIKOS,""" & YEAR==",2008,"]<-""",usfs pacific southwest research station,"""","DATAFILE$INST[DATAFILE$editor_id==446 & JOURNAL==""OIKOS"" & YEAR==2008]<-""usfs pacific southwest research station"""
PLANTECOL,2011,3341,santiago,c,gonzales-martinez,usfs pacific southwest research station,,davis,USA,,DATAFILE$INST[DATAFILE$editor_id==,3341," & JOURNAL==""",OIKOS,""" & YEAR==",2011,"]<-""",usfs pacific southwest research station,"""","DATAFILE$INST[DATAFILE$editor_id==3341 & JOURNAL==""OIKOS"" & YEAR==2011]<-""usfs pacific southwest research station"""
LANDSCAPEECO,2011,2178,louis,r,iverson,usfs northern research station,,delaware,USA,,DATAFILE$INST[DATAFILE$editor_id==,2178," & JOURNAL==""",OIKOS,""" & YEAR==",2011,"]<-""",usfs northern research station,"""","DATAFILE$INST[DATAFILE$editor_id==2178 & JOURNAL==""OIKOS"" & YEAR==2011]<-""usfs northern research station"""
FEM,2010,2170,linda,s,heath,usfs northern research station,,durham,USA,,DATAFILE$INST[DATAFILE$editor_id==,2170," & JOURNAL==""",OIKOS,""" & YEAR==",2010,"]<-""",usfs northern research station,"""","DATAFILE$INST[DATAFILE$editor_id==2170 & JOURNAL==""OIKOS"" & YEAR==2010]<-""usfs northern research station"""
OECOL,1995,724,david,NA,hollinger,usfs northern research station,,durham,USA,,DATAFILE$INST[DATAFILE$editor_id==,724," & JOURNAL==""",OIKOS,""" & YEAR==",1995,"]<-""",usfs northern research station,"""","DATAFILE$INST[DATAFILE$editor_id==724 & JOURNAL==""OIKOS"" & YEAR==1995]<-""usfs northern research station"""
FEM,2002,798,daniel,green,neary,usfs rocky mountain research station,,flagstaff,USA,,DATAFILE$INST[DATAFILE$editor_id==,798," & JOURNAL==""",OIKOS,""" & YEAR==",2002,"]<-""",usfs rocky mountain research station,"""","DATAFILE$INST[DATAFILE$editor_id==798 & JOURNAL==""OIKOS"" & YEAR==2002]<-""usfs rocky mountain research station"""
LANDSCAPEECO,2013,3310,s,a,cushman,usfs rocky mountain research station,,flagstaff,USA,,DATAFILE$INST[DATAFILE$editor_id==,3310," & JOURNAL==""",OIKOS,""" & YEAR==",2013,"]<-""",usfs rocky mountain research station,"""","DATAFILE$INST[DATAFILE$editor_id==3310 & JOURNAL==""OIKOS"" & YEAR==2013]<-""usfs rocky mountain research station"""
FEM,2013,1783,jose,NA,negron,usfs rocky mountain research station,,fort collins,USA,,DATAFILE$INST[DATAFILE$editor_id==,1783," & JOURNAL==""",OIKOS,""" & YEAR==",2013,"]<-""",usfs rocky mountain research station,"""","DATAFILE$INST[DATAFILE$editor_id==1783 & JOURNAL==""OIKOS"" & YEAR==2013]<-""usfs rocky mountain research station"""
LANDSCAPEECO,2005,448,c,h,flather,usfs rocky mountain research station,,fort collins,USA,,DATAFILE$INST[DATAFILE$editor_id==,448," & JOURNAL==""",OIKOS,""" & YEAR==",2005,"]<-""",usfs rocky mountain research station,"""","DATAFILE$INST[DATAFILE$editor_id==448 & JOURNAL==""OIKOS"" & YEAR==2005]<-""usfs rocky mountain research station"""
CONBIO,1995,2613,mary,f,willson,usfs pacific northwest research station,,juneau,USA,,DATAFILE$INST[DATAFILE$editor_id==,2613," & JOURNAL==""",OIKOS,""" & YEAR==",1995,"]<-""",usfs pacific northwest research station,"""","DATAFILE$INST[DATAFILE$editor_id==2613 & JOURNAL==""OIKOS"" & YEAR==1995]<-""usfs pacific northwest research station"""
CONBIO,2012,2555,michael,NA,schwartz,usfs rocky mountain research station,,missoula,USA,,DATAFILE$INST[DATAFILE$editor_id==,2555," & JOURNAL==""",OIKOS,""" & YEAR==",2012,"]<-""",usfs rocky mountain research station,"""","DATAFILE$INST[DATAFILE$editor_id==2555 & JOURNAL==""OIKOS"" & YEAR==2012]<-""usfs rocky mountain research station"""
LANDSCAPEECO,2011,3310,s,a,cushman,usfs rocky mountain research station,,missoula,USA,,DATAFILE$INST[DATAFILE$editor_id==,3310," & JOURNAL==""",OIKOS,""" & YEAR==",2011,"]<-""",usfs rocky mountain research station,"""","DATAFILE$INST[DATAFILE$editor_id==3310 & JOURNAL==""OIKOS"" & YEAR==2011]<-""usfs rocky mountain research station"""
ECOGRAPHY,2005,135,andrew,NA,liebhold,usfs northern research station,,morgantown,USA,,DATAFILE$INST[DATAFILE$editor_id==,135," & JOURNAL==""",OIKOS,""" & YEAR==",2005,"]<-""",usfs northern research station,"""","DATAFILE$INST[DATAFILE$editor_id==135 & JOURNAL==""OIKOS"" & YEAR==2005]<-""usfs northern research station"""
AMNAT,2003,448,curtis,h,flather,usfs rocky mountain research station,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,448," & JOURNAL==""",OIKOS,""" & YEAR==",2003,"]<-""",usfs rocky mountain research station,"""","DATAFILE$INST[DATAFILE$editor_id==448 & JOURNAL==""OIKOS"" & YEAR==2003]<-""usfs rocky mountain research station"""
AUK,2017,NA,bill,NA,monahan,usfs rocky mountain research station,Forest Health Assessment & Applied Science Team,NA,USA,,DATAFILE$INST[DATAFILE$LAST_NAME==,"monahan"""," & JOURNAL==""",OIKOS,""" & YEAR==",2017,"]<-""",usfs rocky mountain research station,"""","DATAFILE$INST[DATAFILE$LAST_NAME==monahan"" & JOURNAL==""OIKOS"" & YEAR==2017]<-""usfs rocky mountain research station"""
BITR,1999,766,d,jean,lodge,usfs northern research station,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,766," & JOURNAL==""",OIKOS,""" & YEAR==",1999,"]<-""",usfs northern research station,"""","DATAFILE$INST[DATAFILE$editor_id==766 & JOURNAL==""OIKOS"" & YEAR==1999]<-""usfs northern research station"""
BITR,1999,1566,john,j,ewel,usfs institute of pacific islands dorestry,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,1566," & JOURNAL==""",OIKOS,""" & YEAR==",1999,"]<-""",usfs institute of pacific islands dorestry,"""","DATAFILE$INST[DATAFILE$editor_id==1566 & JOURNAL==""OIKOS"" & YEAR==1999]<-""usfs institute of pacific islands dorestry"""
ECOLOGY,2002,1107,frederick,c,meinzer,usfs pacific northwest research station,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,1107," & JOURNAL==""",OIKOS,""" & YEAR==",2002,"]<-""",usfs pacific northwest research station,"""","DATAFILE$INST[DATAFILE$editor_id==1107 & JOURNAL==""OIKOS"" & YEAR==2002]<-""usfs pacific northwest research station"""
LANDSCAPEECO,1999,2178,louis,NA,iverson,usfs northern research station,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,2178," & JOURNAL==""",OIKOS,""" & YEAR==",1999,"]<-""",usfs northern research station,"""","DATAFILE$INST[DATAFILE$editor_id==2178 & JOURNAL==""OIKOS"" & YEAR==1999]<-""usfs northern research station"""
LANDSCAPEECO,2007,2075,k,NA,riitters,usfs southern research station,,research triangle park,USA,,DATAFILE$INST[DATAFILE$editor_id==,2075," & JOURNAL==""",OIKOS,""" & YEAR==",2007,"]<-""",usfs southern research station,"""","DATAFILE$INST[DATAFILE$editor_id==2075 & JOURNAL==""OIKOS"" & YEAR==2007]<-""usfs southern research station"""
LANDSCAPEECO,2011,671,d,NA,donner,usfs northern research station,,rhinelander,USA,,DATAFILE$INST[DATAFILE$editor_id==,671," & JOURNAL==""",OIKOS,""" & YEAR==",2011,"]<-""",usfs northern research station,"""","DATAFILE$INST[DATAFILE$editor_id==671 & JOURNAL==""OIKOS"" & YEAR==2011]<-""usfs northern research station"""
LANDSCAPEECO,2005,975,e,NA,gustafson,usfs northern research station,,rhinelander,USA,,DATAFILE$INST[DATAFILE$editor_id==,975," & JOURNAL==""",OIKOS,""" & YEAR==",2005,"]<-""",usfs northern research station,"""","DATAFILE$INST[DATAFILE$editor_id==975 & JOURNAL==""OIKOS"" & YEAR==2005]<-""usfs northern research station"""
BITR,1996,1127,fred,NA,scatena,usfs international institute of tropical forestry,,rio piedras,USA,,DATAFILE$INST[DATAFILE$editor_id==,1127," & JOURNAL==""",OIKOS,""" & YEAR==",1996,"]<-""",usfs international institute of tropical forestry,"""","DATAFILE$INST[DATAFILE$editor_id==1127 & JOURNAL==""OIKOS"" & YEAR==1996]<-""usfs international institute of tropical forestry"""
PLANTECOL,1985,139,ariel,e,lugo,usfs international institute of tropical forestry,,rio piedras,USA,,DATAFILE$INST[DATAFILE$editor_id==,139," & JOURNAL==""",OIKOS,""" & YEAR==",1985,"]<-""",usfs international institute of tropical forestry,"""","DATAFILE$INST[DATAFILE$editor_id==139 & JOURNAL==""OIKOS"" & YEAR==1985]<-""usfs international institute of tropical forestry"""
FEM,2002,909,daniel,r,weise,usfs pacific southwest research station,,riveside,USA,,DATAFILE$INST[DATAFILE$editor_id==,909," & JOURNAL==""",OIKOS,""" & YEAR==",2002,"]<-""",usfs pacific southwest research station,"""","DATAFILE$INST[DATAFILE$editor_id==909 & JOURNAL==""OIKOS"" & YEAR==2002]<-""usfs pacific southwest research station"""
PLANTECOL,1991,139,ariel,e,lugo,usfs international institute of tropical forestry,,san juan,USA,,DATAFILE$INST[DATAFILE$editor_id==,139," & JOURNAL==""",OIKOS,""" & YEAR==",1991,"]<-""",usfs international institute of tropical forestry,"""","DATAFILE$INST[DATAFILE$editor_id==139 & JOURNAL==""OIKOS"" & YEAR==1991]<-""usfs international institute of tropical forestry"""
CONBIO,1989,1580,jerry,NA,franklin,usfs pacific northwest research station,,seattle,USA,,DATAFILE$INST[DATAFILE$editor_id==,1580," & JOURNAL==""",OIKOS,""" & YEAR==",1989,"]<-""",usfs pacific northwest research station,"""","DATAFILE$INST[DATAFILE$editor_id==1580 & JOURNAL==""OIKOS"" & YEAR==1989]<-""usfs pacific northwest research station"""
FEM,1984,341,boyd,w,post,usfs northern research station,,washington dc,USA,,DATAFILE$INST[DATAFILE$editor_id==,341," & JOURNAL==""",OIKOS,""" & YEAR==",1984,"]<-""",usfs northern research station,"""","DATAFILE$INST[DATAFILE$editor_id==341 & JOURNAL==""OIKOS"" & YEAR==1984]<-""usfs northern research station"""
FEM,1996,1255,greg,NA,ruark,usfs southern research station,,washington dc,USA,,DATAFILE$INST[DATAFILE$editor_id==,1255," & JOURNAL==""",OIKOS,""" & YEAR==",1996,"]<-""",usfs southern research station,"""","DATAFILE$INST[DATAFILE$editor_id==1255 & JOURNAL==""OIKOS"" & YEAR==1996]<-""usfs southern research station"""
FEM,1998,1909,john,r,toliver,usfs southern research station,,washington dc,USA,,DATAFILE$INST[DATAFILE$editor_id==,1909," & JOURNAL==""",OIKOS,""" & YEAR==",1998,"]<-""",usfs southern research station,"""","DATAFILE$INST[DATAFILE$editor_id==1909 & JOURNAL==""OIKOS"" & YEAR==1998]<-""usfs southern research station"""
FEM,1984,3383,stanley,l,krugman,usfs southern research station,,washington dc,USA,,DATAFILE$INST[DATAFILE$editor_id==,3383," & JOURNAL==""",OIKOS,""" & YEAR==",1984,"]<-""",usfs southern research station,"""","DATAFILE$INST[DATAFILE$editor_id==3383 & JOURNAL==""OIKOS"" & YEAR==1984]<-""usfs southern research station"""
PLANTECOL,1997,1604,james,b,grace,usgs national wetlands research center,,lafayette,USA,,DATAFILE$INST[DATAFILE$editor_id==,1604," & JOURNAL==""",OIKOS,""" & YEAR==",1997,"]<-""",usgs national wetlands research center,"""","DATAFILE$INST[DATAFILE$editor_id==1604 & JOURNAL==""OIKOS"" & YEAR==1997]<-""usgs national wetlands research center"""
JAPE,2001,1786,james,d,nichols,usgs Patuxent Wildlife Research Center,,laurel,USA,,DATAFILE$INST[DATAFILE$editor_id==,1786," & JOURNAL==""",OIKOS,""" & YEAR==",2001,"]<-""",usgs Patuxent Wildlife Research Center,"""","DATAFILE$INST[DATAFILE$editor_id==1786 & JOURNAL==""OIKOS"" & YEAR==2001]<-""usgs Patuxent Wildlife Research Center"""
AMNAT,1999,663,donald,l,deangelis,usgs national wetlands research center,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,663," & JOURNAL==""",OIKOS,""" & YEAR==",1999,"]<-""",usgs national wetlands research center,"""","DATAFILE$INST[DATAFILE$editor_id==663 & JOURNAL==""OIKOS"" & YEAR==1999]<-""usgs national wetlands research center"""
AMNAT,1997,1604,james,b,grace,usgs national wetlands research center,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,1604," & JOURNAL==""",OIKOS,""" & YEAR==",1997,"]<-""",usgs national wetlands research center,"""","DATAFILE$INST[DATAFILE$editor_id==1604 & JOURNAL==""OIKOS"" & YEAR==1997]<-""usgs national wetlands research center"""
AUK,2008,NA,john,f,piatt,usgs Alaska Science Center,,NA,USA,,"DATAFILE$INST[DATAFILE$LAST_NAME==""","piatt"""," & JOURNAL==""",OIKOS,""" & YEAR==",2008,"]<-""",usgs Alaska Science Center,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""piatt"" & JOURNAL==""OIKOS"" & YEAR==2008]<-""usgs Alaska Science Center"""
ECOLOGY,2003,1854,john,r,sauer,usgs Patuxent Wildlife Research Center,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,1854," & JOURNAL==""",OIKOS,""" & YEAR==",2003,"]<-""",usgs Patuxent Wildlife Research Center,"""","DATAFILE$INST[DATAFILE$editor_id==1854 & JOURNAL==""OIKOS"" & YEAR==2003]<-""usgs Patuxent Wildlife Research Center"""
ECOLOGY,2005,2037,kevin,NA,lafferty,usgs Western Ecological Research Center,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,2037," & JOURNAL==""",OIKOS,""" & YEAR==",2005,"]<-""",usgs Western Ecological Research Center,"""","DATAFILE$INST[DATAFILE$editor_id==2037 & JOURNAL==""OIKOS"" & YEAR==2005]<-""usgs Western Ecological Research Center"""
ECOLOGY,2002,3643,thomas,j,stohlgren,usgs Fort Collins Science Center,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,3643," & JOURNAL==""",OIKOS,""" & YEAR==",2002,"]<-""",usgs Fort Collins Science Center,"""","DATAFILE$INST[DATAFILE$editor_id==3643 & JOURNAL==""OIKOS"" & YEAR==2002]<-""usgs Fort Collins Science Center"""
JAPE,2007,1848,j,andrew,royle,usgs Patuxent Wildlife Research Center,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,1848," & JOURNAL==""",OIKOS,""" & YEAR==",2007,"]<-""",usgs Patuxent Wildlife Research Center,"""","DATAFILE$INST[DATAFILE$editor_id==1848 & JOURNAL==""OIKOS"" & YEAR==2007]<-""usgs Patuxent Wildlife Research Center"""
ECOLOGY,2000,486,cliff,r,hupp,usgs Florence Bascom Geoscience Center,,reston,USA,,DATAFILE$INST[DATAFILE$editor_id==,486," & JOURNAL==""",OIKOS,""" & YEAR==",2000,"]<-""",usgs Florence Bascom Geoscience Center,"""","DATAFILE$INST[DATAFILE$editor_id==486 & JOURNAL==""OIKOS"" & YEAR==2000]<-""usgs Florence Bascom Geoscience Center"""
