JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,UNIT,CITY,COUNTRY,,,,,,,,,,,
JECOL,2005,1493,jeremy,NA,burdon,csiro forest research,,NA,Australia,,DATAFILE$INST[DATAFILE$editor_id==,1493," & JOURNAL==""",OIKOS,""" & YEAR==",2005,"]<-""",csiro forest research,"""","DATAFILE$INST[DATAFILE$editor_id==1493 & JOURNAL==""OIKOS"" & YEAR==2005]<-""csiro forest research"""
OECOL,1993,2867,philip,r,miles,university of adelaide,,NA,Australia,,DATAFILE$INST[DATAFILE$editor_id==,2867," & JOURNAL==""",OIKOS,""" & YEAR==",1993,"]<-""",university of adelaide,"""","DATAFILE$INST[DATAFILE$editor_id==2867 & JOURNAL==""OIKOS"" & YEAR==1993]<-""university of adelaide"""
PLANTECOL,1989,3091,richard,j,hobbs,csiro wildlife and ecology,,perth,Australia,,DATAFILE$INST[DATAFILE$editor_id==,3091," & JOURNAL==""",OIKOS,""" & YEAR==",1989,"]<-""",csiro wildlife and ecology,"""","DATAFILE$INST[DATAFILE$editor_id==3091 & JOURNAL==""OIKOS"" & YEAR==1989]<-""csiro wildlife and ecology"""
PLANTECOL,1985,2340,michael,b,dale,csiro computing research,,st lucia,Australia,,DATAFILE$INST[DATAFILE$editor_id==,2340," & JOURNAL==""",OIKOS,""" & YEAR==",1985,"]<-""",csiro computing research,"""","DATAFILE$INST[DATAFILE$editor_id==2340 & JOURNAL==""OIKOS"" & YEAR==1985]<-""csiro computing research"""
OECOL,1986,2699,neil,j,turner,csiro plant industry,,wembley,Australia,,DATAFILE$INST[DATAFILE$editor_id==,2699," & JOURNAL==""",OIKOS,""" & YEAR==",1986,"]<-""",csiro plant industry,"""","DATAFILE$INST[DATAFILE$editor_id==2699 & JOURNAL==""OIKOS"" & YEAR==1986]<-""csiro plant industry"""
CONBIO,2008,342,bob,NA,pressey,james cook university brisbane,,brisbane,Australia,,DATAFILE$INST[DATAFILE$editor_id==,342," & JOURNAL==""",OIKOS,""" & YEAR==",2008,"]<-""",james cook university brisbane,"""","DATAFILE$INST[DATAFILE$editor_id==342 & JOURNAL==""OIKOS"" & YEAR==2008]<-""james cook university brisbane"""
AMNAT,1998,1561,john,a,endler,james cook university townsville,,NA,Australia,,DATAFILE$INST[DATAFILE$editor_id==,1561," & JOURNAL==""",OIKOS,""" & YEAR==",1998,"]<-""",james cook university townsville,"""","DATAFILE$INST[DATAFILE$editor_id==1561 & JOURNAL==""OIKOS"" & YEAR==1998]<-""james cook university townsville"""
AMNAT,2008,3027,ross,NA,crozier,james cook university townsville,,NA,Australia,,DATAFILE$INST[DATAFILE$editor_id==,3027," & JOURNAL==""",OIKOS,""" & YEAR==",2008,"]<-""",james cook university townsville,"""","DATAFILE$INST[DATAFILE$editor_id==3027 & JOURNAL==""OIKOS"" & YEAR==2008]<-""james cook university townsville"""
AMNAT,2014,3305,sean,r,connolly,james cook university townsville,,NA,Australia,,DATAFILE$INST[DATAFILE$editor_id==,3305," & JOURNAL==""",OIKOS,""" & YEAR==",2014,"]<-""",james cook university townsville,"""","DATAFILE$INST[DATAFILE$editor_id==3305 & JOURNAL==""OIKOS"" & YEAR==2014]<-""james cook university townsville"""
BITR,2013,2745,oscar,NA,venter,james cook university brisbane,,NA,Australia,,DATAFILE$INST[DATAFILE$editor_id==,2745," & JOURNAL==""",OIKOS,""" & YEAR==",2013,"]<-""",james cook university brisbane,"""","DATAFILE$INST[DATAFILE$editor_id==2745 & JOURNAL==""OIKOS"" & YEAR==2013]<-""james cook university brisbane"""
JBIOG,2005,621,david,r,bellwood,james cook university townsville,,NA,Australia,,DATAFILE$INST[DATAFILE$editor_id==,621," & JOURNAL==""",OIKOS,""" & YEAR==",2005,"]<-""",james cook university townsville,"""","DATAFILE$INST[DATAFILE$editor_id==621 & JOURNAL==""OIKOS"" & YEAR==2005]<-""james cook university townsville"""
OECOL,2008,2971,ross,a,alford,james cook university townsville,,NA,Australia,,DATAFILE$INST[DATAFILE$editor_id==,2971," & JOURNAL==""",OIKOS,""" & YEAR==",2008,"]<-""",james cook university townsville,"""","DATAFILE$INST[DATAFILE$editor_id==2971 & JOURNAL==""OIKOS"" & YEAR==2008]<-""james cook university townsville"""
OECOL,2008,3857,christopher,n,johnson,james cook university townsville,,NA,Australia,,DATAFILE$INST[DATAFILE$editor_id==,3857," & JOURNAL==""",OIKOS,""" & YEAR==",2008,"]<-""",james cook university townsville,"""","DATAFILE$INST[DATAFILE$editor_id==3857 & JOURNAL==""OIKOS"" & YEAR==2008]<-""james cook university townsville"""
FUNECOL,2007,2095,keith,w,sockman,university of north carolina chapel hill,,NA,USA,,DATAFILE$INST[DATAFILE$editor_id==,2095," & JOURNAL==""",OIKOS,""" & YEAR==",2007,"]<-""",university of north carolina chapel hill,"""","DATAFILE$INST[DATAFILE$editor_id==2095 & JOURNAL==""OIKOS"" & YEAR==2007]<-""university of north carolina chapel hill"""
AUK,1997,NA,lisa,j,petit,smithsonian national zoological park,,smithsonian migratory bird center,USA,,DATAFILE$INST[DATAFILE$LAST_NAME==,"petit"""," & JOURNAL==""",OIKOS,""" & YEAR==",1997,"]<-""",smithsonian national zoological park,"""","DATAFILE$INST[DATAFILE$LAST_NAME==petit"" & JOURNAL==""OIKOS"" & YEAR==1997]<-""smithsonian national zoological park"""
BITR,1993,323,betty,j,meggers,smithsonian institution national museum of natural history,,washington dc,USA,,DATAFILE$INST[DATAFILE$editor_id==,323," & JOURNAL==""",OIKOS,""" & YEAR==",1993,"]<-""",smithsonian institution national museum of natural history,"""","DATAFILE$INST[DATAFILE$editor_id==323 & JOURNAL==""OIKOS"" & YEAR==1993]<-""smithsonian institution national museum of natural history"""
BITR,1993,3593,thomas,NA,lovejoy,smithsonian institution,,washington dc,USA,,DATAFILE$INST[DATAFILE$editor_id==,3593," & JOURNAL==""",OIKOS,""" & YEAR==",1993,"]<-""",smithsonian institution,"""","DATAFILE$INST[DATAFILE$editor_id==3593 & JOURNAL==""OIKOS"" & YEAR==1993]<-""smithsonian institution"""
AUK,1998,NA,james,s,sedinger,university of alaska fairbanks,,NA,USA,,DATAFILE$INST[DATAFILE$LAST_NAME==,"sedinger"""," & JOURNAL==""",OIKOS,""" & YEAR==",1998,"]<-""",university of alaska fairbanks,"""","DATAFILE$INST[DATAFILE$LAST_NAME==sedinger"" & JOURNAL==""OIKOS"" & YEAR==1998]<-""university of alaska fairbanks"""
