"JOURNAL","YEAR","VOLUME","ISSUE","editor_id","FIRST_NAME","MIDDLE_NAME","LAST_NAME","TITLE","CATEGORY","CATEGORY.x","INST","OLD_INST","INST.2","UNIT","CITY","STATE","COUNTRY","COUNTRY_Prior_Class","geo.code","geo.code_Prior_Class","NOTES","GENDER","X"
"MARECOL",1987,8,1,NA,"M",NA,"Sara","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1987,8,1,NA,"P",NA,"Sale","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1987,8,1,NA,"K",NA,"Rutzler","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1987,8,1,NA,"F","D","Por","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1987,8,1,NA,"R",NA,"Margalef","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1987,8,1,NA,"D","H","H. Kuhlmann","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1987,8,1,NA,"T",NA,"Kikuchi","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1987,8,1,NA,"T","S","Hopkins","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1987,8,1,NA,"R",NA,"Hessler","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1987,8,1,NA,"Y",NA,"Halim","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1987,8,1,NA,"R","W","Grigg","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1987,8,1,NA,"J","S","Gray","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1987,8,1,NA,"T",NA,"Gamulin","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1987,8,1,NA,"H",NA,"Fricke","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1987,8,1,NA,"T",NA,"Fenchel","Editorial Board",NA,NA,"University of Copenhagen",NA,NA,"Marine Biological Laboratory",NA,"Helsingor",NA,NA,NA,NA,NA,NA,NA
"MARECOL",1987,8,1,NA,"P",NA,"Colantoni","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1987,8,1,NA,"G","C","Carrada","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1987,8,1,NA,"C","F","Boudouresque","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1987,8,1,NA,"B",NA,"Battaglia","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1987,8,1,NA,"H","A","Salem","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1987,8,1,NA,"E",NA,"Fresi","Assistant Editor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1987,8,1,NA,"R",NA,"Riedl","Editors in Chief",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1987,8,1,NA,"J",NA,"Ott","Editors in Chief",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1988,9,1,NA,"A",NA,"Zhirmunsky","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1988,9,1,NA,"T",NA,"Smayda","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1988,9,1,NA,"M",NA,"Sara","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1988,9,1,NA,"P",NA,"Sale","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1988,9,1,NA,"K",NA,"Rutzler","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1988,9,1,NA,"F","D","Por","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1988,9,1,NA,"R",NA,"Margalef","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1988,9,1,NA,"D","H","H. Kuhlmann","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1988,9,1,NA,"T",NA,"Kikuchi","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1988,9,1,NA,"T","S","Hopkins","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1988,9,1,NA,"R",NA,"Hessler","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1988,9,1,NA,"Y",NA,"Halim","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1988,9,1,NA,"R","W","Grigg","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1988,9,1,NA,"J","S","Gray","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1988,9,1,NA,"T",NA,"Gamulin","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1988,9,1,NA,"H",NA,"Fricke","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1988,9,1,NA,"T",NA,"Fenchel","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARECOL",1988,9,1,NA,"P",NA,"Colantoni","Editorial Board",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
