JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,,INST,,INST FIXED,UNIT,CITY,COUNTRY,,,,,,,,,,,
BITR,2012,1094,frederieke,NA,kroon,kroon,csiro commonwealth scientific and industrial research organisation,,csiro ecosystem sciences,,NA,Australia,,both$INST[both$editor_id==,1094," & both$INST==""",csiro commonwealth scientific and industrial research organisation,"""",,"]<-""",csiro ecosystem sciences,"""","both$INST[both$editor_id==1094 & both$INST==""csiro commonwealth scientific and industrial research organisation""]<-""csiro ecosystem sciences"""
CONDOR,2009,NA,veronica,a,doerr,doerr,csiro commonwealth scientific and industrial research organisation,,csiro ecosystem sciences,,NA,Australia,,both$INST[both$LAST_NAME==,"""doerr"""," & both$INST==""",csiro commonwealth scientific and industrial research organisation,"""",,"]<-""",csiro ecosystem sciences,"""","both$INST[both$LAST_NAME==""doerr"" & both$INST==""csiro commonwealth scientific and industrial research organisation""]<-""csiro ecosystem sciences"""
JECOL,2005,1493,jeremy,NA,burdon,burdon,csiro commonwealth scientific and industrial research organisation,,csiro forest research,,NA,Australia,,both$INST[both$editor_id==,1493," & both$INST==""",csiro commonwealth scientific and industrial research organisation,"""",,"]<-""",csiro forest research,"""","both$INST[both$editor_id==1493 & both$INST==""csiro commonwealth scientific and industrial research organisation""]<-""csiro forest research"""
OECOL,1993,2867,philip,r,miles,miles,csiro commonwealth scientific and industrial research organisation,,university of adelaide,,NA,Australia,,both$INST[both$editor_id==,2867," & both$INST==""",csiro commonwealth scientific and industrial research organisation,"""",,"]<-""",university of adelaide,"""","both$INST[both$editor_id==2867 & both$INST==""csiro commonwealth scientific and industrial research organisation""]<-""university of adelaide"""
PLANTECOL,1989,3091,richard,j,hobbs,hobbs,csiro commonwealth scientific and industrial research organisation,,csiro wildlife and ecology,,perth,Australia,,both$INST[both$editor_id==,3091," & both$INST==""",csiro commonwealth scientific and industrial research organisation,"""",,"]<-""",csiro wildlife and ecology,"""","both$INST[both$editor_id==3091 & both$INST==""csiro commonwealth scientific and industrial research organisation""]<-""csiro wildlife and ecology"""
PLANTECOL,1985,2340,michael,b,dale,dale,csiro commonwealth scientific and industrial research organisation,,csiro computing research,,st lucia,Australia,,both$INST[both$editor_id==,2340," & both$INST==""",csiro commonwealth scientific and industrial research organisation,"""",,"]<-""",csiro computing research,"""","both$INST[both$editor_id==2340 & both$INST==""csiro commonwealth scientific and industrial research organisation""]<-""csiro computing research"""
OECOL,1986,2699,neil,j,turner,turner,csiro commonwealth scientific and industrial research organisation,,csiro plant industry,,wembley,Australia,,both$INST[both$editor_id==,2699," & both$INST==""",csiro commonwealth scientific and industrial research organisation,"""",,"]<-""",csiro plant industry,"""","both$INST[both$editor_id==2699 & both$INST==""csiro commonwealth scientific and industrial research organisation""]<-""csiro plant industry"""
CONBIO,2008,342,bob,NA,pressey,pressey,james cook university,,james cook university brisbane,,brisbane,Australia,,both$INST[both$editor_id==,342," & both$INST==""",james cook university,"""",,"]<-""",james cook university brisbane,"""","both$INST[both$editor_id==342 & both$INST==""james cook university""]<-""james cook university brisbane"""
AMNAT,1998,1561,john,a,endler,endler,james cook university,,james cook university townsville,,NA,Australia,,both$INST[both$editor_id==,1561," & both$INST==""",james cook university,"""",,"]<-""",james cook university townsville,"""","both$INST[both$editor_id==1561 & both$INST==""james cook university""]<-""james cook university townsville"""
AMNAT,2008,3027,ross,NA,crozier,crozier,james cook university,,james cook university townsville,,NA,Australia,,both$INST[both$editor_id==,3027," & both$INST==""",james cook university,"""",,"]<-""",james cook university townsville,"""","both$INST[both$editor_id==3027 & both$INST==""james cook university""]<-""james cook university townsville"""
