JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,,INST,,INST FIXED,UNIT,CITY,COUNTRY,,,,,,,,,,,
JBIOG,2014,3001,robert,NA,bryson,bryson,university of washington,,university of washington seattle,university of washington seattle,NA,USA,,both$INST[both$editor_id==,3001," & both$INST==""",university of washington,"""",,"]<-""",university of washington seattle,"""","both$INST[both$editor_id==3001 & both$INST==""university of washington""]<-""university of washington seattle"""
OECOL,1987,1213,g,jim,kenagy,kenagy,university of washington,,university of washington seattle,university of washington seattle,NA,USA,,both$INST[both$editor_id==,1213," & both$INST==""",university of washington,"""",,"]<-""",university of washington seattle,"""","both$INST[both$editor_id==1213 & both$INST==""university of washington""]<-""university of washington seattle"""
OECOL,1990,1668,joel,NA,kingsolver,kingsolver,university of washington,,university of washington seattle,university of washington seattle,seattle ,USA,,both$INST[both$editor_id==,1668," & both$INST==""",university of washington,"""",,"]<-""",university of washington seattle,"""","both$INST[both$editor_id==1668 & both$INST==""university of washington""]<-""university of washington seattle"""
AJB,2012,590,christina,NA,walters,walters,usda us department of agriculture,,usda ars,,NA,USA,,both$INST[both$editor_id==,590," & both$INST==""",usda us department of agriculture,"""",,"]<-""",usda ars,"""","both$INST[both$editor_id==590 & both$INST==""usda us department of agriculture""]<-""usda ars"""
FEM,2014,1799,john,a,parrotta,parrotta,usfs us forest service,,usfs us forest service,,arlington,USA,,both$INST[both$editor_id==,1799," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs us forest service,"""","both$INST[both$editor_id==1799 & both$INST==""usfs us forest service""]<-""usfs us forest service"""
FEM,2002,467,cathryn,h,greenberg,greenberg,usfs us forest service,,usfs southern research station,,asheville,USA,,both$INST[both$editor_id==,467," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs southern research station,"""","both$INST[both$editor_id==467 & both$INST==""usfs us forest service""]<-""usfs southern research station"""
LANDSCAPEECO,2007,1327,h,NA,li,li,usfs us forest service,,usfs southern research station,,charleston,USA,,both$INST[both$editor_id==,1327," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs southern research station,"""","both$INST[both$editor_id==1327 & both$INST==""usfs us forest service""]<-""usfs southern research station"""
FEM,2008,446,christopher,j,fettig,fettig,usfs us forest service,,usfs pacific southwest research station,,davis,USA,,both$INST[both$editor_id==,446," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs pacific southwest research station,"""","both$INST[both$editor_id==446 & both$INST==""usfs us forest service""]<-""usfs pacific southwest research station"""
PLANTECOL,2011,3341,santiago,c,gonzales-martinez,gonzales-martinez,usfs us forest service,,usfs pacific southwest research station,,davis,USA,,both$INST[both$editor_id==,3341," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs pacific southwest research station,"""","both$INST[both$editor_id==3341 & both$INST==""usfs us forest service""]<-""usfs pacific southwest research station"""
LANDSCAPEECO,2011,2178,louis,r,iverson,iverson,usfs us forest service,,usfs northern research station,,delaware,USA,,both$INST[both$editor_id==,2178," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs northern research station,"""","both$INST[both$editor_id==2178 & both$INST==""usfs us forest service""]<-""usfs northern research station"""
FEM,2010,2170,linda,s,heath,heath,usfs us forest service,,usfs northern research station,,durham,USA,,both$INST[both$editor_id==,2170," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs northern research station,"""","both$INST[both$editor_id==2170 & both$INST==""usfs us forest service""]<-""usfs northern research station"""
OECOL,1995,724,david,NA,hollinger,hollinger,usfs us forest service,,usfs northern research station,,durham,USA,,both$INST[both$editor_id==,724," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs northern research station,"""","both$INST[both$editor_id==724 & both$INST==""usfs us forest service""]<-""usfs northern research station"""
FEM,2002,798,daniel,green,neary,neary,usfs us forest service,,usfs rocky mountain research station,,flagstaff,USA,,both$INST[both$editor_id==,798," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs rocky mountain research station,"""","both$INST[both$editor_id==798 & both$INST==""usfs us forest service""]<-""usfs rocky mountain research station"""
LANDSCAPEECO,2013,3310,s,a,cushman,cushman,usfs us forest service,,usfs rocky mountain research station,,flagstaff,USA,,both$INST[both$editor_id==,3310," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs rocky mountain research station,"""","both$INST[both$editor_id==3310 & both$INST==""usfs us forest service""]<-""usfs rocky mountain research station"""
FEM,2013,1783,jose,NA,negron,negron,usfs us forest service,,usfs rocky mountain research station,,fort collins,USA,,both$INST[both$editor_id==,1783," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs rocky mountain research station,"""","both$INST[both$editor_id==1783 & both$INST==""usfs us forest service""]<-""usfs rocky mountain research station"""
LANDSCAPEECO,2005,448,c,h,flather,flather,usfs us forest service,,usfs rocky mountain research station,,fort collins,USA,,both$INST[both$editor_id==,448," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs rocky mountain research station,"""","both$INST[both$editor_id==448 & both$INST==""usfs us forest service""]<-""usfs rocky mountain research station"""
CONBIO,1995,2613,mary,f,willson,willson,usfs us forest service,,usfs pacific northwest research station,,juneau,USA,,both$INST[both$editor_id==,2613," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs pacific northwest research station,"""","both$INST[both$editor_id==2613 & both$INST==""usfs us forest service""]<-""usfs pacific northwest research station"""
CONBIO,2012,2555,michael,NA,schwartz,schwartz,usfs us forest service,,usfs rocky mountain research station,,missoula,USA,,both$INST[both$editor_id==,2555," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs rocky mountain research station,"""","both$INST[both$editor_id==2555 & both$INST==""usfs us forest service""]<-""usfs rocky mountain research station"""
LANDSCAPEECO,2011,3310,s,a,cushman,cushman,usfs us forest service,,usfs rocky mountain research station,,missoula,USA,,both$INST[both$editor_id==,3310," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs rocky mountain research station,"""","both$INST[both$editor_id==3310 & both$INST==""usfs us forest service""]<-""usfs rocky mountain research station"""
ECOGRAPHY,2005,135,andrew,NA,liebhold,liebhold,usfs us forest service,,usfs northern research station,,morgantown,USA,,both$INST[both$editor_id==,135," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs northern research station,"""","both$INST[both$editor_id==135 & both$INST==""usfs us forest service""]<-""usfs northern research station"""
AMNAT,2003,448,curtis,h,flather,flather,usfs us forest service,,usfs rocky mountain research station,,NA,USA,,both$INST[both$editor_id==,448," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs rocky mountain research station,"""","both$INST[both$editor_id==448 & both$INST==""usfs us forest service""]<-""usfs rocky mountain research station"""
AUK,2017,NA,bill,NA,monahan,monahan,usfs us forest service,,usfs rocky mountain research station,Forest Health Assessment & Applied Science Team,NA,USA,,both$INST[both$LAST_NAME==,"""monahan"""," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs rocky mountain research station,"""","both$INST[both$LAST_NAME==""monahan"" & both$INST==""usfs us forest service""]<-""usfs rocky mountain research station"""
BITR,1999,766,d,jean,lodge,lodge,usfs us forest service,,usfs northern research station,,NA,USA,,both$INST[both$editor_id==,766," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs northern research station,"""","both$INST[both$editor_id==766 & both$INST==""usfs us forest service""]<-""usfs northern research station"""
BITR,1999,1566,john,j,ewel,ewel,usfs us forest service,,usfs institute of pacific islands dorestry,,NA,USA,,both$INST[both$editor_id==,1566," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs institute of pacific islands dorestry,"""","both$INST[both$editor_id==1566 & both$INST==""usfs us forest service""]<-""usfs institute of pacific islands dorestry"""
ECOLOGY,2002,1107,frederick,c,meinzer,meinzer,usfs us forest service,,usfs pacific northwest research station,,NA,USA,,both$INST[both$editor_id==,1107," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs pacific northwest research station,"""","both$INST[both$editor_id==1107 & both$INST==""usfs us forest service""]<-""usfs pacific northwest research station"""
LANDSCAPEECO,1999,2178,louis,NA,iverson,iverson,usfs us forest service,,usfs northern research station,,NA,USA,,both$INST[both$editor_id==,2178," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs northern research station,"""","both$INST[both$editor_id==2178 & both$INST==""usfs us forest service""]<-""usfs northern research station"""
LANDSCAPEECO,2007,2075,k,NA,riitters,riitters,usfs us forest service,,usfs southern research station,,research triangle park,USA,,both$INST[both$editor_id==,2075," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs southern research station,"""","both$INST[both$editor_id==2075 & both$INST==""usfs us forest service""]<-""usfs southern research station"""
LANDSCAPEECO,2011,671,d,NA,donner,donner,usfs us forest service,,usfs northern research station,,rhinelander,USA,,both$INST[both$editor_id==,671," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs northern research station,"""","both$INST[both$editor_id==671 & both$INST==""usfs us forest service""]<-""usfs northern research station"""
LANDSCAPEECO,2005,975,e,NA,gustafson,gustafson,usfs us forest service,,usfs northern research station,,rhinelander,USA,,both$INST[both$editor_id==,975," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs northern research station,"""","both$INST[both$editor_id==975 & both$INST==""usfs us forest service""]<-""usfs northern research station"""
BITR,1996,1127,fred,NA,scatena,,usÊforestÊserv,,usfs international institute of tropical forestry,,rio piedras,USA,,both$INST[both$editor_id==,1127," & both$INST==""",usÊforestÊserv,"""",,"]<-""",usfs international institute of tropical forestry,"""","both$INST[both$editor_id==1127 & both$INST==""usÊforestÊserv""]<-""usfs international institute of tropical forestry"""
PLANTECOL,1985,139,ariel,e,lugo,lugo,usfs us forest service,,usfs international institute of tropical forestry,,rio piedras,USA,,both$INST[both$editor_id==,139," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs international institute of tropical forestry,"""","both$INST[both$editor_id==139 & both$INST==""usfs us forest service""]<-""usfs international institute of tropical forestry"""
FEM,2002,909,daniel,r,weise,weise,usfs us forest service,,usfs pacific southwest research station,,riveside,USA,,both$INST[both$editor_id==,909," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs pacific southwest research station,"""","both$INST[both$editor_id==909 & both$INST==""usfs us forest service""]<-""usfs pacific southwest research station"""
PLANTECOL,1991,139,ariel,e,lugo,lugo,usfs us forest service,,usfs international institute of tropical forestry,,san juan,USA,,both$INST[both$editor_id==,139," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs international institute of tropical forestry,"""","both$INST[both$editor_id==139 & both$INST==""usfs us forest service""]<-""usfs international institute of tropical forestry"""
CONBIO,1989,1580,jerry,NA,franklin,franklin,usfs us forest service,,usfs pacific northwest research station,,seattle,USA,,both$INST[both$editor_id==,1580," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs pacific northwest research station,"""","both$INST[both$editor_id==1580 & both$INST==""usfs us forest service""]<-""usfs pacific northwest research station"""
FEM,1984,341,boyd,w,post,post,usfs us forest service,,usfs northern research station,,washington dc,USA,,both$INST[both$editor_id==,341," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs northern research station,"""","both$INST[both$editor_id==341 & both$INST==""usfs us forest service""]<-""usfs northern research station"""
FEM,1996,1255,greg,NA,ruark,ruark,usfs us forest service,,usfs southern research station,,washington dc,USA,,both$INST[both$editor_id==,1255," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs southern research station,"""","both$INST[both$editor_id==1255 & both$INST==""usfs us forest service""]<-""usfs southern research station"""
FEM,1998,1909,john,r,toliver,toliver,usfs us forest service,,usfs southern research station,,washington dc,USA,,both$INST[both$editor_id==,1909," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs southern research station,"""","both$INST[both$editor_id==1909 & both$INST==""usfs us forest service""]<-""usfs southern research station"""
FEM,1984,3383,stanley,l,krugman,krugman,usfs us forest service,,usfs southern research station,,washington dc,USA,,both$INST[both$editor_id==,3383," & both$INST==""",usfs us forest service,"""",,"]<-""",usfs southern research station,"""","both$INST[both$editor_id==3383 & both$INST==""usfs us forest service""]<-""usfs southern research station"""
PLANTECOL,1997,1604,james,b,grace,grace,usgs united states geological survey,,usgs national wetlands research center,,lafayette,USA,,both$INST[both$editor_id==,1604," & both$INST==""",usgs united states geological survey,"""",,"]<-""",usgs national wetlands research center,"""","both$INST[both$editor_id==1604 & both$INST==""usgs united states geological survey""]<-""usgs national wetlands research center"""
JAPE,2001,1786,james,d,nichols,nichols,usgs united states geological survey,,usgs Patuxent Wildlife Research Center,,laurel,USA,,both$INST[both$editor_id==,1786," & both$INST==""",usgs united states geological survey,"""",,"]<-""",usgs Patuxent Wildlife Research Center,"""","both$INST[both$editor_id==1786 & both$INST==""usgs united states geological survey""]<-""usgs Patuxent Wildlife Research Center"""
AMNAT,1999,663,donald,l,deangelis,deangelis,usgs united states geological survey,,usgs national wetlands research center,,NA,USA,,both$INST[both$editor_id==,663," & both$INST==""",usgs united states geological survey,"""",,"]<-""",usgs national wetlands research center,"""","both$INST[both$editor_id==663 & both$INST==""usgs united states geological survey""]<-""usgs national wetlands research center"""
AMNAT,1997,1604,james,b,grace,grace,usgs united states geological survey,,usgs national wetlands research center,,NA,USA,,both$INST[both$editor_id==,1604," & both$INST==""",usgs united states geological survey,"""",,"]<-""",usgs national wetlands research center,"""","both$INST[both$editor_id==1604 & both$INST==""usgs united states geological survey""]<-""usgs national wetlands research center"""
AUK,2008,NA,john,f,piatt,piatt,usgs united states geological survey,,usgs Alaska Science Center,,NA,USA,,both$INST[both$LAST_NAME==,"""piatt"""," & both$INST==""",usgs united states geological survey,"""",,"]<-""",usgs Alaska Science Center,"""","both$INST[both$LAST_NAME==""piatt"" & both$INST==""usgs united states geological survey""]<-""usgs Alaska Science Center"""
ECOLOGY,2003,1854,john,r,sauer,sauer,usgs united states geological survey,,usgs Patuxent Wildlife Research Center,,NA,USA,,both$INST[both$editor_id==,1854," & both$INST==""",usgs united states geological survey,"""",,"]<-""",usgs Patuxent Wildlife Research Center,"""","both$INST[both$editor_id==1854 & both$INST==""usgs united states geological survey""]<-""usgs Patuxent Wildlife Research Center"""
ECOLOGY,2005,2037,kevin,NA,lafferty,lafferty,usgs united states geological survey,,usgs Western Ecological Research Center,,NA,USA,,both$INST[both$editor_id==,2037," & both$INST==""",usgs united states geological survey,"""",,"]<-""",usgs Western Ecological Research Center,"""","both$INST[both$editor_id==2037 & both$INST==""usgs united states geological survey""]<-""usgs Western Ecological Research Center"""
ECOLOGY,2002,3643,thomas,j,stohlgren,stohlgren,usgs united states geological survey,,usgs Fort Collins Science Center,,NA,USA,,both$INST[both$editor_id==,3643," & both$INST==""",usgs united states geological survey,"""",,"]<-""",usgs Fort Collins Science Center,"""","both$INST[both$editor_id==3643 & both$INST==""usgs united states geological survey""]<-""usgs Fort Collins Science Center"""
JAPE,2007,1848,j,andrew,royle,royle,usgs united states geological survey,,usgs Patuxent Wildlife Research Center,,NA,USA,,both$INST[both$editor_id==,1848," & both$INST==""",usgs united states geological survey,"""",,"]<-""",usgs Patuxent Wildlife Research Center,"""","both$INST[both$editor_id==1848 & both$INST==""usgs united states geological survey""]<-""usgs Patuxent Wildlife Research Center"""
ECOLOGY,2000,486,cliff,r,hupp,hupp,usgs united states geological survey,,usgs Florence Bascom Geoscience Center,,reston,USA,,both$INST[both$editor_id==,486," & both$INST==""",usgs united states geological survey,"""",,"]<-""",usgs Florence Bascom Geoscience Center,"""","both$INST[both$editor_id==486 & both$INST==""usgs united states geological survey""]<-""usgs Florence Bascom Geoscience Center"""
