NA,Argentina,*,,,,,,,,
university nacional de misiones conicet,Argentina,*,,,,,,,,
2x monash,Australia,*,,,,,,,,
2x queensland,Australia,*,,,,,,,,
2x sydney,Australia,*,,,,,,,,
canberra,Australia,*,,,,,,,,
csiro,Australia,*,,,,,,,,
james cook university,Australia,*,,,,,,,,
NA,Australia,*,,,,,,,,
2x salzburg,Austria,*,,,,,,,,
innsbruck,Austria,*,,,,,,,,
universidade federal de alagoas,Brazil And UK,*,,,,,,,,
2x guelph,Canada,*,,,,,,,,
2x regina,Canada,*,,,,,,,,
2x sackville,Canada,*,,,,,,,,
2x saskatchewan,Canada,*,,,,,,,,
double check,Canada,*,,,,,,,,
environment canada,Canada,*,,,,,,,,
memorial university of newfoundland,Canada,*,,,,,,,,
no one by this name,Canada,*,,,,,,,,
queen’s university,Canada,*,,,,,,,,
queens university,Canada,*,,,,,,,,
toronto,Canada,*,,,,,,,,
vancouver,Canada,*,,,,,,,,
york university,Canada,*,,,,,,,,
2x santiago,Chile,*,,,,,,,,
ciep,Chile,*,,,,,,,,
2x peking,China,*,,,,,,,,
bogota,Colombia,*,,,,,,,,
2x tartu,Estonia,*,,,,,,,,
no one by this name,Finland,*,,,,,,,,
oulu game and fisheries res,Finland,*,,,,,,,,
2x montpellier,France,*,,,,,,,,
csiro european laboratory,France,*,,,,,,,,
double check,France,*,,,,,,,,
same as other ag inst?,France,*,,,,,,,,
2x jena,Germany,*,,,,,,,,
2x ulm,Germany,*,,,,,,,,
göttingen,Germany,*,,,,,,,,
2x cork,Ireland,*,,,,,,,,
jerusalem,Israel,*,,,,,,,,
pen patr,Israel,*,,,,,,,,
2x hokkaido,Japan,*,,,,,,,,
2x kyoto,Japan,*,,,,,,,,
marine lab,NA,*,,,,,,,,
wageningen university and instituto boliviano de investigacion forestal,Netherlands,*,,,,,,,,
christchurch,New Zealand,*,,,,,,,,
no one by this name,New Zealand,*,,,,,,,,
norwegian inst nat management,Norway,*,,,,,,,,
zoological museum,Norway,*,,,,,,,,
2x krakow,Poland,*,,,,,,,,
2x seoul,Republic of Korea,*,,,,,,,,
2x pretoria,South Africa,*,,,,,,,,
double check,South Africa,*,,,,,,,,
johannesburg,South Africa,*,,,,,,,,
2x madrid,Spain,*,,,,,,,,
ets ingenieros de montes,Spain,*,,,,,,,,
vigo,Spain,*,,,,,,,,
westing associates,Sweden,*,,,,,,,,
zurich,Switzerland,*,,,,,,,,
2x dundee,United Kingdom,*,,,,,,,,
2x london,United Kingdom,*,,,,,,,,
2x reading,United Kingdom,*,,,,,,,,
2x swansea,United Kingdom,*,,,,,,,,
british museum of natural history,United Kingdom,*,,,,,,,,
no one by this name,United Kingdom,*,,,,,,,,
retired,United Kingdom,*,put all unaffiliated/retired together,,,,,,,
york,United Kingdom,*,,,,,,,,
zoological society,United Kingdom,*,,,,,,,,
2x dartmouth,USA,*,,,,,,,,
2x illinois,USA,*,,,,,,,,
2x indiana,USA,*,,,,,,,,
2x maine,USA,*,,,,,,,,
2x montana,USA,*,,,,,,,,
2x north carolina,USA,*,,,,,,,,
2x ohio,USA,*,,,,,,,,
2x pennsylvania,USA,*,,,,,,,,
2x philadelphia,USA,*,,,,,,,,
2x pittsburgh,USA,*,,,,,,,,
2x seattle,USA,*,,,,,,,,
2x syracuse,USA,*,,,,,,,,
2x tennessee,USA,*,,,,,,,,
arizona,USA,*,,,,,,,,
bethesda,USA,*,,,,,,,,
california,USA,*,,,,,,,,
california state,USA,*,,,,,,,,
clerel,USA,*,,,,,,,,
cuny city university of new york,USA,*,,,,,,,,
hawaii,USA,*,,,,,,,,
minnesota,USA,*,,,,,,,,
nebraska,USA,*,,,,,,,,
no one by this name,USA,*,,,,,,,,
research and development mwrdgc,USA,*,,,,,,,,
university of georgia,USA,*,,,,,,,,
university of georgia athens,USA,*,,,,,,,,
university of oxford,USA,*,,,,,,,,
utah,USA,*,,,,,,,,
vermont,USA,*,,,,,,,,
wyoming,USA,*,,,,,,,,
universitat osnabrück,West Germany,*,west germany?,,,,,,,
biological institute,Yugoslavia,*,,,,,,,,
agr university norway,Norway,agricultural university of norway,,,,,,,,
brown university ,USA,brown university,,,,,,,,
"calyx, inc",USA,calyx inc,,,,,,,,
cary institute of ecosystem studies,USA,cary institute of ecosystem studies,,,,,,,,
university of florida,Canada,could be incorrect inst from fill,,,,,,,,
university of iowa,Canada,could be incorrect inst from fill,,,,,,,,
university of oxford,Canada,could be incorrect inst from fill,,,,,,,,
wsl swiss federal research institute,Denmark,could be incorrect inst from fill,,,,,,,,
university of turku,Estonia,could be incorrect inst from fill,,,,,,,,
csiro sustainable ecosystems,France,could be incorrect inst from fill,,,,,,,,
usfs,Germany,could be incorrect inst from fill,,,,,,,,
university of arkansas,Ireland,could be incorrect inst from fill,,,,,,,,
university of york,Ireland,could be incorrect inst from fill,,,,,,,,
imperial college of london,Israel,could be incorrect inst from fill,,,,,,,,
university of quebec in abitibi temiscamingue,Israel,could be incorrect inst from fill,,,,,,,,
helmholtz centre for environmental research ufz,Netherlands,could be incorrect inst from fill,,,,,,,,
csic,New Zealand,could be incorrect inst from fill,,,,,,,,
university of nottingham,Slovakia,could be incorrect inst from fill,,,,,,,,
university of wisconsin madison,Sweden,could be incorrect inst from fill,,,,,,,,
max planck institute of biogeochemistry,Switzerland,could be incorrect inst from fill,,,,,,,,
carnegie institution,United Kingdom,could be incorrect inst from fill,,,,,,,,
university of turku,United Kingdom,could be incorrect inst from fill,,,,,,,,
university of western australia,United Kingdom,could be incorrect inst from fill,,,,,,,,
merlewood research station,USA,could be incorrect inst from fill,,,,,,,,
universidad de concepcion,USA,could be incorrect inst from fill,,,,,,,,
universidade estadual paulista,USA,could be incorrect inst from fill,,,,,,,,
university of guelph,USA,could be incorrect inst from fill,,,,,,,,
university of hull,USA,could be incorrect inst from fill,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
