journal,year,editor_id,first_name,middle_name,last_name,inst,notes
jzool,2014,2763,p,NA,bateman,NA,na / na
jzool,2008,2981,robert,NA,beason,NA,na / na
jzool,2013,2981,robert,NA,beason,NA,na / na
jzool,2013,1466,j,NA,bielby,NA,na / na
jzool,2014,1466,j,NA,bielby,NA,na / na
jzool,2011,939,e,NA,briefer,NA,na / na
jzool,2014,939,e,NA,briefer,NA,na / na
jzool,1989,35,a,NA,cave,NA,na / na
jzool,1990,35,a,NA,cave,NA,na / na
jzool,2011,664,d,NA,dechmann,NA,na / na
jzool,2014,664,d,NA,dechmann,NA,na / na
jzool,1985,3918,marcia,NA,edwards,NA,na / na
jzool,1986,3918,marcia,NA,edwards,NA,na / na
jzool,2011,2807,p,NA,fleming,NA,na / na
jzool,2014,2807,p,NA,fleming,NA,na / na
jzool,2011,103,a,NA,herrel,NA,na / na
jzool,2014,103,a,NA,herrel,NA,na / na
jzool,2011,3110,r,NA,jenner,NA,na / na
jzool,2014,3110,r,NA,jenner,NA,na / na
jzool,2008,3838,yvonne-marie,NA,linton,NA,na / na
jzool,2010,3838,yvonne-marie,NA,linton,NA,na / na
jzool,2008,1730,john,NA,lynch,NA,na / na
jzool,2014,1730,john,NA,lynch,NA,na / na
jzool,2008,148,alan,NA,mcelligott,NA,na / na
jzool,2014,148,alan,NA,mcelligott,NA,na / na
jzool,2008,328,ben,NA,moore,NA,na / na
jzool,2014,328,ben,NA,moore,NA,na / na
jzool,2008,2879,peter,NA,ng,NA,na / na
jzool,2014,2879,peter,NA,ng,NA,na / na
jzool,2011,2681,n,NA,raihani,NA,na / na
jzool,2014,2681,n,NA,raihani,NA,na / na
jzool,2009,2682,n,NA,raine,NA,na / na
jzool,2014,2682,n,NA,raine,NA,na / na
jzool,2008,3819,walter,NA,wilczynski,NA,na / na
jzool,2010,3819,walter,NA,wilczynski,NA,na / na
jzool,2008,3934,rob,NA,williams,NA,na / na
jzool,2014,3934,rob,NA,williams,NA,na / na
jzool,2011,2708,n,NA,yamaguchi,NA,na / na
jzool,2014,2708,n,NA,yamaguchi,NA,na / na
leco,1987,2495,m,NA,numata,NA,na / na
leco,1992,2495,m,NA,numata,NA,na / na
marecol,2005,4123,a,NA,genin,NA,na / na
marecol,2007,4123,a,NA,genin,NA,na / na
marecol,2005,4125,a,NA,giangrande,NA,na / na
marecol,2007,4125,a,NA,giangrande,NA,na / na
najfm,2009,1432,jean,v,adams,NA,na / na
najfm,2011,1432,jean,v,adams,NA,na / na
najfm,2004,2269,mike,s,allen,NA,na / na
najfm,2010,2269,mike,s,allen,NA,na / na
najfm,2006,382,christopher,m,anderson,NA,na / na
najfm,2013,382,christopher,m,anderson,NA,na / na
najfm,1989,1438,james,j,anderson,NA,na / na
najfm,1993,2756,paul,l,angermeier,NA,na / na
najfm,1994,2756,paul,l,angermeier,NA,na / na
najfm,1981,3674,vaughn,c,anothony,NA,na / na
najfm,1982,3674,vaughn,c,anothony,NA,na / na
najfm,1996,8,andrew,j,applegate,NA,na / na
najfm,1998,8,andrew,j,applegate,NA,na / na
najfm,2009,2972,robert,NA,arlinghaus,NA,na / na
najfm,2014,2972,robert,NA,arlinghaus,NA,na / na
najfm,1985,613,dean,e,arnold,NA,na / na
najfm,1986,613,dean,e,arnold,NA,na / na
najfm,1993,614,douglas,j,austen,NA,na / na
najfm,1994,614,douglas,j,austen,NA,na / na
najfm,1992,2980,ray,NA,beamesderfer,NA,na / na
najfm,1993,2980,ray,NA,beamesderfer,NA,na / na
najfm,2000,3513,t,douglas,beard,NA,na / na
najfm,2001,3513,t,douglas,beard,NA,na / na
najfm,1996,619,david,a,beauchamp,NA,na / na
najfm,1997,619,david,a,beauchamp,NA,na / na
najfm,1985,393,c,dale,becker,NA,na / na
najfm,1986,393,c,dale,becker,NA,na / na
najfm,1981,1978,kirt,t,beiningen,NA,na / na
najfm,1982,1978,kirt,t,beiningen,NA,na / na
najfm,2013,2293,michael,c,bell,NA,na / na
najfm,2014,2293,michael,c,bell,NA,na / na
najfm,1993,1459,james,r,bence,NA,na / na
najfm,1994,1459,james,r,bence,NA,na / na
najfm,1995,624,david,h,bennett,NA,na / na
najfm,1997,624,david,h,bennett,NA,na / na
najfm,1983,2982,ronald,j,berg,NA,na / na
najfm,1984,2982,ronald,j,berg,NA,na / na
najfm,1989,933,eric,p,bergersen,NA,na / na
najfm,1985,396,charles,r,berry,NA,na / na
najfm,1987,396,charles,r,berry,NA,na / na
najfm,2003,2984,robert,k,betsill,NA,na / na
najfm,2005,2984,robert,k,betsill,NA,na / na
najfm,1992,2768,phillip,w,bettoli,NA,na / na
najfm,1994,2768,phillip,w,bettoli,NA,na / na
najfm,1992,2300,mark,s,bevelhimer,NA,na / na
najfm,1993,2300,mark,s,bevelhimer,NA,na / na
najfm,1995,1287,h,lee,blankenship,NA,na / na
najfm,1998,1287,h,lee,blankenship,NA,na / na
najfm,1992,2131,louis,w,botsford,NA,na / na
najfm,2009,3515,timothy,f,bovechio,NA,na / na
najfm,2010,3515,timothy,f,bovechio,NA,na / na
najfm,1989,3718,w,raymond,bowering,NA,na / na
najfm,1993,1477,jeff,c,boxrucker,NA,na / na
najfm,1995,1477,jeff,c,boxrucker,NA,na / na
najfm,2004,2309,mike,NA,bradford,NA,na / na
najfm,2005,2309,mike,NA,bradford,NA,na / na
najfm,2011,406,charles,r,bronte,NA,na / na
najfm,2013,406,charles,r,bronte,NA,na / na
najfm,1992,250,bradford,e,brown,NA,na / na
najfm,1993,250,bradford,e,brown,NA,na / na
najfm,1992,410,c,frederick,bryan,NA,na / na
najfm,1993,410,c,frederick,bryan,NA,na / na
najfm,2006,2775,phaedra,NA,budy,NA,na / na
najfm,2008,2775,phaedra,NA,budy,NA,na / na
najfm,1997,1488,james,s,bulak,NA,na / na
najfm,1998,1488,james,s,bulak,NA,na / na
najfm,1990,2779,phyllis,h,cahn,NA,na / na
najfm,1995,2779,phyllis,h,cahn,NA,na / na
najfm,1985,414,charles,w,caillouet,NA,na / na
najfm,1986,414,charles,w,caillouet,NA,na / na
najfm,1987,3012,robert,f,carline,NA,na / na
najfm,1988,3012,robert,f,carline,NA,na / na
najfm,1997,1159,gary,j,carmichael,NA,na / na
najfm,1999,1159,gary,j,carmichael,NA,na / na
najfm,1989,3724,william,j,christie,NA,na / na
najfm,1990,3724,william,j,christie,NA,na / na
najfm,1988,3019,richard,d,clark,NA,na / na
najfm,1989,3019,richard,d,clark,NA,na / na
najfm,2000,2784,patricia,m,clay,NA,na / na
najfm,2003,2784,patricia,m,clay,NA,na / na
najfm,1985,1514,james,p,clugston,NA,na / na
najfm,1986,1514,james,p,clugston,NA,na / na
najfm,1992,653,daniel,w,coble,NA,na / na
najfm,1994,653,daniel,w,coble,NA,na / na
najfm,1981,949,edwin,l,cooper,NA,na / na
najfm,1982,949,edwin,l,cooper,NA,na / na
najfm,1985,45,almo,j,cordone,NA,na / na
najfm,1986,45,almo,j,cordone,NA,na / na
najfm,2008,658,david,e,cowley,NA,na / na
najfm,2009,3307,sean,p,cox,NA,na / na
najfm,1997,3030,richard,a,cunjak,NA,na / na
najfm,1999,3030,richard,a,cunjak,NA,na / na
najfm,2000,1996,kenneth,p,currens,NA,na / na
najfm,2004,1996,kenneth,p,currens,NA,na / na
najfm,2000,3031,r,allen,curry,NA,na / na
najfm,2002,3031,r,allen,curry,NA,na / na
najfm,2009,661,daniel,j,daugherty,NA,na / na
najfm,2013,661,daniel,j,daugherty,NA,na / na
najfm,1993,3680,verdel,k,dawson,NA,na / na
najfm,1994,3680,verdel,k,dawson,NA,na / na
najfm,1992,667,dennis,NA,devries,NA,na / na
najfm,1994,667,dennis,NA,devries,NA,na / na
najfm,2004,1544,j,andrew,dewoody,NA,na / na
najfm,2005,1544,j,andrew,dewoody,NA,na / na
najfm,1987,1546,joseph,g,dillard,NA,na / na
najfm,1988,1546,joseph,g,dillard,NA,na / na
najfm,2002,3042,robert,b,ditton,NA,na / na
najfm,2003,3042,robert,b,ditton,NA,na / na
najfm,1987,675,donald,a,duff,NA,na / na
najfm,2008,676,dennis,j,dunning,NA,na / na
najfm,2010,676,dennis,j,dunning,NA,na / na
najfm,2003,3047,richard,t,eades,NA,na / na
najfm,2013,3047,richard,t,eades,NA,na / na
najfm,2003,3319,steven,f,edwards,NA,na / na
najfm,2005,3319,steven,f,edwards,NA,na / na
najfm,1995,1559,joseph,h,elrod,NA,na / na
najfm,1996,1559,joseph,h,elrod,NA,na / na
najfm,1984,64,allen,a,elser,NA,na / na
najfm,1985,64,allen,a,elser,NA,na / na
najfm,2005,69,andrew,h,fayram,NA,na / na
najfm,2010,69,andrew,h,fayram,NA,na / na
najfm,1988,4105,anthony,j,fedler,NA,na / na
najfm,1990,4105,anthony,j,fedler,NA,na / na
najfm,2004,685,david,g,felder,NA,na / na
najfm,2006,685,david,g,felder,NA,na / na
najfm,2009,75,anthony,c,fiumera,NA,na / na
najfm,2010,75,anthony,c,fiumera,NA,na / na
najfm,1981,2645,ned,e,fogle,NA,na / na
najfm,1982,2645,ned,e,fogle,NA,na / na
najfm,2006,695,david,c,fulton,NA,na / na
najfm,2007,695,david,c,fulton,NA,na / na
najfm,1998,1068,fritz,NA,funk,NA,na / na
najfm,2001,1068,fritz,NA,funk,NA,na / na
najfm,1992,698,donald,w,gabelhouse,NA,na / na
najfm,1993,698,donald,w,gabelhouse,NA,na / na
najfm,1984,3742,wendy,l,gabriel,NA,na / na
najfm,1985,3742,wendy,l,gabriel,NA,na / na
najfm,2005,456,charles,j,gagen,NA,na / na
najfm,2006,456,charles,j,gagen,NA,na / na
najfm,2013,276,benny,NA,gallaway,NA,na / na
najfm,2008,2384,mark,NA,gard,NA,na / na
najfm,2014,2384,mark,NA,gard,NA,na / na
najfm,2003,1592,john,m,gates,NA,na / na
najfm,2005,1592,john,m,gates,NA,na / na
najfm,2006,3555,todd,NA,gedamke,NA,na / na
najfm,2008,3555,todd,NA,gedamke,NA,na / na
najfm,2007,701,david,r,geist,NA,na / na
najfm,2013,701,david,r,geist,NA,na / na
najfm,2008,2008,kenneth,g,gerow,NA,na / na
najfm,2012,2008,kenneth,g,gerow,NA,na / na
najfm,1985,1599,jay,jc,ginter,NA,na / na
najfm,1986,1599,jay,jc,ginter,NA,na / na
najfm,1987,85,albert,e,giorgi,NA,na / na
najfm,1987,3340,steven,p,gloss,NA,na / na
najfm,1989,3340,steven,p,gloss,NA,na / na
najfm,1996,3557,timothy,j,goeman,NA,na / na
najfm,1998,3557,timothy,j,goeman,NA,na / na
najfm,2000,465,charles,NA,gowan,NA,na / na
najfm,1998,3077,robert,e,gresswell,NA,na / na
najfm,1999,3077,robert,e,gresswell,NA,na / na
najfm,1986,1074,frank,NA,grice,NA,na / na
najfm,1987,1074,frank,NA,grice,NA,na / na
najfm,1988,286,bernard,l,griswold,NA,na / na
najfm,1989,286,bernard,l,griswold,NA,na / na
najfm,1996,468,carolyn,a,griswold,NA,na / na
najfm,2012,468,carolyn,a,griswold,NA,na / na
najfm,1981,469,calvin,l,groen,NA,na / na
najfm,1982,469,calvin,l,groen,NA,na / na
najfm,1989,3344,steven,j,gutreuter,NA,na / na
najfm,1990,3344,steven,j,gutreuter,NA,na / na
najfm,1997,470,christopher,s,guy,NA,na / na
najfm,1999,470,christopher,s,guy,NA,na / na
najfm,1981,3080,robert,c,haase,NA,na / na
najfm,1982,3080,robert,c,haase,NA,na / na
najfm,1987,3559,terry,a,haines,NA,na / na
najfm,1990,3559,terry,a,haines,NA,na / na
najfm,1997,3082,r,scott,hale,NA,na / na
najfm,2000,3082,r,scott,hale,NA,na / na
najfm,2004,3345,stephen,s,hale,NA,na / na
najfm,2006,3345,stephen,s,hale,NA,na / na
najfm,1996,3349,susan,NA,hanna,NA,na / na
najfm,1997,3349,susan,NA,hanna,NA,na / na
najfm,1997,2395,michael,j,hansen,NA,na / na
najfm,2010,2395,michael,j,hansen,NA,na / na
najfm,2009,477,chris,j,harvey,NA,na / na
najfm,2010,477,chris,j,harvey,NA,na / na
najfm,1990,3086,richard,w,hatch,NA,na / na
najfm,1991,3086,richard,w,hatch,NA,na / na
najfm,1987,1195,gordon,n,haugen,NA,na / na
najfm,1988,1195,gordon,n,haugen,NA,na / na
najfm,1996,2824,pamela,s,haverland,NA,na / na
najfm,1994,719,daniel,NA,hayes,NA,na / na
najfm,1995,719,daniel,NA,hayes,NA,na / na
najfm,1996,3087,robert,s,hayward,NA,na / na
najfm,2004,3087,robert,s,hayward,NA,na / na
najfm,1990,2405,michael,j,healey,NA,na / na
najfm,1991,2405,michael,j,healey,NA,na / na
najfm,1994,3358,steven,w,hewett,NA,na / na
najfm,1995,3358,steven,w,hewett,NA,na / na
najfm,2009,721,david,a,hewitt,NA,na / na
najfm,2013,721,david,a,hewitt,NA,na / na
najfm,1994,3565,tracy,w,hillman,NA,na / na
najfm,1995,3565,tracy,w,hillman,NA,na / na
najfm,1990,1639,john,m,hoenig,NA,na / na
najfm,2011,1639,john,m,hoenig,NA,na / na
najfm,2011,107,andrij,z,horodysky,NA,na / na
najfm,2013,107,andrij,z,horodysky,NA,na / na
najfm,2009,1205,gregg,e,horton,NA,na / na
najfm,2010,1205,gregg,e,horton,NA,na / na
najfm,1997,3752,wayne,a,hubert,NA,na / na
najfm,2003,3752,wayne,a,hubert,NA,na / na
najfm,1995,2415,michael,d,hudgins,NA,na / na
najfm,1997,2415,michael,d,hudgins,NA,na / na
najfm,1981,1645,janice,s,hughes,NA,na / na
najfm,1998,2653,nicholas,f,hughes,NA,na / na
najfm,1999,2653,nicholas,f,hughes,NA,na / na
najfm,2000,3102,robert,m,hughes,NA,na / na
najfm,2003,3102,robert,m,hughes,NA,na / na
najfm,2004,2018,kevin,NA,hunt,NA,na / na
najfm,2005,2018,kevin,NA,hunt,NA,na / na
najfm,1994,1207,gene,r,huntsman,NA,na / na
najfm,1995,1207,gene,r,huntsman,NA,na / na
najfm,1989,2177,leroy,j,hushak,NA,na / na
najfm,1990,2177,leroy,j,hushak,NA,na / na
najfm,1995,1650,j,jeffery,isely,NA,na / na
najfm,1997,1650,j,jeffery,isely,NA,na / na
najfm,2011,733,daniel,NA,isermann,NA,na / na
najfm,2014,733,daniel,NA,isermann,NA,na / na
najfm,1995,2179,lawrence,d,jacobson,NA,na / na
najfm,1997,2179,lawrence,d,jacobson,NA,na / na
najfm,1997,2837,peter,c,jacobson,NA,na / na
najfm,1999,2837,peter,c,jacobson,NA,na / na
najfm,1999,3106,richard,a,jacobson,NA,na / na
najfm,2000,3106,richard,a,jacobson,NA,na / na
najfm,2001,1319,henriette,NA,jager,NA,na / na
najfm,1983,3109,robert,m,jenkins,NA,na / na
najfm,1995,488,cecil,a,jennings,NA,na / na
najfm,1997,488,cecil,a,jennings,NA,na / na
najfm,1989,740,douglas,b,jester,NA,na / na
najfm,1995,298,barry,l,johnson,NA,na / na
najfm,1997,298,barry,l,johnson,NA,na / na
najfm,1999,3854,brett,m,johnson,NA,na / na
najfm,2000,3869,donn,m,johnson,NA,na / na
najfm,2002,3869,donn,m,johnson,NA,na / na
najfm,2005,3572,tom,NA,johnston,NA,na / na
najfm,2006,3572,tom,NA,johnston,NA,na / na
