JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,INST,COUNTRY,GENDER,CATEGORY,NOTES
FUNECOL,2000,14,1,editorial review board,Barbara,A,Schaal,Barbara A Schaal,"Washington U, St Louis",USA,F,SE,
FUNECOL,2013,27,1,associate editor,Barbara,,Tschirren,Barbara Tschirren,Zurich,Switzerland,F,SE,
FUNECOL,2014,28,1,associate editor,Barbara,,Tschirren,Barbara Tschirren,Zurich,Switzerland,F,SE,
FUNECOL,2015,29,1,associate editor,Barbara,,Tschirren,Barbara Tschirren,Zurich,Switzerland,F,SE,
FUNECOL,1987,1,1,editorial review board,Brian,K,McNab,Brian K McNab,Florida,USA,M,SE,
FUNECOL,1988,2,1,editorial review board,Brian,K,McNab,Brian K McNab,Florida,USA,M,SE,
FUNECOL,1989,3,1,editorial review board,Brian,K,McNab,Brian K McNab,Florida,USA,M,SE,
FUNECOL,1990,4,1,editorial review board,Brian,K,McNab,Brian K McNab,Florida,USA,M,SE,
FUNECOL,1991,5,1,editorial review board,Brian,K,McNab,Brian K McNab,Florida,USA,M,SE,
FUNECOL,1992,6,1,editorial review board,Brian,K,McNab,Brian K McNab,Florida,USA,M,SE,
FUNECOL,1993,7,1,editorial review board,Brian,K,McNab,Brian K McNab,Florida,USA,M,SE,
FUNECOL,1994,8,1,editorial review board,Brian,K,McNab,Brian K McNab,Florida,USA,M,SE,
FUNECOL,1995,9,1,editorial review board,Brian,K,McNab,Brian K McNab,Florida,USA,M,SE,
FUNECOL,1996,10,1,editorial review board,Brian,K,McNab,Brian K McNab,Florida,USA,M,SE,
FUNECOL,1997,11,1,editorial review board,Brian,K,McNab,Brian K McNab,Florida,USA,M,SE,
FUNECOL,1998,12,1,editorial review board,Brian,K,McNab,Brian K McNab,Florida,USA,M,SE,
FUNECOL,1999,13,1,editorial review board,Brian,K,McNab,Brian K McNab,Florida,USA,M,SE,
FUNECOL,2006,20,1,associate editor,Brian,K,McNab,Brian K McNab,Florida,USA,M,SE,
FUNECOL,2007,21,2,associate editor,Brian,K,McNab,Brian K McNab,Florida,USA,M,SE,
FUNECOL,2008,22,1,associate editor,Brian,K,McNab,Brian K McNab,Florida,USA,M,SE,
FUNECOL,1987,1,1,editorial review board,Brian,L,Bayne,Brian L Bayne,Plymouth,England,M,SE,
FUNECOL,1988,2,1,editorial review board,Brian,L,Bayne,Brian L Bayne,Plymouth,England,M,SE,
FUNECOL,1989,3,1,editorial review board,Brian,L,Bayne,Brian L Bayne,Plymouth,England,M,SE,
FUNECOL,1990,4,1,editorial review board,Brian,L,Bayne,Brian L Bayne,Plymouth,England,M,SE,
FUNECOL,1991,5,1,editorial review board,Brian,L,Bayne,Brian L Bayne,Plymouth,England,M,SE,
FUNECOL,1992,6,1,editorial review board,Brian,L,Bayne,Brian L Bayne,Plymouth,England,M,SE,
FUNECOL,1993,7,1,editorial review board,Brian,L,Bayne,Brian L Bayne,Plymouth,England,M,SE,
FUNECOL,1994,8,1,editorial review board,Brian,L,Bayne,Brian L Bayne,Plymouth,England,M,SE,
FUNECOL,1995,9,1,editorial review board,Brian,L,Bayne,Brian L Bayne,Plymouth,England,M,SE,
FUNECOL,1996,10,1,editorial review board,Brian,L,Bayne,Brian L Bayne,Plymouth,England,M,SE,
FUNECOL,1997,11,1,editorial review board,Brian,L,Bayne,Brian L Bayne,Plymouth,England,M,SE,
FUNECOL,1998,12,1,editorial review board,Brian,L,Bayne,Brian L Bayne,Plymouth,England,M,SE,
FUNECOL,1999,13,1,editorial review board,Brian,L,Bayne,Brian L Bayne,Plymouth,England,M,SE,
FUNECOL,2012,26,1,associate editor,Carly,J,Stevens,Carly J Stevens,Lancaster,England,F,SE,
FUNECOL,2013,27,1,associate editor,Carly,J,Stevens,Carly J Stevens,Lancaster,England,F,SE,
FUNECOL,2014,28,1,associate editor,Carly,J,Stevens,Carly J Stevens,Lancaster,England,F,SE,
FUNECOL,2015,29,1,associate editor,Carly,J,Stevens,Carly J Stevens,Lancaster,England,F,SE,
FUNECOL,1987,1,1,editorial review board,Carol,L,Boggs,Carol L Boggs,Colorado,USA,F,SE,
FUNECOL,1988,2,1,editorial review board,Carol,L,Boggs,Carol L Boggs,Colorado,USA,F,SE,
FUNECOL,1989,3,1,editorial review board,Carol,L,Boggs,Carol L Boggs,Colorado,USA,F,SE,
FUNECOL,1990,4,1,editorial review board,Carol,L,Boggs,Carol L Boggs,Colorado,USA,F,SE,
FUNECOL,1991,5,1,editorial review board,Carol,L,Boggs,Carol L Boggs,Colorado,USA,F,SE,
FUNECOL,1992,6,1,editorial review board,Carol,L,Boggs,Carol L Boggs,Colorado,USA,F,SE,
FUNECOL,1993,7,1,editorial review board,Carol,L,Boggs,Carol L Boggs,Colorado,USA,F,SE,
FUNECOL,1994,8,1,editorial review board,Carol,L,Boggs,Carol L Boggs,Colorado,USA,F,SE,
FUNECOL,1995,9,1,editorial review board,Carol,L,Boggs,Carol L Boggs,Colorado,USA,F,SE,
FUNECOL,1996,10,1,editorial review board,Carol,L,Boggs,Carol L Boggs,Colorado,USA,F,SE,
FUNECOL,1997,11,1,editorial review board,Carol,L,Boggs,Carol L Boggs,Colorado,USA,F,SE,
FUNECOL,1998,12,1,editorial review board,Carol,L,Boggs,Carol L Boggs,Colorado,USA,F,SE,
