JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,INST.2,UNIT,CITY,STATE,COUNTRY,geo.code
FUNECOL,1989,3,1,401,Carol,L,Boggs,Carol L Boggs,Editorial.Review.Board,SE,,Colorado,,,,USA,USA
FUNECOL,1989,3,1,2324,Martyn,M,Caldwell,Martyn M Caldwell,Editorial.Review.Board,SE,,Utah,,,,USA,USA
FUNECOL,1989,3,1,2780,Peter,,Calow,Peter Calow,Editor,EIC,,,,,,UK,GBR
FUNECOL,1989,3,1,1534,John,WH,Dacey,John WH Dacey,Editorial.Review.Board,SE,,Woods Hole,,,,USA,USA
FUNECOL,1989,3,1,1555,James,R,Ehleringer,James R Ehleringer,Editorial.Review.Board,SE,,Utah,,,,USA,USA
FUNECOL,1989,3,1,1176,Graham,D,Farquhar,Graham D Farquhar,Editorial.Review.Board,SE,,Canberra,,,,Australia,AUS
FUNECOL,1989,3,1,3544,Tom,,Fenchel,Tom Fenchel,Editorial.Review.Board,SE,,,,,,Denmark,DNK
FUNECOL,1989,3,1,3893,John,,Grace,John Grace,Editor,EIC,,,,,,UK,GBR
FUNECOL,1989,3,1,2818,Peter,J,Grubb,Peter J Grubb,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1989,3,1,2828,Peter,W,Hochachka,Peter W Hochachka,Editorial.Review.Board,SE,,Vancouver,,,,Canada,CAN
FUNECOL,1989,3,1,3378,Sunao,,Kawano,Sunao Kawano,Editorial.Review.Board,SE,,,,,,Japan,JPN
FUNECOL,1989,3,1,499,Christian,,Korner,Christian Korner,Editorial.Review.Board,SE,,,,,,Austria,AUT
FUNECOL,1989,3,1,322,Brian,K,McNab,Brian K McNab,Editorial.Review.Board,SE,,Florida,,,,USA,USA
FUNECOL,1989,3,1,1011,Edward,I,Newman,Edward I Newman,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1989,3,1,1815,john,W,Porter,john W Porter,Editorial.Review.Board,SE,,Wisconsin,,,,USA,USA
FUNECOL,1989,3,1,1825,John,,Raven,John Raven,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1989,3,1,3203,Robert,E,Ricklefs,Robert E Ricklefs,Editorial.Review.Board,SE,,Pennsylvania,,,,USA,USA
FUNECOL,1989,3,1,350,Barbara,A,Schaal,Barbara A Schaal,Editorial.Review.Board,SE,,"Washington U, St Louis",,,,USA,USA
FUNECOL,1989,3,1,3220,Richard,M,Sibly,Richard M Sibly,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1989,3,1,3815,Ward,B,Watt,Ward B Watt,Editorial.Review.Board,SE,,Stanford,,,,USA,USA
FUNECOL,1989,3,1,3254,Robin,J,Wootton,Robin J Wootton,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1990,4,1,242,Brian,L,Bayne,Brian L Bayne,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1990,4,1,401,Carol,L,Boggs,Carol L Boggs,Editorial.Review.Board,SE,,Colorado,,,,USA,USA
FUNECOL,1990,4,1,2324,Martyn,M,Caldwell,Martyn M Caldwell,Editorial.Review.Board,SE,,Utah,,,,USA,USA
FUNECOL,1990,4,1,2780,Peter,,Calow,Peter Calow,Editor,EIC,,,,,,UK,GBR
FUNECOL,1990,4,1,1534,John,WH,Dacey,John WH Dacey,Editorial.Review.Board,SE,,Woods Hole,,,,USA,USA
FUNECOL,1990,4,1,1555,James,R,Ehleringer,James R Ehleringer,Editorial.Review.Board,SE,,Utah,,,,USA,USA
FUNECOL,1990,4,1,1176,Graham,D,Farquhar,Graham D Farquhar,Editorial.Review.Board,SE,,Canberra,,,,Australia,AUS
FUNECOL,1990,4,1,3544,Tom,,Fenchel,Tom Fenchel,Editorial.Review.Board,SE,,,,,,Denmark,DNK
FUNECOL,1990,4,1,3893,John,,Grace,John Grace,Editor,EIC,,,,,,UK,GBR
FUNECOL,1990,4,1,2818,Peter,J,Grubb,Peter J Grubb,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1990,4,1,2828,Peter,W,Hochachka,Peter W Hochachka,Editorial.Review.Board,SE,,Vancouver,,,,Canada,CAN
FUNECOL,1990,4,1,3378,Sunao,,Kawano,Sunao Kawano,Editorial.Review.Board,SE,,,,,,Japan,JPN
FUNECOL,1990,4,1,499,Christian,,Korner,Christian Korner,Editorial.Review.Board,SE,,,,Basal,"Basal, Switzerland",Austria,AUT
FUNECOL,1990,4,1,322,Brian,K,McNab,Brian K McNab,Editorial.Review.Board,SE,,Florida,,,,USA,USA
FUNECOL,1990,4,1,1011,Edward,I,Newman,Edward I Newman,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1990,4,1,1815,john,W,Porter,john W Porter,Editorial.Review.Board,SE,,Wisconsin,,,,USA,USA
FUNECOL,1990,4,1,1825,John,,Raven,John Raven,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1990,4,1,3203,Robert,E,Ricklefs,Robert E Ricklefs,Editorial.Review.Board,SE,,Pennsylvania,,,,USA,USA
FUNECOL,1990,4,1,350,Barbara,A,Schaal,Barbara A Schaal,Editorial.Review.Board,SE,,"Washington U, St Louis",,,,USA,USA
FUNECOL,1990,4,1,3220,Richard,M,Sibly,Richard M Sibly,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1990,4,1,3815,Ward,B,Watt,Ward B Watt,Editorial.Review.Board,SE,,Stanford,,,,USA,USA
FUNECOL,1990,4,1,3254,Robin,J,Wootton,Robin J Wootton,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1991,5,1,242,Brian,L,Bayne,Brian L Bayne,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1991,5,1,401,Carol,L,Boggs,Carol L Boggs,Editorial.Review.Board,SE,,Colorado,,,,USA,USA
FUNECOL,1991,5,1,2324,Martyn,M,Caldwell,Martyn M Caldwell,Editorial.Review.Board,SE,,Utah,,,,USA,USA
FUNECOL,1991,5,1,2780,Peter,,Calow,Peter Calow,Editor,EIC,,,,,,UK,GBR
FUNECOL,1991,5,1,1534,John,WH,Dacey,John WH Dacey,Editorial.Review.Board,SE,,Woods Hole,,,,USA,USA
FUNECOL,1991,5,1,1555,James,R,Ehleringer,James R Ehleringer,Editorial.Review.Board,SE,,Utah,,,,USA,USA
FUNECOL,1991,5,1,1176,Graham,D,Farquhar,Graham D Farquhar,Editorial.Review.Board,SE,,Canberra,,,,Australia,AUS
FUNECOL,1991,5,1,3544,Tom,,Fenchel,Tom Fenchel,Editorial.Review.Board,SE,,,,,,Denmark,DNK
FUNECOL,1991,5,1,3893,John,,Grace,John Grace,Editor,EIC,,,,,,UK,GBR
FUNECOL,1991,5,1,2818,Peter,J,Grubb,Peter J Grubb,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1991,5,1,2828,Peter,W,Hochachka,Peter W Hochachka,Editorial.Review.Board,SE,,Vancouver,,,,Canada,CAN
FUNECOL,1991,5,1,3378,Sunao,,Kawano,Sunao Kawano,Editorial.Review.Board,SE,,,,,,Japan,JPN
FUNECOL,1991,5,1,499,Christian,,Korner,Christian Korner,Editorial.Review.Board,SE,,,,Basal,"Basal, Switzerland",Austria,AUT
FUNECOL,1991,5,1,322,Brian,K,McNab,Brian K McNab,Editorial.Review.Board,SE,,Florida,,,,USA,USA
FUNECOL,1991,5,1,1011,Edward,I,Newman,Edward I Newman,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1991,5,1,1815,john,W,Porter,john W Porter,Editorial.Review.Board,SE,,Wisconsin,,,,USA,USA
FUNECOL,1991,5,1,1825,John,,Raven,John Raven,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1991,5,1,3203,Robert,E,Ricklefs,Robert E Ricklefs,Editorial.Review.Board,SE,,Pennsylvania,,,,USA,USA
FUNECOL,1991,5,1,350,Barbara,A,Schaal,Barbara A Schaal,Editorial.Review.Board,SE,,"Washington U, St Louis",,,,USA,USA
FUNECOL,1991,5,1,3220,Richard,M,Sibly,Richard M Sibly,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1991,5,1,3815,Ward,B,Watt,Ward B Watt,Editorial.Review.Board,SE,,Stanford,,,,USA,USA
FUNECOL,1991,5,1,3254,Robin,J,Wootton,Robin J Wootton,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1992,6,1,242,Brian,L,Bayne,Brian L Bayne,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1992,6,1,401,Carol,L,Boggs,Carol L Boggs,Editorial.Review.Board,SE,,Colorado,,,,USA,USA
FUNECOL,1992,6,1,2324,Martyn,M,Caldwell,Martyn M Caldwell,Editorial.Review.Board,SE,,Utah,,,,USA,USA
FUNECOL,1992,6,1,2780,Peter,,Calow,Peter Calow,Editor,EIC,,,,,,UK,GBR
FUNECOL,1992,6,1,1534,John,WH,Dacey,John WH Dacey,Editorial.Review.Board,SE,,Woods Hole,,,,USA,USA
FUNECOL,1992,6,1,1555,James,R,Ehleringer,James R Ehleringer,Editorial.Review.Board,SE,,Utah,,,,USA,USA
FUNECOL,1992,6,1,1176,Graham,D,Farquhar,Graham D Farquhar,Editorial.Review.Board,SE,,Canberra,,,,Australia,AUS
FUNECOL,1992,6,1,3544,Tom,,Fenchel,Tom Fenchel,Editorial.Review.Board,SE,,,,,,Denmark,DNK
FUNECOL,1992,6,1,3893,John,,Grace,John Grace,Editor,EIC,,,,,,UK,GBR
FUNECOL,1992,6,1,2818,Peter,J,Grubb,Peter J Grubb,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1992,6,1,2828,Peter,W,Hochachka,Peter W Hochachka,Editorial.Review.Board,SE,,Vancouver,,,,Canada,CAN
FUNECOL,1992,6,1,3378,Sunao,,Kawano,Sunao Kawano,Editorial.Review.Board,SE,,,,,,Japan,JPN
FUNECOL,1992,6,1,499,Christian,,Korner,Christian Korner,Editorial.Review.Board,SE,,,,Basal,"Basal, Switzerland",Austria,AUT
FUNECOL,1992,6,1,322,Brian,K,McNab,Brian K McNab,Editorial.Review.Board,SE,,Florida,,,,USA,USA
FUNECOL,1992,6,1,1011,Edward,I,Newman,Edward I Newman,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1992,6,1,1815,john,W,Porter,john W Porter,Editorial.Review.Board,SE,,Wisconsin,,,,USA,USA
FUNECOL,1992,6,1,1825,John,,Raven,John Raven,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1992,6,1,3203,Robert,E,Ricklefs,Robert E Ricklefs,Editorial.Review.Board,SE,,Pennsylvania,,,,USA,USA
FUNECOL,1992,6,1,350,Barbara,A,Schaal,Barbara A Schaal,Editorial.Review.Board,SE,,"Washington U, St Louis",,,,USA,USA
FUNECOL,1992,6,1,3220,Richard,M,Sibly,Richard M Sibly,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1992,6,1,3815,Ward,B,Watt,Ward B Watt,Editorial.Review.Board,SE,,Stanford,,,,USA,USA
FUNECOL,1992,6,1,3254,Robin,J,Wootton,Robin J Wootton,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1993,7,1,242,Brian,L,Bayne,Brian L Bayne,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1993,7,1,401,Carol,L,Boggs,Carol L Boggs,Editorial.Review.Board,SE,,Colorado,,,,USA,USA
FUNECOL,1993,7,1,2324,Martyn,M,Caldwell,Martyn M Caldwell,Editorial.Review.Board,SE,,Utah,,,,USA,USA
FUNECOL,1993,7,1,2780,Peter,,Calow,Peter Calow,Editor,EIC,,,,,,UK,GBR
FUNECOL,1993,7,1,1534,John,WH,Dacey,John WH Dacey,Editorial.Review.Board,SE,,Woods Hole,,,,USA,USA
FUNECOL,1993,7,1,1555,James,R,Ehleringer,James R Ehleringer,Editorial.Review.Board,SE,,Utah,,,,USA,USA
FUNECOL,1993,7,1,1176,Graham,D,Farquhar,Graham D Farquhar,Editorial.Review.Board,SE,,Canberra,,,,Australia,AUS
FUNECOL,1993,7,1,3544,Tom,,Fenchel,Tom Fenchel,Editorial.Review.Board,SE,,,,,,Denmark,DNK
FUNECOL,1993,7,1,3893,John,,Grace,John Grace,Editor,EIC,,,,,,UK,GBR
FUNECOL,1993,7,1,2818,Peter,J,Grubb,Peter J Grubb,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1993,7,1,2828,Peter,W,Hochachka,Peter W Hochachka,Editorial.Review.Board,SE,,Vancouver,,,,Canada,CAN
FUNECOL,1993,7,1,3378,Sunao,,Kawano,Sunao Kawano,Editorial.Review.Board,SE,,,,,,Japan,JPN
FUNECOL,1993,7,1,499,Christian,,Korner,Christian Korner,Editorial.Review.Board,SE,,,,Basal,"Basal, Switzerland",Austria,AUT
FUNECOL,1993,7,1,322,Brian,K,McNab,Brian K McNab,Editorial.Review.Board,SE,,Florida,,,,USA,USA
FUNECOL,1993,7,1,1011,Edward,I,Newman,Edward I Newman,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1993,7,1,1815,john,W,Porter,john W Porter,Editorial.Review.Board,SE,,Wisconsin,,,,USA,USA
FUNECOL,1993,7,1,1825,John,,Raven,John Raven,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1993,7,1,3203,Robert,E,Ricklefs,Robert E Ricklefs,Editorial.Review.Board,SE,,Pennsylvania,,,,USA,USA
FUNECOL,1993,7,1,350,Barbara,A,Schaal,Barbara A Schaal,Editorial.Review.Board,SE,,"Washington U, St Louis",,,,USA,USA
FUNECOL,1993,7,1,3220,Richard,M,Sibly,Richard M Sibly,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1993,7,1,3815,Ward,B,Watt,Ward B Watt,Editorial.Review.Board,SE,,Stanford,,,,USA,USA
FUNECOL,1993,7,1,3254,Robin,J,Wootton,Robin J Wootton,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1994,8,1,242,Brian,L,Bayne,Brian L Bayne,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1994,8,1,401,Carol,L,Boggs,Carol L Boggs,Editorial.Review.Board,SE,,Colorado,,,,USA,USA
FUNECOL,1994,8,1,2324,Martyn,M,Caldwell,Martyn M Caldwell,Editorial.Review.Board,SE,,Utah,,,,USA,USA
FUNECOL,1994,8,1,2780,Peter,,Calow,Peter Calow,Editor,EIC,,,,,,UK,GBR
FUNECOL,1994,8,1,1534,John,WH,Dacey,John WH Dacey,Editorial.Review.Board,SE,,Woods Hole,,,,USA,USA
FUNECOL,1994,8,1,1555,James,R,Ehleringer,James R Ehleringer,Editorial.Review.Board,SE,,Utah,,,,USA,USA
FUNECOL,1994,8,1,1176,Graham,D,Farquhar,Graham D Farquhar,Editorial.Review.Board,SE,,Canberra,,,,Australia,AUS
FUNECOL,1994,8,1,3544,Tom,,Fenchel,Tom Fenchel,Editorial.Review.Board,SE,,,,,,Denmark,DNK
FUNECOL,1994,8,1,3893,John,,Grace,John Grace,Editor,EIC,,,,,,UK,GBR
FUNECOL,1994,8,1,2818,Peter,J,Grubb,Peter J Grubb,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1994,8,1,2828,Peter,W,Hochachka,Peter W Hochachka,Editorial.Review.Board,SE,,Vancouver,,,,Canada,CAN
FUNECOL,1994,8,1,3378,Sunao,,Kawano,Sunao Kawano,Editorial.Review.Board,SE,,,,,,Japan,JPN
FUNECOL,1994,8,1,499,Christian,,Korner,Christian Korner,Editorial.Review.Board,SE,,,,Basal,"Basal, Switzerland",Austria,AUT
FUNECOL,1994,8,1,322,Brian,K,McNab,Brian K McNab,Editorial.Review.Board,SE,,Florida,,,,USA,USA
FUNECOL,1994,8,1,1011,Edward,I,Newman,Edward I Newman,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1994,8,1,1815,john,W,Porter,john W Porter,Editorial.Review.Board,SE,,Wisconsin,,,,USA,USA
FUNECOL,1994,8,1,1825,John,,Raven,John Raven,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1994,8,1,3203,Robert,E,Ricklefs,Robert E Ricklefs,Editorial.Review.Board,SE,,Pennsylvania,,,,USA,USA
FUNECOL,1994,8,1,350,Barbara,A,Schaal,Barbara A Schaal,Editorial.Review.Board,SE,,"Washington U, St Louis",,,,USA,USA
FUNECOL,1994,8,1,3220,Richard,M,Sibly,Richard M Sibly,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1994,8,1,3815,Ward,B,Watt,Ward B Watt,Editorial.Review.Board,SE,,Stanford,,,,USA,USA
FUNECOL,1994,8,1,3254,Robin,J,Wootton,Robin J Wootton,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1995,9,1,242,Brian,L,Bayne,Brian L Bayne,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1995,9,1,401,Carol,L,Boggs,Carol L Boggs,Editorial.Review.Board,SE,,Colorado,,,,USA,USA
FUNECOL,1995,9,1,2324,Martyn,M,Caldwell,Martyn M Caldwell,Editorial.Review.Board,SE,,Utah,,,,USA,USA
FUNECOL,1995,9,1,2780,Peter,,Calow,Peter Calow,Editor,EIC,,,,,,UK,GBR
FUNECOL,1995,9,1,1534,John,WH,Dacey,John WH Dacey,Editorial.Review.Board,SE,,Woods Hole,,,,USA,USA
FUNECOL,1995,9,1,1555,James,R,Ehleringer,James R Ehleringer,Editorial.Review.Board,SE,,Utah,,,,USA,USA
FUNECOL,1995,9,1,1176,Graham,D,Farquhar,Graham D Farquhar,Editorial.Review.Board,SE,,Canberra,,,,Australia,AUS
FUNECOL,1995,9,1,3544,Tom,,Fenchel,Tom Fenchel,Editorial.Review.Board,SE,,,,,,Denmark,DNK
FUNECOL,1995,9,1,3893,John,,Grace,John Grace,Editor,EIC,,,,,,UK,GBR
FUNECOL,1995,9,1,2818,Peter,J,Grubb,Peter J Grubb,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1995,9,1,2828,Peter,W,Hochachka,Peter W Hochachka,Editorial.Review.Board,SE,,Vancouver,,,,Canada,CAN
FUNECOL,1995,9,1,3378,Sunao,,Kawano,Sunao Kawano,Editorial.Review.Board,SE,,,,,,Japan,JPN
FUNECOL,1995,9,1,499,Christian,,Korner,Christian Korner,Editorial.Review.Board,SE,,,,Basal,"Basal, Switzerland",Austria,AUT
FUNECOL,1995,9,1,322,Brian,K,McNab,Brian K McNab,Editorial.Review.Board,SE,,Florida,,,,USA,USA
FUNECOL,1995,9,1,1011,Edward,I,Newman,Edward I Newman,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1995,9,1,1815,john,W,Porter,john W Porter,Editorial.Review.Board,SE,,Wisconsin,,,,USA,USA
FUNECOL,1995,9,1,1825,John,,Raven,John Raven,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1995,9,1,3203,Robert,E,Ricklefs,Robert E Ricklefs,Editorial.Review.Board,SE,,Pennsylvania,,,,USA,USA
FUNECOL,1995,9,1,350,Barbara,A,Schaal,Barbara A Schaal,Editorial.Review.Board,SE,,"Washington U, St Louis",,,,USA,USA
FUNECOL,1995,9,1,3220,Richard,M,Sibly,Richard M Sibly,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1995,9,1,3815,Ward,B,Watt,Ward B Watt,Editorial.Review.Board,SE,,Stanford,,,,USA,USA
FUNECOL,1995,9,1,3254,Robin,J,Wootton,Robin J Wootton,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1996,10,1,242,Brian,L,Bayne,Brian L Bayne,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1996,10,1,401,Carol,L,Boggs,Carol L Boggs,Editorial.Review.Board,SE,,Colorado,,,,USA,USA
FUNECOL,1996,10,1,2324,Martyn,M,Caldwell,Martyn M Caldwell,Editorial.Review.Board,SE,,Utah,,,,USA,USA
FUNECOL,1996,10,1,2780,Peter,,Calow,Peter Calow,Editor,EIC,,,,,,UK,GBR
FUNECOL,1996,10,1,1534,John,WH,Dacey,John WH Dacey,Editorial.Review.Board,SE,,Woods Hole,,,,USA,USA
FUNECOL,1996,10,1,1555,James,R,Ehleringer,James R Ehleringer,Editorial.Review.Board,SE,,Utah,,,,USA,USA
FUNECOL,1996,10,1,1176,Graham,D,Farquhar,Graham D Farquhar,Editorial.Review.Board,SE,,Canberra,,,,Australia,AUS
FUNECOL,1996,10,1,3544,Tom,,Fenchel,Tom Fenchel,Editorial.Review.Board,SE,,,,,,Denmark,DNK
FUNECOL,1996,10,1,3893,John,,Grace,John Grace,Editor,EIC,,,,,,UK,GBR
FUNECOL,1996,10,1,2818,Peter,J,Grubb,Peter J Grubb,Editorial.Review.Board,SE,,,,,,UK,GBR
FUNECOL,1996,10,1,2828,Peter,W,Hochachka,Peter W Hochachka,Editorial.Review.Board,SE,,Vancouver,,,,Canada,CAN
FUNECOL,1996,10,1,3378,Sunao,,Kawano,Sunao Kawano,Editorial.Review.Board,SE,,,,,,Japan,JPN
FUNECOL,1996,10,1,499,Christian,,Korner,Christian Korner,Editorial.Review.Board,SE,,,,Basal,"Basal, Switzerland",Austria,AUT
FUNECOL,1996,10,1,322,Brian,K,McNab,Brian K McNab,Editorial.Review.Board,SE,,Florida,,,,USA,USA
