JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code,NOTES
BIOCON,2013,157,1,173,Andrew,S,Pullin,Andrew S Pullin,AE,AE,,,,,UK,GBR,
BIOCON,2014,169,NA,173,Andrew,S,Pullin,Andrew S Pullin,E,AE,,,,,UK,GBR,
BIOCON,2004,115,1,236,Andrew,,Young,Andrew Young,EB,SE,CSIRO,Division of Plant Industry,Canberra,missing,Australia,AUS,
BIOCON,2005,121,1,236,Andrew,,Young,Andrew Young,EB,SE,,,,,Australia,AUS,
BIOCON,2006,133,1,236,Andrew,,Young,Andrew Young,EB,SE,,,,,Australia,AUS,
BIOCON,2007,140,1,236,Andrew,,Young,Andrew Young,EB,SE,,,,,Australia,AUS,
BIOCON,2008,141,1,236,Andrew,,Young,Andrew Young,SE,SE,,,,,Australia,AUS,
BIOCON,2009,142,1,236,Andrew,,Young,Andrew Young,SE,SE,,,,,Australia,AUS,
BIOCON,2010,143,1,236,Andrew,,Young,Andrew Young,SE,SE,,,,,Australia,AUS,
BIOCON,2011,144,1,236,Andrew,,Young,Andrew Young,SE,SE,,,,,Australia,AUS,
BIOCON,2012,145,1,236,Andrew,,Young,Andrew Young,SE,SE,,,,,Australia,AUS,
BIOCON,2013,157,1,236,Andrew,,Young,Andrew Young,SE,SE,,,,,Australia,AUS,
BIOCON,2010,143,1,249,Barry,W,Brook,Barry W Brook,SE,SE,University of Adelaide,School of Earth and Environmental Science,missing,missing,Australia,AUS,
BIOCON,2011,144,1,249,Barry,W,Brook,Barry W Brook,SE,SE,,,,,Australia,AUS,
BIOCON,2012,145,1,249,Barry,W,Brook,Barry W Brook,SE,SE,,,,,Australia,AUS,
BIOCON,2013,157,1,249,Barry,W,Brook,Barry W Brook,SE,SE,,,,,Australia,AUS,
BIOCON,2014,169,NA,249,Barry,W,Brook,Barry W Brook,EB,SE,,,,,Australia,AUS,
BIOCON,1991,55,1,260,B,NK,Davis,B NK Davis,AE,AE,Monks Wood Experiment Station,missing,Huntingdon,missing,UK,GBR,
BIOCON,1992,59,1,260,B,NK,Davis,B NK Davis,AE,AE,,,,,UK,GBR,
BIOCON,1993,64,1,260,B,NK,Davis,B NK Davis,SE,SE,,,,,UK,GBR,
BIOCON,1994,67,1,260,B,NK,Davis,B NK Davis,SE,SE,,,,,UK,GBR,
BIOCON,1995,71,1,260,B,NK,Davis,B NK Davis,SE,SE,,,,,UK,GBR,
BIOCON,1996,75,1,260,B,NK,Davis,B NK Davis,SE,SE,,,,,UK,GBR,
BIOCON,1997,79,1,260,B,NK,Davis,B NK Davis,SE,SE,,,,,UK,GBR,
BIOCON,1998,83,1,260,B,NK,Davis,B NK Davis,SE,SE,,,,,UK,GBR,
BIOCON,1999,87,1,260,B,NK,Davis,B NK Davis,SE,SE,,,,,UK,GBR,
BIOCON,2000,92,1,260,B,NK,Davis,B NK Davis,EIC,EIC,,,,,UK,GBR,
BIOCON,2001,97,1,260,B,NK,Davis,B NK Davis,EIC,EIC,,,,,UK,GBR,
BIOCON,2002,103,1,260,B,NK,Davis,B NK Davis,EIC,EIC,,,,,UK,GBR,
BIOCON,2003,109,1,260,B,NK,Davis,B NK Davis,EIC,EIC,,,,,UK,GBR,
BIOCON,2005,121,1,260,B,NK,Davis,B NK Davis,EB,SE,,,,,UK,GBR,
BIOCON,2006,133,1,260,B,NK,Davis,B NK Davis,EB,SE,,,,,UK,GBR,
BIOCON,2007,140,1,260,B,NK,Davis,B NK Davis,EB,SE,,,,,UK,GBR,
BIOCON,2008,141,1,260,B,NK,Davis,B NK Davis,SE,SE,,,,,UK,GBR,
BIOCON,2009,142,1,260,B,NK,Davis,B NK Davis,SE,SE,,,,,UK,GBR,
BIOCON,2010,143,1,260,B,NK,Davis,B NK Davis,SE,SE,,,,,UK,GBR,
BIOCON,2011,144,1,260,B,NK,Davis,B NK Davis,SE,SE,,,,,UK,GBR,
BIOCON,2004,115,1,330,Brian,,Moss,Brian Moss,EB,SE,University of Liverpool,missing,Liverpool,missing,UK,GBR,
BIOCON,2006,133,1,330,Brian,,Moss,Brian Moss,EB,SE,,,,,UK,GBR,
BIOCON,2007,140,1,330,Brian,,Moss,Brian Moss,EB,SE,,,,,UK,GBR,
BIOCON,2008,141,1,330,Brian,,Moss,Brian Moss,SE,SE,,,,,UK,GBR,
BIOCON,2009,142,1,330,Brian,,Moss,Brian Moss,SE,SE,,,,,UK,GBR,
BIOCON,2010,143,1,330,Brian,,Moss,Brian Moss,SE,SE,,,,,UK,GBR,
BIOCON,2011,144,1,330,Brian,,Moss,Brian Moss,SE,SE,,,,,UK,GBR,
BIOCON,2012,145,1,330,Brian,,Moss,Brian Moss,SE,SE,,,,,UK,GBR,
BIOCON,2013,157,1,330,Brian,,Moss,Brian Moss,SE,SE,,,,,UK,GBR,
BIOCON,2014,169,NA,330,Brian,,Moss,Brian Moss,EB,SE,,,,,UK,GBR,
BIOCON,1985,31,1,333,B,,NIEVERGELT,B NIEVERGELT,EB,SE,University of Zurich-Irchel,Ethology and Wildlife Research,Zurich,missing,Switzerland,CHE,
BIOCON,1986,35,1,333,B,,NIEVERGELT,B NIEVERGELT,EB,SE,,,,,Switzerland,CHE,
BIOCON,1987,39,1,333,B,,NIEVERGELT,B NIEVERGELT,EB,SE,,,,,Switzerland,CHE,
BIOCON,1988,43,1,333,B,,NIEVERGELT,B NIEVERGELT,EB,SE,,,,,Switzerland,CHE,
BIOCON,1989,47,1,333,B,,NIEVERGELT,B NIEVERGELT,EB,SE,,,,,Switzerland,CHE,
BIOCON,1990,51,1,333,B,,NIEVERGELT,B NIEVERGELT,EB,SE,,,,,Switzerland,CHE,
