no,JOURNAL,YEAR,Volume,Issue,Title,FIRST_NAME,MIDDLE NAME,LAST_NAME,NAME,INST,UNIT,CITY,STATE,COUNTRY
553,MARECOL,1987,8,1,Editorial Board,,,,T. Fenchel,University of Copenhagen,Marine Biological Laboratory,,Helsingor,
552,MARECOL,1987,8,1,Editorial Board,,,,P. Colantoni,,,,,
551,MARECOL,1987,8,1,Editorial Board,,,,G. C. Carrada,,,,,
550,MARECOL,1987,8,1,Editorial Board,,,,C. F. Boudouresque,,,,,
549,MARECOL,1987,8,1,Editorial Board,,,,B. Battaglia,,,,,
548,MARECOL,1987,8,1,Editorial Board,,,,H. A. Salem,,,,,
547,MARECOL,1987,8,1,Assistant Editor,,,,E. Fresi,,,,,
546,MARECOL,1987,8,1,Editors in Chief,,,,R. Riedl,,,,,
545,MARECOL,1987,8,1,Editors in Chief,,,,J. Ott,,,,,
544,MARECOL,1988,9,1,Editorial Board,,,,A. Zhirmunsky,,,,,
543,MARECOL,1988,9,1,Editorial Board,,,,T. Smayda,,,,,
542,MARECOL,1988,9,1,Editorial Board,,,,M. Sara,,,,,
541,MARECOL,1988,9,1,Editorial Board,,,,P. Sale,,,,,
540,MARECOL,1988,9,1,Editorial Board,,,,K. Rutzler,,,,,
539,MARECOL,1988,9,1,Editorial Board,,,,F. D. Por,,,,,
538,MARECOL,1988,9,1,Editorial Board,,,,R. Margalef,,,,,
537,MARECOL,1988,9,1,Editorial Board,,,,D. H. H. Kuhlmann,,,,,
536,MARECOL,1988,9,1,Editorial Board,,,,T. Kikuchi,,,,,
535,MARECOL,1988,9,1,Editorial Board,,,,T. S. Hopkins,,,,,
534,MARECOL,1988,9,1,Editorial Board,,,,R. Hessler,,,,,
533,MARECOL,1988,9,1,Editorial Board,,,,Y. Halim,,,,,
532,MARECOL,1988,9,1,Editorial Board,,,,R. W. Grigg,,,,,
531,MARECOL,1988,9,1,Editorial Board,,,,J. S. Gray,,,,,
530,MARECOL,1988,9,1,Editorial Board,,,,T. Gamulin,,,,,
529,MARECOL,1988,9,1,Editorial Board,,,,H. Fricke,,,,,
528,MARECOL,1988,9,1,Editorial Board,,,,T. Fenchel,,,,,
527,MARECOL,1988,9,1,Editorial Board,,,,P. Colantoni,,,,,
526,MARECOL,1988,9,1,Editorial Board,,,,G. C. Carrada,,,,,
525,MARECOL,1988,9,1,Editorial Board,,,,C. F. Boudouresque,,,,,
524,MARECOL,1988,9,1,Editorial Board,,,,B. Battaglia,,,,,
523,MARECOL,1988,9,1,Editorial Board,,,,H. A. Salem,,,,,
