no,JOURNAL,YEAR,Volume,Issue,Title,FIRST_NAME,MIDDLE NAME,LAST_NAME,NAME,INST,UNIT,CITY,STATE,COUNTRY
298,MARECOL,1999,20,1,Editorial Board,,,,M. Ribeira,,,,,
297,MARECOL,1999,20,1,Editorial Board,,,,H. Mukai,,,,,
296,MARECOL,1999,20,1,Editorial Board,,,,A. Logan,,,,,
295,MARECOL,1999,20,1,Editorial Board,,,,A. Ianora,,,,,
294,MARECOL,1999,20,1,Editorial Board,,,,H. Fricke,,,,,
293,MARECOL,1999,20,1,Editorial Board,,,,H. Felbeck,,,,,
292,MARECOL,1999,20,1,Editorial Board,,,,G. C. Carrada,,,,,
291,MARECOL,1999,20,1,Editorial Board,,,,U. Bathmann,,,,,
290,MARECOL,1999,20,1,Editorial Board,,,,R. S. Alberte,,,,,
289,MARECOL,1999,20,1,Assistant Editors,,,,P. C. Dworschak,,,,,
288,MARECOL,1999,20,1,Assistant Editors,,,,D. Marino,,,,,
287,MARECOL,1999,20,1,Editors in Chief,,,,L. Mazzella,,,,,
286,MARECOL,1999,20,1,Editors in Chief,,,,J. Ott,,,,,
285,MARECOL,2000,21,1,Editorial Board,,,,A. Zhirmunsky,,,,,
284,MARECOL,2000,21,1,Editorial Board,,,,T. Villareal,,,,,
283,MARECOL,2000,21,1,Editorial Board,,,,P. Tyler,,,,,
282,MARECOL,2000,21,1,Editorial Board,,,,J. T. Turner,,,,,
281,MARECOL,2000,21,1,Editorial Board,,,,M. Sara,,,,,
280,MARECOL,2000,21,1,Editorial Board,,,,M. Ribeira,,,,,
279,MARECOL,2000,21,1,Editorial Board,,,,R. I. E. Newell,University System of Maryland,Center for Environmental Sciences,Cambridge,,USA
278,MARECOL,2000,21,1,Editorial Board,,,,H. Mukai,,,,,
277,MARECOL,2000,21,1,Editorial Board,,,,A. Logan,,,,,
276,MARECOL,2000,21,1,Editorial Board,,,,A. Ianora,,,,,
275,MARECOL,2000,21,1,Editorial Board,,,,G. J. Herndl,Nederlands Institut voor Onderzoek der Zee,,,Texel,Netherlands
274,MARECOL,2000,21,1,Editorial Board,,,,H. Fricke,,,,,
273,MARECOL,2000,21,1,Editorial Board,,,,H. Felbeck,,,,,
272,MARECOL,2000,21,1,Editorial Board,,,,G. C. Carrada,,,,,
271,MARECOL,2000,21,1,Editorial Board,,,,B. von Bodungen,Institut fur OstseeforschungWarnemunde,,,"Rostock, Germany",
270,MARECOL,2000,21,1,Editorial Board,,,,U. Bathmann,,,,,
269,MARECOL,2000,21,1,Editorial Board,,,,R. S. Alberte,,,,,
268,MARECOL,2000,21,1,Associate Editors,,,,K. Rutzler,,,,,
267,MARECOL,2000,21,1,Associate Editors,,,,P. C. Dworschak,,,,,
266,MARECOL,2000,21,1,Associate Editors,,,,M. C. Gambi,"Stazione Zoologica ""Anton Dohrn""",,Ischia,Naples,Italy
265,MARECOL,2000,21,1,Editors in Chief,,,,D. Marino,,,,,
264,MARECOL,2000,21,1,Editors in Chief,,,,J. Ott,,,,,
263,MARECOL,2001,22,1,Editorial Board,,,,A. Zhirmunsky,,,,,
262,MARECOL,2001,22,1,Editorial Board,,,,T. Villareal,,,,,
261,MARECOL,2001,22,1,Editorial Board,,,,P. Tyler,,,,,
260,MARECOL,2001,22,1,Editorial Board,,,,J. T. Turner,,,,,
259,MARECOL,2001,22,1,Editorial Board,,,,M. Sara,,,,,
258,MARECOL,2001,22,1,Editorial Board,,,,M. Ribeira,,,,,
257,MARECOL,2001,22,1,Editorial Board,,,,R. I. E. Newell,,,,,
256,MARECOL,2001,22,1,Editorial Board,,,,H. Mukai,,,,,
255,MARECOL,2001,22,1,Editorial Board,,,,A. Logan,,,,,
254,MARECOL,2001,22,1,Editorial Board,,,,A. Ianora,,,,,
253,MARECOL,2001,22,1,Editorial Board,,,,G. J. Herndl,,,,,
252,MARECOL,2001,22,1,Editorial Board,,,,H. Fricke,,,,,
251,MARECOL,2001,22,1,Editorial Board,,,,H. Felbeck,,,,,
250,MARECOL,2001,22,1,Editorial Board,,,,G. C. Carrada,,,,,
249,MARECOL,2001,22,1,Editorial Board,,,,B. von Bodungen,,,,,
248,MARECOL,2001,22,1,Editorial Board,,,,U. Bathmann,,,,,
247,MARECOL,2001,22,1,Editorial Board,,,,R. S. Alberte,,,,,
246,MARECOL,2001,22,1,Associate Editors,,,,K. Rutzler,,,,,
245,MARECOL,2001,22,1,Associate Editors,,,,P. C. Dworschak,,,,,
244,MARECOL,2001,22,1,Associate Editors,,,,M. C. Gambi,,,,,
243,MARECOL,2001,22,1,Editors in Chief,,,,D. Marino,,,,,
242,MARECOL,2001,22,1,Editors in Chief,,,,J. Ott,,,,,
241,MARECOL,2002,23,1,Editorial Board,,,,A. Zhirmunsky,,,,,
240,MARECOL,2002,23,1,Editorial Board,,,,T. Villareal,,,,,
239,MARECOL,2002,23,1,Editorial Board,,,,P. Tyler,,,,,
238,MARECOL,2002,23,1,Editorial Board,,,,J. T. Turner,,,,,
237,MARECOL,2002,23,1,Editorial Board,,,,M. Sara,,,,,
236,MARECOL,2002,23,1,Editorial Board,,,,M. Ribeira,,,,,
235,MARECOL,2002,23,1,Editorial Board,,,,R. I. E. Newell,,,,,
234,MARECOL,2002,23,1,Editorial Board,,,,H. Mukai,,,,,
233,MARECOL,2002,23,1,Editorial Board,,,,A. Logan,,,,,
232,MARECOL,2002,23,1,Editorial Board,,,,A. Ianora,,,,,
231,MARECOL,2002,23,1,Editorial Board,,,,G. J. Herndl,,,,,
230,MARECOL,2002,23,1,Editorial Board,,,,H. Fricke,,,,,
229,MARECOL,2002,23,1,Editorial Board,,,,H. Felbeck,,,,,
228,MARECOL,2002,23,1,Editorial Board,,,,G. C. Carrada,,,,,
227,MARECOL,2002,23,1,Editorial Board,,,,B. von Bodungen,,,,,
226,MARECOL,2002,23,1,Editorial Board,,,,U. Bathmann,,,,,
225,MARECOL,2002,23,1,Editorial Board,,,,R. S. Alberte,,,,,
224,MARECOL,2002,23,1,Associate Editors,,,,K. Rutzler,,,,,
223,MARECOL,2002,23,1,Associate Editors,,,,P. C. Dworschak,,,,,
222,MARECOL,2002,23,1,Associate Editors,,,,M. C. Gambi,,,,,
221,MARECOL,2002,23,1,Editors in Chief,,,,D. Marino,,,,,
220,MARECOL,2002,23,1,Editors in Chief,,,,J. Ott,,,,,
219,MARECOL,2003,24,1,Editorial Board,,,,T. Villareal,,,,,
218,MARECOL,2003,24,1,Editorial Board,,,,P. Tyler,,,,,
217,MARECOL,2003,24,1,Editorial Board,,,,J. T. Turner,,,,,
216,MARECOL,2003,24,1,Editorial Board,,,,M. Sara,,,,,
215,MARECOL,2003,24,1,Editorial Board,,,,M. Ribeira,,,,,
214,MARECOL,2003,24,1,Editorial Board,,,,R. I. E. Newell,,,,,
213,MARECOL,2003,24,1,Editorial Board,,,,H. Mukai,,,,,
212,MARECOL,2003,24,1,Editorial Board,,,,A. Logan,,,,,
211,MARECOL,2003,24,1,Editorial Board,,,,A. Ianora,,,,,
210,MARECOL,2003,24,1,Editorial Board,,,,G. J. Herndl,,,,,
209,MARECOL,2003,24,1,Editorial Board,,,,H. Fricke,,,,,
208,MARECOL,2003,24,1,Editorial Board,,,,H. Felbeck,,,,,
207,MARECOL,2003,24,1,Editorial Board,,,,G. C. Carrada,,,,,
206,MARECOL,2003,24,1,Editorial Board,,,,B. von Bodungen,,,,,
205,MARECOL,2003,24,1,Editorial Board,,,,U. Bathmann,,,,,
204,MARECOL,2003,24,1,Editorial Board,,,,R. S. Alberte,,,,,
203,MARECOL,2003,24,1,Associate Editors,,,,K. Rutzler,,,,,
202,MARECOL,2003,24,1,Associate Editors,,,,P. C. Dworschak,,,,,
201,MARECOL,2003,24,1,Associate Editors,,,,M. C. Gambi,,,,,
200,MARECOL,2003,24,1,Editors in Chief,,,,D. Marino,,,,,
199,MARECOL,2003,24,1,Editors in Chief,,,,J. Ott,,,,,
198,MARECOL,2004,25,1,Editorial Board,,,,T. Villareal,,,,,
197,MARECOL,2004,25,1,Editorial Board,,,,P. Tyler,,,,,
196,MARECOL,2004,25,1,Editorial Board,,,,J. T. Turner,,,,,
195,MARECOL,2004,25,1,Editorial Board,,,,M. Sara,,,,,
194,MARECOL,2004,25,1,Editorial Board,,,,M. Ribeira,,,,,
193,MARECOL,2004,25,1,Editorial Board,,,,R. I. E. Newell,,,,,
192,MARECOL,2004,25,1,Editorial Board,,,,H. Mukai,,,,,
191,MARECOL,2004,25,1,Editorial Board,,,,A. Logan,,,,,
190,MARECOL,2004,25,1,Editorial Board,,,,A. Ianora,,,,,
189,MARECOL,2004,25,1,Editorial Board,,,,G. J. Herndl,,,,,
188,MARECOL,2004,25,1,Editorial Board,,,,H. Fricke,,,,,
187,MARECOL,2004,25,1,Editorial Board,,,,H. Felbeck,,,,,
186,MARECOL,2004,25,1,Editorial Board,,,,G. C. Carrada,,,,,
185,MARECOL,2004,25,1,Editorial Board,,,,B. von Bodungen,,,,,
184,MARECOL,2004,25,1,Editorial Board,,,,U. Bathmann,,,,,
183,MARECOL,2004,25,1,Editorial Board,,,,R. S. Alberte,,,,,
182,MARECOL,2004,25,1,Associate Editors,,,,K. Rutzler,,,,,
181,MARECOL,2004,25,1,Associate Editors,,,,P. C. Dworschak,,,,,
180,MARECOL,2004,25,1,Associate Editors,,,,M. C. Gambi,,,,,
179,MARECOL,2004,25,1,Editors in Chief,,,,D. Marino,,,,,
178,MARECOL,2004,25,1,Editors in Chief,,,,J. Ott,,,,,
177,MARECOL,2005,26,1,Editorial Board,,,,C. M. Young,University of Oregon,Oregon Institute of Marine Biology,,Oregon,USA
176,MARECOL,2005,26,1,Editorial Board,,,,M. Waycott,James Cook University,,Townsville,,Australia
175,MARECOL,2005,26,1,Editorial Board,,,,T. Villareal,,,,,
174,MARECOL,2005,26,1,Editorial Board,,,,J. T. Turner,,,,,
173,MARECOL,2005,26,1,Editorial Board,,,,S. Thrush,National Institute of Water and Atmospheric Research,,,Hamilton,New Zealand
172,MARECOL,2005,26,1,Editorial Board,,,,S. Sommer,"Leibniz-Institut fur Meereswissenschaften, IFMGEOMAR",,,Kiel,Germany
171,MARECOL,2005,26,1,Editorial Board,,,,R. Sole,University Pompeu Fabra,"Complex System Lab, ICREA",Barcelona,,Spain
170,MARECOL,2005,26,1,Editorial Board,,,,P. Snelgrove,Memorial Uni of Newfoundland,Ocean Sciences Centre,,"St. John's, Newfoundland",Canada
169,MARECOL,2005,26,1,Editorial Board,,,,C. Smith,University of Hawaii at Manoa,,,"Honolulu, Hawaii, USA",
168,MARECOL,2005,26,1,Editorial Board,,,,T. Schlacher,The University of the Sunshine,"Faculty of Science, Health & Education",,Coast,Australia
167,MARECOL,2005,26,1,Editorial Board,,,,R. O. P. Santos,"Center of Marine Sciences of Algarve, Universidade",,do Algarve,Faro,"Faro, Portugal"
166,MARECOL,2005,26,1,Editorial Board,,,,K. Rutzler,,,,,
165,MARECOL,2005,26,1,Editorial Board,,,,G. Procaccini,"Stazione Zoologica ""Anton Dohrn""",,,"Naples, Italy",
164,MARECOL,2005,26,1,Editorial Board,,,,J. L. Olsen,Biological Centre,,RUG Haren,,Netherlands
163,MARECOL,2005,26,1,Editorial Board,,,,H. Mukai,,,,,
162,MARECOL,2005,26,1,Editorial Board,,,,M. G. Mazzocchi,"Stazione Zoologica ""Anton Dohrn""",,,Naples,Italy
161,MARECOL,2005,26,1,Editorial Board,,,,N. Marba,Institut Mediterrani d'Estudis Avencats (CSIC-UIB),,,Esporles (Illes Balears),Spain
160,MARECOL,2005,26,1,Editorial Board,,,,A. Logan,,,,,
159,MARECOL,2005,26,1,Editorial Board,,,,W. H. C. F. Kooistra,"Stazione Zoologica ""Anton Dohrn""",,,Naples,Italy
158,MARECOL,2005,26,1,Editorial Board,,,,E. M. W. Koch,University of Maryland Center for Environmental Science,,Cambridge,Maryland,USA
157,MARECOL,2005,26,1,Editorial Board,,,,M. Keough,University of Melbourne,,,"Victoria, Australia",
156,MARECOL,2005,26,1,Editorial Board,,,,G. J. Herndl,,,,,
155,MARECOL,2005,26,1,Editorial Board,,,,A. Giangrande,,,,,
154,MARECOL,2005,26,1,Editorial Board,,,,A. Genin,,,,,
153,MARECOL,2005,26,1,Editorial Board,,,,H. Fricke,,,,,
152,MARECOL,2005,26,1,Editorial Board,,,,C. Fisher,Pennsylvania State University,,University Park,Pennsylvania,USA
151,MARECOL,2005,26,1,Editorial Board,,,,H. Felbeck,,,,,
150,MARECOL,2005,26,1,Editorial Board,,,,J. Costello,Providence College,,,Rhode Island,USA
149,MARECOL,2005,26,1,Editorial Board,,,,B. von Bodungen,,,,,
148,MARECOL,2005,26,1,Editorial Board,,,,C. N. Bianchi,Universita  di Genova,,,"Genova, Italy",
147,MARECOL,2005,26,1,Editorial Board,,,,L. Benedetti-Cecchi,Universita di Pisa,,Pisa,,Italy
146,MARECOL,2005,26,1,Editorial Board,,,,U. Bathmann,,,,,
145,MARECOL,2005,26,1,Editorial Board,,,,J. P. Barry,Monterey Bay Aquarium Research Institute (MBARI),,Moss Landing,California,USA
144,MARECOL,2005,26,1,Associate Editors,,,,M. R. D'Alcala,"Stazione Zoologica ""Anton Dohrn""",,,Naples,Italy
143,MARECOL,2005,26,1,Associate Editors,,,,P. C. Dworschak,,,,,
142,MARECOL,2005,26,1,Editors,,,,L. Levin,Scripps Institution  of Oceanography,,,La Jolla,California
141,MARECOL,2005,26,1,Editors,,,,M. C. Gambi,,,,,
140,MARECOL,2006,27,1,Editorial Board,,,,C. M. Young,,,,,
139,MARECOL,2006,27,1,Editorial Board,,,,M. Waycott,,,,,
138,MARECOL,2006,27,1,Editorial Board,,,,J. T. Turner,,,,,
137,MARECOL,2006,27,1,Editorial Board,,,,S. Thrush,,,,,
136,MARECOL,2006,27,1,Editorial Board,,,,S. Sommer,,,,,
135,MARECOL,2006,27,1,Editorial Board,,,,R. Sole,,,,,
134,MARECOL,2006,27,1,Editorial Board,,,,P. Snelgrove,,,,,
133,MARECOL,2006,27,1,Editorial Board,,,,C. Smith,,,,,
132,MARECOL,2006,27,1,Editorial Board,,,,T. Schlacher,,,,,
131,MARECOL,2006,27,1,Editorial Board,,,,R. O. P. Santos,,,,,
130,MARECOL,2006,27,1,Editorial Board,,,,K. Rutzler,,,,,
129,MARECOL,2006,27,1,Editorial Board,,,,G. Procaccini,,,,,
128,MARECOL,2006,27,1,Editorial Board,,,,J. L. Olsen,,,,,
127,MARECOL,2006,27,1,Editorial Board,,,,H. Mukai,,,,,
126,MARECOL,2006,27,1,Editorial Board,,,,M. G. Mazzocchi,,,,,
125,MARECOL,2006,27,1,Editorial Board,,,,N. Marba,,,,,
124,MARECOL,2006,27,1,Editorial Board,,,,A. Logan,,,,,
123,MARECOL,2006,27,1,Editorial Board,,,,W. H. C. F. Kooistra,,,,,
122,MARECOL,2006,27,1,Editorial Board,,,,E. M. W. Koch,,,,,
121,MARECOL,2006,27,1,Editorial Board,,,,M. Keough,,,,,
120,MARECOL,2006,27,1,Editorial Board,,,,G. J. Herndl,,,,,
119,MARECOL,2006,27,1,Editorial Board,,,,A. Giangrande,,,,,
118,MARECOL,2006,27,1,Editorial Board,,,,A. Genin,,,,,
117,MARECOL,2006,27,1,Editorial Board,,,,H. Fricke,,,,,
116,MARECOL,2006,27,1,Editorial Board,,,,C. Fisher,,,,,
115,MARECOL,2006,27,1,Editorial Board,,,,H. Felbeck,,,,,
114,MARECOL,2006,27,1,Editorial Board,,,,J. Costello,,,,,
113,MARECOL,2006,27,1,Editorial Board,,,,B. von Bodungen,,,,,
112,MARECOL,2006,27,1,Editorial Board,,,,C. N. Bianchi,,,,,
111,MARECOL,2006,27,1,Editorial Board,,,,L. Benedetti-Cecchi,,,,,
110,MARECOL,2006,27,1,Editorial Board,,,,U. Bathmann,,,,,
109,MARECOL,2006,27,1,Editorial Board,,,,J.P. Barry,Monterey Bay Aquarium Research Institute (MBARI),,Moss Landing,CA,USA
108,MARECOL,2006,27,1,Associate Editor,,,,M. R. D'Alcala,,,,,
107,MARECOL,2006,27,1,Editor,,,,L. Levin,,,,,
106,MARECOL,2006,27,1,Editor,,,,M. C. Gambi,,,,,
105,MARECOL,2007,28,1,Editorial Board,,,,M. Waycott,,,,,
104,MARECOL,2007,28,1,Editorial Board,,,,J. T. Turner,,,,,
103,MARECOL,2007,28,1,Editorial Board,,,,S. Thrush,,,,,
102,MARECOL,2007,28,1,Editorial Board,,,,S. Sommer,,,,,
101,MARECOL,2007,28,1,Editorial Board,,,,R. Sole,,,,,
100,MARECOL,2007,28,1,Editorial Board,,,,P. Snelgrove,,,,,
99,MARECOL,2007,28,1,Editorial Board,,,,C. Smith,,,,,
98,MARECOL,2007,28,1,Editorial Board,,,,T. Schlacher,,,,,
97,MARECOL,2007,28,1,Editorial Board,,,,R. O. P. Santos,,,,,
96,MARECOL,2007,28,1,Editorial Board,,,,K. Rutzler,,,,,
95,MARECOL,2007,28,1,Editorial Board,,,,G. Procaccini,,,,,
94,MARECOL,2007,28,1,Editorial Board,,,,J. L. Olsen,,,,,
93,MARECOL,2007,28,1,Editorial Board,,,,H. Mukai,,,,,
92,MARECOL,2007,28,1,Editorial Board,,,,M. G. Mazzocchi,,,,,
91,MARECOL,2007,28,1,Editorial Board,,,,N. Marba,,,,,
90,MARECOL,2007,28,1,Editorial Board,,,,A. Logan,,,,,
89,MARECOL,2007,28,1,Editorial Board,,,,W. H. C. F. Kooistra,,,,,
88,MARECOL,2007,28,1,Editorial Board,,,,E. M. W. Koch,,,,,
87,MARECOL,2007,28,1,Editorial Board,,,,M. Keough,,,,,
86,MARECOL,2007,28,1,Editorial Board,,,,G. J. Herndl,,,,,
85,MARECOL,2007,28,1,Editorial Board,,,,A. Giangrande,,,,,
84,MARECOL,2007,28,1,Editorial Board,,,,A. Genin,,,,,
83,MARECOL,2007,28,1,Editorial Board,,,,H. Fricke,,,,,
82,MARECOL,2007,28,1,Editorial Board,,,,C. Fisher,,,,,
81,MARECOL,2007,28,1,Editorial Board,,,,H. Felbeck,,,,,
80,MARECOL,2007,28,1,Editorial Board,,,,M. Estrada,,,,,
79,MARECOL,2007,28,1,Editorial Board,,,,J. Costello,,,,,
78,MARECOL,2007,28,1,Editorial Board,,,,B. von Bodungen,,,,,
77,MARECOL,2007,28,1,Editorial Board,,,,C. N. Bianchi,,,,,
76,MARECOL,2007,28,1,Editorial Board,,,,L. Benedetti-Cecchi,,,,,
75,MARECOL,2007,28,1,Editorial Board,,,,U. Bathmann,,,,,
74,MARECOL,2007,28,1,Editorial Board,,,,J. P. Barry,,,,,
73,MARECOL,2007,28,1,Editorial Board,,,,F. Badalamenti,Instituto per l'Ambiente Marino Costiero,,Castellammare del Golfo,,Italy
72,MARECOL,2007,28,1,Associate Editors,,,,C. M. Young,,,,,
71,MARECOL,2007,28,1,Associate Editors,,,,M. R. D'Alcala,,,,,
70,MARECOL,2007,28,1,Editors,,,,L. Levin,,,,,
69,MARECOL,2007,28,1,Editors,,,,M. C. Gambi,,,,,
68,MARECOL,2013,34,1,Editorial Board,,,,J. T. Turner,,,,,
67,MARECOL,2013,34,1,Editorial Board,,,,S. Thrush,,,,,
66,MARECOL,2013,34,1,Editorial Board,,,,S. Sommer,,,,,
65,MARECOL,2013,34,1,Editorial Board,,,,P. Snelgrove,,,,,
64,MARECOL,2013,34,1,Editorial Board,,,,C. Smith,,,,,
63,MARECOL,2013,34,1,Editorial Board,,,,R. O. P. Santos,,,,,
62,MARECOL,2013,34,1,Editorial Board,,,,K. Rutzler,,,,,
61,MARECOL,2013,34,1,Editorial Board,,,,G. Procaccini,,,,,
60,MARECOL,2013,34,1,Editorial Board,,,,S. Piraino,Universita del Salento,,,"Lecce, Italy",
59,MARECOL,2013,34,1,Editorial Board,,,,M. G. Mazzocchi,,,,,
58,MARECOL,2013,34,1,Editorial Board,,,,N. Marba,,,,,
57,MARECOL,2013,34,1,Editorial Board,,,,A. Logan,,,,,
56,MARECOL,2013,34,1,Editorial Board,,,,M. Keough,,,,,
55,MARECOL,2013,34,1,Editorial Board,,,,K. Halanych,Auburn University,,"Auburn, Alabama, USA",,
54,MARECOL,2013,34,1,Editorial Board,,,,G. Giribet,Harvard University,,"Cambridge, Massachusetts, USA",,
53,MARECOL,2013,34,1,Editorial Board,,,,A. Giangrande,DiSTEBA - Universita di Lecce,,,"Lecce, Italy",
52,MARECOL,2013,34,1,Editorial Board,,,,A. Genin,Interuniversity Institute for Marine Sciences,,,"Eilat, Israel",
51,MARECOL,2013,34,1,Editorial Board,,,,H. Felbeck,,,,,
50,MARECOL,2013,34,1,Editorial Board,,,,M. Estrada,,,,,
49,MARECOL,2013,34,1,Editorial Board,,,,J. Crooks,Tijuana Estuarine Research Reserve,,Imperial Beach,CA,USA
48,MARECOL,2013,34,1,Editorial Board,,,,J. Costello,,,,,
47,MARECOL,2013,34,1,Editorial Board,,,,R. Connolly,Griffith University,,,Queensland,Australia
46,MARECOL,2013,34,1,Editorial Board,,,,R. Casotti,"Stazione Zoologica ""Anton Dohrn""",,,"Naples, Italy",
45,MARECOL,2013,34,1,Editorial Board,,,,C. Bowler,Centre National de la Recherche Scientifique,,,"Paris, France",
44,MARECOL,2013,34,1,Editorial Board,,,,B. von Bodungen,,,,,
43,MARECOL,2013,34,1,Editorial Board,,,,C. N. Bianchi,,,,,
42,MARECOL,2013,34,1,Editorial Board,,,,G. Bernardi,University of California,,"Santa Cruz, California, USA",,
41,MARECOL,2013,34,1,Editorial Board,,,,L. Benedetti-Cecchi,,,,,
40,MARECOL,2013,34,1,Editorial Board,,,,U. Bathmann,,,,,
39,MARECOL,2013,34,1,Editorial Board,,,,J. P. Barry,,,,,
38,MARECOL,2013,34,1,Associate Editor,,,,T. Schlacher,,,,,
37,MARECOL,2013,34,1,Associate Editor,,,,M. C. Gambi,,,,,
36,MARECOL,2013,34,1,Associate Editor,Fabio,,Badalamenti,F. Badalamenti,Istituto per l¢Ambiente Marino Costiero,,,Palermo,Italy
35,MARECOL,2013,34,1,Editor,Craig,M.,Young,C. M. Young,,,,,
34,MARECOL,2014,35,1,Editorial Board,,,,J. T. Turner,,,,,
33,MARECOL,2014,35,1,Editorial Board,,,,S. Thrush,,,,,
32,MARECOL,2014,35,1,Editorial Board,,,,S. Sommer,,,,,
31,MARECOL,2014,35,1,Editorial Board,,,,P. Snelgrove,,,,,
30,MARECOL,2014,35,1,Editorial Board,,,,C. Smith,,,,,
29,MARECOL,2014,35,1,Editorial Board,,,,R. O. P. Santos,,,,,
28,MARECOL,2014,35,1,Editorial Board,,,,K. Rutzler,,,,,
27,MARECOL,2014,35,1,Editorial Board,,,,G. Procaccini,,,,,
26,MARECOL,2014,35,1,Editorial Board,,,,S. Piraino,,,,,
25,MARECOL,2014,35,1,Editorial Board,,,,M. G. Mazzocchi,,,,,
24,MARECOL,2014,35,1,Editorial Board,,,,N. Marba,,,,,
23,MARECOL,2014,35,1,Editorial Board,,,,A. Logan,,,,,
22,MARECOL,2014,35,1,Editorial Board,,,,M. Keough,,,,,
21,MARECOL,2014,35,1,Editorial Board,,,,K. Halanych,,,,,
20,MARECOL,2014,35,1,Editorial Board,,,,G. Giribet,,,,,
19,MARECOL,2014,35,1,Editorial Board,,,,A. Giangrande,,,,,
18,MARECOL,2014,35,1,Editorial Board,,,,A. Genin,,,,,
17,MARECOL,2014,35,1,Editorial Board,,,,H. Felbeck,,,,,
16,MARECOL,2014,35,1,Editorial Board,,,,M. Estrada,,,,,
15,MARECOL,2014,35,1,Editorial Board,,,,J. Crooks,,,,,
14,MARECOL,2014,35,1,Editorial Board,,,,J. Costello,,,,,
13,MARECOL,2014,35,1,Editorial Board,,,,R. Connolly,,,,,
12,MARECOL,2014,35,1,Editorial Board,,,,R. Casotti,,,,,
11,MARECOL,2014,35,1,Editorial Board,,,,C. Bowler,,,,,
10,MARECOL,2014,35,1,Editorial Board,,,,B. von Bodungen,,,,,
9,MARECOL,2014,35,1,Editorial Board,,,,C. N. Bianchi,,,,,
8,MARECOL,2014,35,1,Editorial Board,,,,G. Bernardi,,,,,
7,MARECOL,2014,35,1,Editorial Board,,,,L. Benedetti-Cecchi,,,,,
6,MARECOL,2014,35,1,Editorial Board,,,,U. Bathmann,,,,,
5,MARECOL,2014,35,1,Editorial Board,,,,J. P. Barry,,,,,
4,MARECOL,2014,35,1,Associate Editor,,,,T. Schlacher,,,,,
3,MARECOL,2014,35,1,Associate Editor,,,,M. C. Gambi,,,,,
2,MARECOL,2014,35,1,Associate Editor,Fabio,,Badalamenti,F. Badalamenti,,,,,
1,MARECOL,2014,35,1,Editor,Craig,M.,Young,C. M. Young,,,,,
