JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code,NOTES
JECOL,2004,92,1,880,David,,Streeter,David Streeter,SE,SE,NA,NA,Brighton,NA,UK,GBR,
JECOL,1999,87,1,2419,Michael,J,Hutchings,Michael J Hutchings,AE,AE,University of Sussex,NA,Brighton,NA,UK,GBR,
JECOL,2000,88,1,2419,Michael,J,Hutchings,Michael J Hutchings,AE,AE,University of Sussex,NA,Brighton,NA,UK,GBR,
JECOL,2001,89,1,2419,Michael,J,Hutchings,Michael J Hutchings,AE,AE,University of Sussex,NA,Brighton,NA,UK,GBR,
JECOL,2002,90,1,2419,Michael,J,Hutchings,Michael J Hutchings,AE,AE,University of Sussex,NA,Brighton,NA,UK,GBR,
JECOL,2004,92,1,2419,Michael,J,Hutchings,Michael J Hutchings,AE,AE,University of Sussex,NA,Brighton,NA,UK,GBR,
JECOL,2005,93,1,2419,Michael,J,Hutchings,Michael J Hutchings,EIC,EIC,University of Sussex,NA,Brighton,NA,UK,GBR,
JECOL,1992,80,1,2281,Mike,P,Austin,Mike P Austin,SE,SE,NA,NA,Canberra,NA,Australia,AUS,
JECOL,1993,81,1,2281,Mike,P,Austin,Mike P Austin,SE,SE,NA,NA,Canberra,NA,Australia,AUS,
JECOL,1993,81,1,703,David,J,Gibson,David J Gibson,SE,SE,NA,NA,Carbondale,NA,USA,USA,
JECOL,1994,82,1,703,David,J,Gibson,David J Gibson,SE,SE,NA,NA,Carbondale,NA,USA,USA,
JECOL,1995,83,1,703,David,J,Gibson,David J Gibson,SE,SE,NA,NA,Carbondale,NA,USA,USA,
JECOL,1996,84,1,703,David,J,Gibson,David J Gibson,SE,SE,NA,NA,Carbondale,NA,USA,USA,
JECOL,1997,85,1,703,David,J,Gibson,David J Gibson,SE,SE,NA,NA,Carbondale,NA,USA,USA,
JECOL,1998,86,1,703,David,J,Gibson,David J Gibson,SE,SE,NA,NA,Carbondale,NA,USA,USA,
JECOL,1999,87,1,703,David,J,Gibson,David J Gibson,SE,SE,NA,NA,Carbondale,NA,USA,USA,
JECOL,1999,87,1,703,David,J,Gibson,David J Gibson,AE,AE,Southern Illinois University,NA,Carbondale,NA,USA,USA,
JECOL,2000,88,1,703,David,J,Gibson,David J Gibson,AE,AE,Southern Illinois University,NA,Carbondale,NA,USA,USA,
JECOL,2001,89,1,703,David,J,Gibson,David J Gibson,AE,AE,Southern Illinois University,NA,Carbondale,NA,USA,USA,
JECOL,2002,90,1,703,David,J,Gibson,David J Gibson,AE,AE,Southern Illinois University,NA,Carbondale,NA,USA,USA,
JECOL,2003,91,1,703,David,J,Gibson,David J Gibson,AE,AE,Southern Illinois University,NA,Carbondale,NA,USA,USA,
JECOL,2004,92,1,703,David,J,Gibson,David J Gibson,AE,AE,Southern Illinois University,NA,Carbondale,NA,USA,USA,
JECOL,2005,93,1,703,David,J,Gibson,David J Gibson,AE,AE,Southern Illinois University,NA,Carbondale,NA,USA,USA,
JECOL,2006,94,1,703,David,J,Gibson,David J Gibson,AE,AE,Southern Illinois University,NA,Carbondale,NA,USA,USA,
JECOL,2007,95,1,703,David,J,Gibson,David J Gibson,AE,AE,Southern Illinois University,NA,Carbondale,NA,USA,USA,
JECOL,2008,96,1,703,David,J,Gibson,David J Gibson,AE,AE,Southern Illinois University,NA,Carbondale,NA,USA,USA,
JECOL,1992,80,1,2342,M,S,Davies,M S Davies,SE,SE,NA,NA,Cardiff,NA,UK,GBR,
JECOL,1993,81,1,2342,M,S,Davies,M S Davies,SE,SE,NA,NA,Cardiff,NA,UK,GBR,
JECOL,1997,85,1,1945,Jacob,,Weiner,Jacob Weiner,SE,SE,NA,NA,Copenhagen,NA,Denmark,DNK,
JECOL,1998,86,1,1945,Jacob,,Weiner,Jacob Weiner,SE,SE,NA,NA,Copenhagen,NA,Denmark,DNK,
JECOL,1999,87,1,1945,Jacob,,Weiner,Jacob Weiner,SE,SE,NA,NA,Copenhagen,NA,Denmark,DNK,
JECOL,2000,88,1,1945,Jacob,,Weiner,Jacob Weiner,SE,SE,NA,NA,Copenhagen,NA,Denmark,DNK,
JECOL,2001,89,1,1945,Jacob,,Weiner,Jacob Weiner,SE,SE,NA,NA,Copenhagen,NA,Denmark,DNK,
JECOL,2002,90,1,1945,Jacob,,Weiner,Jacob Weiner,SE,SE,NA,NA,Copenhagen,NA,Denmark,DNK,
JECOL,2003,91,1,1945,Jacob,,Weiner,Jacob Weiner,SE,SE,NA,NA,Copenhagen,NA,Denmark,DNK,
JECOL,2004,92,1,1945,Jacob,,Weiner,Jacob Weiner,SE,SE,NA,NA,Copenhagen,NA,Denmark,DNK,
JECOL,1992,80,1,1519,John,,Connolly,John Connolly,SE,SE,NA,NA,Dublin,NA,Ireland,IRL,
JECOL,1993,81,1,1519,John,,Connolly,John Connolly,SE,SE,NA,NA,Dublin,NA,Ireland,IRL,
JECOL,1992,80,1,3911,James,,White,James White,EIC,EIC,University of College,Department of Botany,Dublin,NA,Ireland,IRL,
JECOL,2003,91,1,2526,Michael,CF,Proctor,Michael CF Proctor,SE,SE,NA,NA,Exeter,NA,UK,GBR,
JECOL,2004,92,1,2526,Michael,CF,Proctor,Michael CF Proctor,SE,SE,NA,NA,Exeter,NA,UK,GBR,
JECOL,2000,88,1,3762,William,K,Lauenroth,William K Lauenroth,SE,SE,NA,NA,Fort Collins,NA,USA,USA,
JECOL,2001,89,1,3762,William,K,Lauenroth,William K Lauenroth,SE,SE,NA,NA,Fort Collins,NA,USA,USA,
JECOL,2002,90,1,3762,William,K,Lauenroth,William K Lauenroth,SE,SE,NA,NA,Fort Collins,NA,USA,USA,
JECOL,2003,91,1,3762,William,K,Lauenroth,William K Lauenroth,SE,SE,NA,NA,Fort Collins,NA,USA,USA,
JECOL,2004,92,1,3762,William,K,Lauenroth,William K Lauenroth,SE,SE,NA,NA,Fort Collins,NA,USA,USA,
JECOL,1995,83,1,3374,Susan,,Kalisz,Susan Kalisz,SE,SE,NA,NA,Hickory Coners,NA,USA,USA,
JECOL,1997,85,1,3562,Toshihiko,,Hara,Toshihiko Hara,SE,SE,NA,NA,Hokkaido,NA,Japan,JPN,
JECOL,1998,86,1,3562,Toshihiko,,Hara,Toshihiko Hara,SE,SE,NA,NA,Hokkaido,NA,Japan,JPN,
JECOL,1999,87,1,3562,Toshihiko,,Hara,Toshihiko Hara,SE,SE,NA,NA,Hokkaido,NA,Japan,JPN,
JECOL,2000,88,1,3562,Toshihiko,,Hara,Toshihiko Hara,SE,SE,NA,NA,Hokkaido,NA,Japan,JPN,
JECOL,2001,89,1,3562,Toshihiko,,Hara,Toshihiko Hara,SE,SE,NA,NA,Hokkaido,NA,Japan,JPN,
JECOL,2002,90,1,3562,Toshihiko,,Hara,Toshihiko Hara,SE,SE,NA,NA,Hokkaido,NA,Japan,JPN,
JECOL,2003,91,1,3562,Toshihiko,,Hara,Toshihiko Hara,SE,SE,NA,NA,Hokkaido,NA,Japan,JPN,
JECOL,1995,83,1,2070,Kurt,S,Pregitzer,Kurt S Pregitzer,SE,SE,NA,NA,Houghton,NA,USA,USA,
JECOL,1996,84,1,2070,Kurt,S,Pregitzer,Kurt S Pregitzer,SE,SE,NA,NA,Houghton,NA,USA,USA,
JECOL,1997,85,1,2070,Kurt,S,Pregitzer,Kurt S Pregitzer,SE,SE,NA,NA,Houghton,NA,USA,USA,
JECOL,1998,86,1,2070,Kurt,S,Pregitzer,Kurt S Pregitzer,SE,SE,NA,NA,Houghton,NA,USA,USA,
JECOL,2004,92,1,1070,Frank,S,Gilliam,Frank S Gilliam,SE,SE,NA,NA,Huntington,NA,USA,USA,
JECOL,2007,95,1,2977,Richard,D,Bardgett,Richard D Bardgett,AE,AE,Lancaster University,NA,Lancaster,NA,UK,GBR,
JECOL,2008,96,1,2977,Richard,D,Bardgett,Richard D Bardgett,AE,AE,Lancaster University,NA,Lancaster,NA,UK,GBR,
JECOL,2004,92,1,2977,Richard,D,Bardgett,Richard D Bardgett,SE,SE,NA,NA,Lancaster,NA,UK,GBR,
JECOL,2001,89,1,1416,Ian,,Sanders,Ian Sanders,SE,SE,NA,NA,Lausanne,NA,Switzerland,CHE,
JECOL,2002,90,1,1416,Ian,,Sanders,Ian Sanders,SE,SE,NA,NA,Lausanne,NA,Switzerland,CHE,
JECOL,2003,91,1,1416,Ian,,Sanders,Ian Sanders,SE,SE,NA,NA,Lausanne,NA,Switzerland,CHE,
JECOL,2004,92,1,1416,Ian,,Sanders,Ian Sanders,SE,SE,NA,NA,Lausanne,NA,Switzerland,CHE,
JECOL,1992,80,1,1036,Eddy,,VanDerMeijden,Eddy VanDerMeijden,SE,SE,NA,NA,Leiden,NA,Netherlands,NLD,
JECOL,1993,81,1,1036,Eddy,,VanDerMeijden,Eddy VanDerMeijden,SE,SE,NA,NA,Leiden,NA,Netherlands,NLD,
JECOL,1997,85,1,2849,Peter,,Klinkhamer,Peter Klinkhamer,SE,SE,NA,NA,Leiden,NA,Netherlands,NLD,
JECOL,1998,86,1,2849,Peter,,Klinkhamer,Peter Klinkhamer,SE,SE,NA,NA,Leiden,NA,Netherlands,NLD,
JECOL,1999,87,1,2849,Peter,,Klinkhamer,Peter Klinkhamer,SE,SE,NA,NA,Leiden,NA,Netherlands,NLD,
JECOL,2000,88,1,2849,Peter,,Klinkhamer,Peter Klinkhamer,SE,SE,NA,NA,Leiden,NA,Netherlands,NLD,
JECOL,2001,89,1,2849,Peter,,Klinkhamer,Peter Klinkhamer,SE,SE,NA,NA,Leiden,NA,Netherlands,NLD,
JECOL,2002,90,1,2849,Peter,,Klinkhamer,Peter Klinkhamer,SE,SE,NA,NA,Leiden,NA,Netherlands,NLD,
JECOL,2003,91,1,2849,Peter,,Klinkhamer,Peter Klinkhamer,SE,SE,NA,NA,Leiden,NA,Netherlands,NLD,
JECOL,2004,92,1,2849,Peter,,Klinkhamer,Peter Klinkhamer,SE,SE,NA,NA,Leiden,NA,Netherlands,NLD,
JECOL,2005,93,1,2869,Peter,D,Moore,Peter D Moore,SE,SE,King's College,NA,London,NA,UK,GBR,
JECOL,1992,80,1,2979,Richard,W,Battarbee,Richard W Battarbee,SE,SE,NA,NA,London,NA,UK,GBR,
JECOL,1993,81,1,2979,Richard,W,Battarbee,Richard W Battarbee,SE,SE,NA,NA,London,NA,UK,GBR,
JECOL,1994,82,1,2869,Peter,D,Moore,Peter D Moore,SE,SE,NA,NA,London,NA,UK,GBR,
JECOL,1995,83,1,2869,Peter,D,Moore,Peter D Moore,SE,SE,NA,NA,London,NA,UK,GBR,
JECOL,1996,84,1,2869,Peter,D,Moore,Peter D Moore,SE,SE,NA,NA,London,NA,UK,GBR,
JECOL,1997,85,1,2869,Peter,D,Moore,Peter D Moore,SE,SE,NA,NA,London,NA,UK,GBR,
JECOL,1998,86,1,2869,Peter,D,Moore,Peter D Moore,SE,SE,NA,NA,London,NA,UK,GBR,
