FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,EDITOR_TITLE,INST,UNIT,CITY,COUNTRY,NOTES,STATE,YEAR
Kimberly,G,Smith,,Manager,None given,None given,None given,None given,AOU Publications Office,None given,2006
Mark,C,Penrose,,Project Manager,None given,None given,None given,None given,AOU Publications Office,None given,2006
Richard,D,Earle,,Managing Editor,None given,None given,None given,None given,AOU Publications Office,None given,2006
Spencer,G,Sealy,,Editor,University of Manitoba,Department of Zoology,Winnipeg,Canada,,None given,2007
Noreen,L,Sealy,,Review Manager,None given,None given,None given,None given,,None given,2007
Kathleen,G,Beal,,Associate Editor,University of Dayton,None given,None given,None given,,None given,2007
Marc,,Bechard,,Associate Editor,Boise State University,None given,None given,None given,,None given,2007
Erick,K,Bollinger,,Associate Editor,Eastern Illinois University,None given,None given,None given,,None given,2007
Gary,R,Bortolotti,,Associate Editor,University of Saskatchewan,None given,None given,None given,,None given,2007
James,V,Briskie,,Associate Editor,University of Canterbury,None given,None given,None given,,None given,2007
Alan,E,Burger,,Associate Editor,University of Victoria,None given,None given,None given,,None given,2007
Edward,H,Burtt,Jr,Associate Editor,Ohio Wesleyan University,None given,None given,None given,,None given,2007
Alfred,M,Dufty,Jr,Associate Editor,Boise State University,None given,None given,None given,,None given,2007
Colleen,M,Handel,,Associate Editor,Alaska Science Center,None given,None given,None given,,None given,2007
Gary,R,Hepp,,Associate Editor,Auburn University,None given,None given,None given,,None given,2007
Fabian,M,Jaksic,,Associate Editor,Catholic  University of Chile,None given,None given,None given,,None given,2007
Helen,F,James,,Associate Editor,Smithsonian Institution,None given,None given,None given,,None given,2007
Jason,,Jones,,Associate Editor,Vassar College,None given,None given,None given,,None given,2007
Douglas,H,Johnson,,Associate Editor,Northern Prairie Wildlife Research Center,None given,None given,None given,,None given,2007
Kevin,P,Johnson,,Associate Editor,Illinois Natural History Survey,None given,None given,None given,,None given,2007
John,,Klicka,,Associate Editor,University of Nevada,None given,None given,None given,,None given,2007
David,B,Lank,,Associate Editor,Simon Fraser University,None given,None given,None given,,None given,2007
David ,B,McDonald,,Associate Editor,University of Wyoming,None given,None given,None given,,None given,2007
Scott,R,McWilliams,,Associate Editor,University of Rhode Island,None given,None given,None given,,None given,2007
Michael,T,Murphy,,Associate Editor,Portland State University,None given,None given,None given,,None given,2007
Amanda,D,Rodewald,,Associate Editor,The Ohio State University,None given,None given,None given,,None given,2007
Brett,K,Sandercock,,Associate Editor,Kansas State University,None given,None given,None given,,None given,2007
Kim ,T,Scribner,,Associate Editor,Michigan State University,None given,None given,None given,,None given,2007
Terry,L,Shaffer,,Associate Editor,Northern Prairie Wildlife Research Center,None given,None given,None given,,None given,2007
Navjot,S,Sodhi,,Associate Editor,National  University of Singapore,None given,None given,None given,,None given,2007
Karen,,Steenhof,,Associate Editor,Snake River Field Station,None given,None given,None given,,None given,2007
Philip,C,Stouffer,,Associate Editor,Louisiana State University,None given,None given,None given,,None given,2007
Jorge,H,Vega Rivera,,Associate Editor,Estacion Biologia Chamela,None given,None given,None given,,None given,2007
Kevin,,Winker,,Associate Editor,University of Alaska Museum,None given,None given,None given,,None given,2007
Ken,,Yasukawa,,Associate Editor,Beloit College,None given,None given,None given,,None given,2007
R,Todd,Engstrom,,Book Review Editor,Tall Timbers Research Station,None given,Tallahassee,USA,,Florida,2007
Alan,H,Brush,,Memorials Editor,None given,None given,Mystic,USA,,Connecticut,2007
Kimberly,G,Smith,,Manager,None given,None given,None given,None given,AOU Publications Office,None given,2007
Mark,,Penrose,,Project Manager,None given,None given,None given,None given,AOU Publications Office,None given,2007
Richard,D,Earles,,Managing Editor,None given,None given,None given,None given,AOU Publications Office,None given,2007
Spencer,G,Sealy,,Editor,University of Manitoba,Department of Biological Sciences,Winnipeg,Canada,,Manitoba,2008
Mark,C,Penrose,,Managing Editor,None given,None given,None given,None given,,None given,2008
Richard,D,Earles,,Copy Editor,None given,None given,None given,None given,,None given,2008
Noreen,L,Sealy,,Review Manager,None given,None given,None given,None given,,None given,2008
Marc,,Bechard,,Associate Editor,Boise State University,None given,None given,None given,,None given,2008
Gary,R,Bortolotti,,Associate Editor,University of Saskatchewan,None given,None given,None given,,None given,2008
James,V,Briskie,,Associate Editor,University of Canterbury,None given,None given,None given,,None given,2008
Robb,T,Brumfield,,Associate Editor,Louisiana State University,None given,None given,None given,,None given,2008
Edward,H,Burtt,Jr,Associate Editor,Ohio Wesleyan University,None given,None given,None given,,None given,2008
Stephen,J,Dinsmore,,Associate Editor,Iowa State University,None given,None given,None given,,None given,2008
Alfred,M,Dufty,Jr,Associate Editor,Boise State University,None given,None given,None given,,None given,2008
Collen,M,Handel,,Associate Editor,Alaska Science Center,None given,None given,None given,,None given,2008
Gary,R,Hepp,,Associate Editor,Auburn University,None given,None given,None given,,None given,2008
Fabian,M,Jaksic,,Associate Editor,Catholic  University of Chile,None given,None given,None given,,None given,2008
Helen,F,James,,Associate Editor,Smithsonian Institution,None given,None given,None given,,None given,2008
Douglas,H ,Johnson,,Associate Editor,northern Prairie Wildlife Research Center,None given,None given,None given,,None given,2008
Jason,,Jones,,Associate Editor,Tetra Tech EC Inc,None given,None given,None given,,None given,2008
John,,Klicka,,Associate Editor,University of nevada,None given,None given,None given,,None given,2008
David,B,Lank,,Associate Editor,Simon Fraser University,None given,None given,None given,,None given,2008
David ,B,McDonald,,Associate Editor,University of Wyoming,None given,None given,None given,,None given,2008
Scott,R,McWilliams,,Associate Editor,University of Rhode Island,None given,None given,None given,,None given,2008
John,F,Piatt,,Associate Editor,US Geological Survey,None given,None given,None given,,None given,2008
Juan,C,Reboreda,,Associate Editor,Universidad de Buenos Aires,None given,None given,None given,,None given,2008
Amanda,D,Rodewald,,Associate Editor,The Ohio State University,None given,None given,None given,,None given,2008
Sievert,,Rohwer,,Associate Editor,University of Washington,None given,None given,None given,,None given,2008
Brett,K,Sandercock,,Associate Editor,Kansas State University,None given,None given,None given,,None given,2008
Kim,T,Scribner,,Associate Editor,Michigan State University,None given,None given,None given,,None given,2008
Terry,L,Shaffer,,Associate Editor,Northern Prairie Wildlife Research Center,None given,None given,None given,,None given,2008
Navjot,S,Sodhi,,Associate Editor,National  University of Singapore,None given,None given,None given,,None given,2008
Karen,,Steenhof,,Associate Editor,Snake River Field Station,None given,None given,None given,,None given,2008
Philip,C,Stouffer,,Associate Editor,Louisiana State University,None given,None given,None given,,None given,2008
Jorge,H,Vega Rivera,,Associate Editor,Estacion Biologia Chamela,None given,None given,None given,,None given,2008
Kevin,,Winker,,Associate Editor,University of Alaska Museum,None given,None given,None given,,None given,2008
Ken,,Yasukawa,,Associate Editor,Beloit College,None given,None given,None given,,None given,2008
R,Todd,Engstrom,,Book Review Editor,Florida State University ,Coastal and Marine Laboratory,St. Teresa,USA,,Florida,2008
Alan,H,Brush,,Memorials Editor,None given,None given,Mystic,USA,,Connecticut,2008
Spencer,G,Sealy,,Editor,University of Manitoba,Department of Biological Sciences,Winnipeg,Canada,,Manitoba,2009
Mark,C,Penrose,,Managing Editor,None given,None given,None given,None given,,None given,2009
Richard,D,Earles,,Copy Editor,None given,None given,None given,None given,,None given,2009
Noreen,L,Sealy,,Review Manager,None given,None given,None given,None given,,None given,2009
Marc,,Bechard,,Associate Editor,Boise State University,None given,None given,None given,,None given,2009
Robb,T,Brumfield,,Associate Editor,Louisiana State University,None given,None given,None given,,None given,2009
Robert,G,Clark,,Associate Editor,Environment Canada,None given,None given,None given,,None given,2009
Russell,D,Dawson,,Associate Editor,University of Northern British Columbia,None given,None given,None given,,None given,2009
Donald,C,Dearborn,,Associate Editor,Bucknell University,None given,None given,None given,,None given,2009
Stephen,J,Dinsmore,,Associate Editor,Iowa State University,None given,None given,None given,,None given,2009
Alfred,M,Dufty,Jr,Associate Editor,Boise State University,None given,None given,None given,,None given,2009
Colleen,M,Handel,,Associate Editor,Alaska Science Center,None given,None given,None given,,None given,2009
Gary,R,Hepp,,Associate Editor,Auburn University,None given,None given,None given,,None given,2009
Helen,F,James,,Associate Editor,Smithsonian Institution,None given,None given,None given,,None given,2009
Douglas,H,Johnson,,Associate Editor,Northern Prairie Wildlife Research Center,None given,None given,None given,,None given,2009
Jason,,Jones,,Associate Editor,Tetra Tech EC Inc,None given,None given,None given,,None given,2009
John,,Klicka,,Associate Editor,University of nevada,None given,None given,None given,,None given,2009
David,B,McDonald,,Associate Editor,University of Wyoming,None given,None given,None given,,None given,2009
Kevin,J,McGraw,,Associate Editor,Arizona State University,None given,None given,None given,,None given,2009
Scott,R,McWilliams,,Associate Editor,University of Rhode Island,None given,None given,None given,,None given,2009
John,F,Piatt,,Associate Editor,US Geological Survey,None given,None given,None given,,None given,2009
Juan,C,Reboreda,,Associate Editor,Universidadde Buenos Aires,None given,None given,None given,,None given,2009
Amanda,D,Rodewald,,Associate Editor,The Ohio State University,None given,None given,None given,,None given,2009
Sievert,,Rohwer,,Associate Editor,University of Washington,None given,None given,None given,,None given,2009
Kim,T,Scribner,,Associate Editor,Michigan State University,None given,None given,None given,,None given,2009
Terry,L,Shaffer,,Associate Editor,Northern Prairie Wildlife Research Center,None given,None given,None given,,None given,2009
Philip,C,Stouffer,,Associate Editor,Louisiana State University,None given,None given,None given,,None given,2009
Jorge,H,Vega Rivera,,Associate Editor,Estacion Biologia Chamela,None given,None given,None given,,None given,2009
Kevin,,Winker,,Associate Editor,University of Alaska Museum,None given,None given,None given,,None given,2009
Ken,,Yasukawa,,Associate Editor,Beloit College,None given,None given,None given,,None given,2009
R,Todd,Engstrom,,Book Review Editor,Florida State University ,Coastal and Marine Laboratory,St. Teresa,USA,,Florida,2009
Alan,H,Brush,,Memorials Editor,None given,None given,Mystic,USA,,Connecticut,2009
Michael,T ,Murphy,,Editor,Portland State University,Department of Biology ,Portland,USA,,Oregon,2010
Mark,C,Penrose,,Managing Editor,None given,None given,None given,None given,,None given,2010
Richard,D,Earles,,Copy Editor,None given,None given,None given,None given,,None given,2010
Marc,J,Bechard,,Associate Editor,Boise State University,None given,None given,None given,,None given,2010
Bruce,E,Byers,,Associate Editor,University of Massachusetts,None given,None given,None given,,None given,2010
Robert,G,Clark,,Associate Editor,Environment Canada,None given,None given,None given,,None given,2010
Russell,D,Dawson,,Associate Editor,University of Northern British Columbia,None given,None given,None given,,None given,2010
Donald,C,Dearborn,,Associate Editor,Bucknell University,None given,None given,None given,,None given,2010
Stephen,J,Dinsmore,,Associate Editor,Iowa State University,None given,None given,None given,,None given,2010
Alfred,M,Dufty,,Associate Editor,Boise State University,None given,None given,None given,,None given,2010
John,P,Dumbacher,,Associate Editor,California Academy of Sciences,None given,None given,None given,,None given,2010
Tom,,Hahn,,Associate Editor,University of California Davis,None given,None given,None given,,None given,2010
Collen,M,Handel,,Associate Editor,USGS Biological Resources Division,None given,None given,None given,,None given,2010
Mark,E,Hauber,,Associate Editor,Hunter College CUNY,None given,None given,None given,,None given,2010
Gary,R,Hepp,,Associate Editor,Auburn University,None given,None given,None given,,None given,2010
Douglas,H,Johnson,,Associate Editor,Northern Prairie Wildlife Research Center,None given,None given,None given,,None given,2010
Jason,,Jones,,Associate Editor,Tetra Tech EC Inc,None given,None given,None given,,None given,2010
Leo,,Joseph,,Associate Editor,Australian National Wildlife Collection,None given,None given,None given,,None given,2010
John ,T,Klicka,,Associate Editor,University of Nevada,None given,None given,None given,,None given,2010
Mark,,Lindberg,,Associate Editor,University of Alaska Fairbanks,None given,None given,None given,,None given,2010
Catherine ,A,Lindeli,,Associate Editor,Michigan State University,None given,None given,None given,,None given,2010
Gerald,,Mayr,,Associate Editor,Forschungsinstitut Senckenberg,None given,None given,None given,,None given,2010
Kevin,J,McGraw,,Associate Editor,Arizona State University,None given,None given,None given,,None given,2010
Jesko,,Partecke,,Associate Editor,Max Planck Institute for Ornithology,None given,None given,None given,,None given,2010
John,F,Piatt,,Associate Editor,Alaska Science Center,None given,None given,None given,,None given,2010
Juan,C,REboreda,,Associate Editor,Universidadde Buenos Aires,None given,None given,None given,,None given,2010
Amanda,D,Rodewald,,Associate Editor,The Ohio State University,None given,None given,None given,,None given,2010
Christopher,M,Rogers,,Associate Editor,Wichita State University,None given,None given,None given,,None given,2010
Sievert,A,Rohwer,,Associate Editor,University of Washington,None given,None given,None given,,None given,2010
Kenneth,,Schmidt,,Associate Editor,Texas Tech University,None given,None given,None given,,None given,2010
Kim,T,Scribner,,Associate Editor,Michigan State University,None given,None given,None given,,None given,2010
Terry,L,Shaffer,,Associate Editor,Northern Prairie Wildlife Research Center,None given,None given,None given,,None given,2010
Philip,C,Stouffer,,Associate Editor,Louisiana State University,None given,None given,None given,,None given,2010
Bridget,JM,Stutchbury,,Associate Editor,York University,None given,None given,None given,,None given,2010
Jorge,H,Vega Rivera,,Associate Editor,Instituto de Biologia UniversityNAM,None given,None given,None given,,None given,2010
R,Todd,Engstrom,,Book Review Editor,Florida State University ,Coastal and Marine Laboratory,St. Teresa,USA,,Florida,2010
Alan,H,Brush,,Memorials Editor,None given,None given,Mystic,USA,,Connecticut,2010
Michael,T,Murphy,,Editor,Portland State University,Department of Biology ,Portland,USA,,Oregon,2011
Mark,C,Penrose,,Managing Editor,None given,None given,None given,None given,,None given,2011
Richard,D,Earles,,Copy Editor,None given,None given,None given,None given,,None given,2011
Marc,J ,Bechard,,Associate Editor,Boise State University,None given,None given,None given,,None given,2011
Bruce,E,Byers,,Associate Editor,University of Massachusetts,None given,None given,None given,,None given,2011
Robert,G,Clark,,Associate Editor,Environment Canada,None given,None given,None given,,None given,2011
Russell,D,Dawson,,Associate Editor,University of Northern British Columbia,None given,None given,None given,,None given,2011
Donald,C,Dearborn,,Associate Editor,Bucknell University,None given,None given,None given,,None given,2011
Stephen,J,Dinsmore,,Associate Editor,Iowa State University,None given,None given,None given,,None given,2011
Alfred,M,Dufty,,Associate Editor,Boise State University,None given,None given,None given,,None given,2011
John,P,Dumbacher,,Associate Editor,California Academy of Sciences,None given,None given,None given,,None given,2011
Tom,,Hahn,,Associate Editor,University of California Davis,None given,None given,None given,,None given,2011
Collen,M,Handel,,Associate Editor,USGS Biological Resources Division,None given,None given,None given,,None given,2011
Mark,E,Hauber,,Associate Editor,Hunter College CUNY,None given,None given,None given,,None given,2011
Gary,R,Hepp,,Associate Editor,Auburn University,None given,None given,None given,,None given,2011
Douglas,H,Johnson,,Associate Editor,Northern Prairie Wildlife Research Center,None given,None given,None given,,None given,2011
Jason,,Jones,,Associate Editor,Tetra Tech EC Inc,None given,None given,None given,,None given,2011
Leo,,Joseph,,Associate Editor,Australian National Wildlife Collection,None given,None given,None given,,None given,2011
Marcel,,Klaassen,,Associate Editor,Deakin University Australia,None given,None given,None given,,None given,2011
John,T,Klicka,,Associate Editor,University of Nevada,None given,None given,None given,,None given,2011
Mark,,Linberg,,Associate Editor,University of Alaska Fairbanks,None given,None given,None given,,None given,2011
Catherine ,A,Lindell,,Associate Editor,Michigan State University,None given,None given,None given,,None given,2011
Gerald,,Mayr,,Associate Editor,Forschungsinstitut Senckenberg,None given,None given,None given,,None given,2011
Kevin,J,McGraw,,Associate Editor,Arizona State University,None given,None given,None given,,None given,2011
Jennifer,,Owen,,Associate Editor,Michigan State University,None given,None given,None given,,None given,2011
Jesko,,Partecke,,Associate Editor,Max Planck Institute for Ornithology,None given,None given,None given,,None given,2011
John,E,Piatt,,Associate Editor,Alaska Science Center,None given,None given,None given,,None given,2011
Juan,C,Reboreda,,Associate Editor,Universidadde Buenos Aires,None given,None given,None given,,None given,2011
Christopher,M,Rogers,,Associate Editor,Wichita State University,None given,None given,None given,,None given,2011
Sievert,A,Rohwer,,Associate Editor,University of Washington,None given,None given,None given,,None given,2011
Kenneth,,Schmidt,,Associate Editor,Texas Tech University,None given,None given,None given,,None given,2011
Kim,T,Scribner,,Associate Editor,Michigan State University,None given,None given,None given,,None given,2011
Terry,L,Shaffer,,Associate Editor,Northern Prairie Wildlife Research Center,None given,None given,None given,,None given,2011
Philip,C,Stouffer,,Associate Editor,Louisiana State University,None given,None given,None given,,None given,2011
Elaina,M,Tuttle,,Associate Editor,Indiana State University,None given,None given,None given,,None given,2011
Jorge,H,Vega Rivera,,Associate Editor,Instituto de Biologia UniversityNAM,None given,None given,None given,,None given,2011
R,Todd,Engstrom,,Book Review Editor,Florida State University ,Coastal and Marine Laboratory,St. Teresa,USA,,Florida,2011
Alan,H,Brush,,Memorials Editor,None given,None given,Mystic,USA,,None given,2011
Michael,T,Murphy,,Editor,Portland State University,Department of Biology ,Portland,USA,,Oregon,2012
Mark,C,Penrose,,Managing Editor,None given,None given,None given,None given,,None given,2012
Richard,D,Earles,,Copy Editor,None given,None given,None given,None given,,None given,2012
Marc,J,Bechard,,Associate Editor,Boise State University,None given,None given,None given,,None given,2012
Luke,,Butler,,Associate Editor,The College of New Jersey,None given,None given,None given,,None given,2012
Bruce,E,Byers,,Associate Editor,University of Massachusetts,None given,None given,None given,,None given,2012
Donald,C,Dearborn,,Associate Editor,Bates College,None given,None given,None given,,None given,2012
Stephen,J,Dinsmore,,Associate Editor,Iowa State University,None given,None given,None given,,None given,2012
Alfred,M,Dufty,,Associate Editor,Boise State University,None given,None given,None given,,None given,2012
John,P,Dumbacher,,Associate Editor,California Academy of Sciences,None given,None given,None given,,None given,2012
Chris ,,Elphick,,Associate Editor,University of Connecticut,None given,None given,None given,,None given,2012
Sharon,,Gill,,Associate Editor,Western Michigan University,None given,None given,None given,,None given,2012
Tom,,Hahn,,Associate Editor,University of California Davis,None given,None given,None given,,None given,2012
Colleen,M,Handel,,Associate Editor,USGS Biological Resources Division,None given,None given,None given,,None given,2012
Gary,R,Hepp,,Associate Editor,Auburn University,None given,None given,None given,,None given,2012
Douglas,H,Johnson,,Associate Editor,Northern Prairie Wildlife Research Center,None given,None given,None given,,None given,2012
Jason,,Jones,,Associate Editor,Tetra Tech EC Inc,None given,None given,None given,,None given,2012
Leo,,Joseph,,Associate Editor,Australian National Wildlife Collection,None given,None given,None given,,None given,2012
Marcel,,Klaassen,,Associate Editor,Deakin University Australia,None given,None given,None given,,None given,2012
John,T,Klicka,,Associate Editor,University of Nevada,None given,None given,None given,,None given,2012
Mark,,Lindberg,,Associate Editor,University of Alaska Fairbanks,None given,None given,None given,,None given,2012
Catherine ,A,Lindell,,Associate Editor,Michigan State University,None given,None given,None given,,None given,2012
Gerald,,Mayr,,Associate Editor,Forschungsinstitut Senckenberg,None given,None given,None given,,None given,2012
Kevin,J,McGraw,,Associate Editor,Arizona State University,None given,None given,None given,,None given,2012
Jennifer,,Owen,,Associate Editor,Michigan State University,None given,None given,None given,,None given,2012
Jesko,,Partecke,,Associate Editor,Max Planck Institute for Ornithology,None given,None given,None given,,None given,2012
John,F,Piatt,,Associate Editor,Alaska Science Center,None given,None given,None given,,None given,2012
Juan,C,Reboreda,,Associate Editor,Universidadde Buenos Aires,None given,None given,None given,,None given,2012
Christopher,M,Rogers,,Associate Editor,Wichita State University,None given,None given,None given,,None given,2012
James,J,Roper,,Associate Editor,Universidadde Vila Velha ,None given,None given,None given,,None given,2012
Kenneth,,Schmidt,,Associate Editor,Texas Tech University,None given,None given,None given,,None given,2012
Kim,T,Scribner,,Associate Editor,Michigan State University,None given,None given,None given,,None given,2012
Terry,L,Shaffer,,Associate Editor,Northern Prairie Wildlife Research Center,None given,None given,None given,,None given,2012
Philip,C,Stouffer,,Associate Editor,Louisiana State University,None given,None given,None given,,None given,2012
Elaina,M,Tuttle,,Associate Editor,Indiana State University,None given,None given,None given,,None given,2012
Jorge,H,Vega Rivera,,Associate Editor,Instituto de Biologia UniversityNAM,None given,None given,None given,,None given,2012
R,Todd,Engstrom,,Book Review Editor,Tall Timbers Research Station,None given,Tallahassee,USA,,Florida,2012
Alan,H,Brush,,Memorials Editor,None given,None given,Mystic,USA,,Connecticut,2012
Michael,T,Murphy,,Editor,Portland State University,Department of Biology ,Portland,USA,,Oregon,2013
Mark,C,Penrose,,Managing Editor,None given,None given,None given,None given,,None given,2013
Richard,D,Earles,,Copy Editor,None given,None given,None given,None given,,None given,2013
W,Todd,Arnold,,Associate Editor,University of Minnesota,None given,None given,None given,,None given,2013
Marc,J,Bechard,,Associate Editor,Boise State University,None given,None given,None given,,None given,2013
Luke,,Butler,,Associate Editor,The College of New Jersey,None given,None given,None given,,None given,2013
Bruce,E,Byers,,Associate Editor,University of Massachusetts,None given,None given,None given,,None given,2013
Donald,C,Dearborn,,Associate Editor,Bates College,None given,None given,None given,,None given,2013
Stephen,J,Dinsmore,,Associate Editor,Iowa State University,None given,None given,None given,,None given,2013
John,P,Dumbacher,,Associate Editor,California Academy of Sciences,None given,None given,None given,,None given,2013
Chris,,Elphick,,Associate Editor,University of Connecticut,None given,None given,None given,,None given,2013
Sharon,,Gill,,Associate Editor,Western Michigan University,None given,None given,None given,,None given,2013
Tom,,Hahn,,Associate Editor,University of California Davis,None given,None given,None given,,None given,2013
Colleen,M,Handel,,Associate Editor,USGS Biological Resources Division,None given,None given,None given,,None given,2013
Gary,R,Hepp,,Associate Editor,Auburn University,None given,None given,None given,,None given,2013
Douglas,H,Johnson,,Associate Editor,Northern Prairie Wildlife Research Center,None given,None given,None given,,None given,2013
Jason,,Jones,,Associate Editor,Tetra Tech EC Inc,None given,None given,None given,,None given,2013
Leo,,Joseph,,Associate Editor,Australian National Wildlife Collection,None given,None given,None given,,None given,2013
Marcel,,Klaassen,,Associate Editor,Deakin University Australia,None given,None given,None given,,None given,2013
John,T,Klicka,,Associate Editor,University of Washington,None given,None given,None given,,None given,2013
Catherine ,A,Lindell,,Associate Editor,Michigan State University,None given,None given,None given,,None given,2013
Gerald,,Mayr,,Associate Editor,Forschungsinstitut Senckenberg,None given,None given,None given,,None given,2013
Jennifer,,Owen,,Associate Editor,Michigan State University,None given,None given,None given,,None given,2013
Jesko,,Partecke,,Associate Editor,Max Planck Institute for Ornithology,None given,None given,None given,,None given,2013
John,F,Piatt,,Associate Editor,Alaska Science Center,None given,None given,None given,,None given,2013
Juan,C,Reboreda,,Associate Editor,Universidadde Buenos Aires,None given,None given,None given,,None given,2013
Christopher,M,Rogers,,Associate Editor,Wichita State University,None given,None given,None given,,None given,2013
James,J,Roper,,Associate Editor,Universidadde Vila Velha ,None given,None given,None given,,None given,2013
Kenneth,,Schmidt,,Associate Editor,Texas Tech University,None given,None given,None given,,None given,2013
Kim,T,Scribner,,Associate Editor,Michigan State University,None given,None given,None given,,None given,2013
Terry,L,Shaffer,,Associate Editor,Northern Prairie Wildlife Research Center,None given,None given,None given,,None given,2013
Philip,C,Stouffer,,Associate Editor,Louisiana State University,None given,None given,None given,,None given,2013
Elaina,M,Tuttle,,Associate Editor,Indiana State University,None given,None given,None given,,None given,2013
Jorge,H,Vega Rivera,,Associate Editor,Instituto de Biologia UniversityNAM,None given,None given,None given,,None given,2013
R,Todd,Engstrom,,Book Review Editor,Tall Timbers Research Station,None given,Tallahassee,USA,,Florida,2013
Edward,H,Burtt,Jr,Memorials Editor,Ohio Wesleyan University,Department of Zoology,Delaware,USA,,Ohio,2013
Mark,E,Hauber,,Editor in Chief,Hunter College CUNY,None given,New York,USA,,New York,2014
Kimberly,,Bostwick,,Editors,Cornell  University ,Museum of Vertebrates,None given,None given,,None given,2014
James,S,Sedinger,,Editors,University of Nevada Reno,None given,None given,None given,,None given,2014
Kathleen,E,Erickson,,Managing Editor,None given,None given,None given,None given,,None given,2014
Rita,Lyn,Sanders ,,Assistant Managing Editor,None given,None given,None given,None given,,None given,2014
Richard,,Earles,,Copy Editor,None given,None given,None given,None given,,None given,2014
Janice,,Faaborg,,Copy Editor,None given,None given,None given,None given,,None given,2014
Scott,W,Gillihan,,Copy Editor,None given,None given,None given,None given,,None given,2014
Mark,C,Penrose,,Copy Editor,None given,None given,None given,None given,,None given,2014
Thalia,,Sachtleben,,Copy Editor,None given,None given,None given,None given,,None given,2014
Carlos,D,Cadena Ordonez,,Abstract Translators,None given,None given,None given,None given,,None given,2014
Jessica,,Eberhard,,Abstract Translators,None given,None given,None given,None given,,None given,2014
Lucio,R,Malizia,,Abstract Translators,None given,None given,None given,None given,,None given,2014
Karl,S,Mokross,,Abstract Translators,None given,None given,None given,None given,,None given,2014
Cesar,,Sanhez,,Abstract Translators,None given,None given,None given,None given,,None given,2014
Helene,,Senechal,,Abstract Translators,None given,None given,None given,None given,,None given,2014
Bonnie,S,Bowen,,Central Ornithology Publications Office Coordinator,None given,None given,None given,None given,,None given,2014
Lauryn,,Benedict,,Associate Editor,University of Northern Colorado,None given,None given,None given,,None given,2014
Melissa,,Bowlin,,Associate Editor,University of Michigan Dearborn,None given,None given,None given,,None given,2014
Luke,K,Butler,,Associate Editor,The College of New Jersey,None given,None given,None given,,None given,2014
Bruce,,Byers,,Associate Editor,University of Massachusetts Amherst,None given,None given,None given,,None given,2014
C,Daniel,Cadena  ,,Associate Editor,Universidadde los Andes,None given,None given,None given,,None given,2014
Phillip,,Cassey,,Associate Editor,The  University of Adelaide,None given,None given,None given,,None given,2014
Christopher,J,Clark,,Associate Editor,University of California Riverside,None given,None given,None given,,None given,2014
Robert,L,Curry,,Associate Editor,Villanova University,None given,None given,None given,,None given,2014
Donald,,Dearborn,,Associate Editor,Bates College,None given,None given,None given,,None given,2014
Mark,E,Deutschlander,,Associate Editor,Hobart and William Smith College,None given,None given,None given,,None given,2014
Stephen,J,Dinsmore,,Associate Editor,Iowa State University,None given,None given,None given,,None given,2014
Jack,,Dumbacher,,Associate Editor,California Academy of Sciences,None given,None given,None given,,None given,2014
Jennifer,,Gee,,Associate Editor,James San Jacinto Mountains Reserve,None given,None given,None given,,None given,2014
Sharon,,Gill ,,Associate Editor,Western Michigan University,None given,None given,None given,,None given,2014
Tomas,,Grim,,Associate Editor,Palacky University,None given,None given,None given,,None given,2014
D ,Caldwell,Hahn,,Associate Editor,USGS Patuxent Wildlife Research Center,None given,None given,None given,,None given,2014
Thomas,P,Hahn,,Associate Editor,University of California Davis,None given,None given,None given,,None given,2014
Colleen,M,Handel,,Associate Editor,Alaska Science Center,None given,None given,None given,,None given,2014
Stefanie,,Ismar,,Associate Editor,GEOMAR Helmholtz Center for Ocean Research Kiel,None given,None given,None given,,None given,2014
Douglas,H,Johnson,,Associate Editor,Northern Prairie Wildlife Research Center,None given,None given,None given,,None given,2014
Jason,,Jones,,Associate Editor,Tetra Tech EC Inc,None given,None given,None given,,None given,2014
Jeff,,Kelly,,Associate Editor,University of Oklahoma,None given,None given,None given,,None given,2014
David,,Koons,,Associate Editor,Utah State University,None given,None given,None given,,None given,2014
David,,Lahti,,Associate Editor,Queens College City  University of New York,None given,None given,None given,,None given,2014
Adam,Z,Lendvai,,Associate Editor,Virginia Tech,None given,None given,None given,,None given,2014
Catherine ,,Lindell,,Associate Editor,Michigan State University,None given,None given,None given,,None given,2014
Bernard,,Lohr,,Associate Editor,University of Maryland,None given,None given,None given,,None given,2014
Gerald,,Mayr,,Associate Editor,Senckenberg Research Institute Frankfurt,None given,None given,None given,,None given,2014
Bill,,Monahan,,Associate Editor,National Park Service Inventory e Monitoring Program,None given,None given,None given,,None given,2014
Troy,G,Murphy,,Associate Editor,Trinity University,None given,None given,None given,,None given,2014
Paul,M,Nolan,,Associate Editor,The Citadel Military College of South Carolina,None given,None given,None given,,None given,2014
Raul,,Ortiz Pulido,,Associate Editor,UniversidadAutonoma del Estado de HIdalgo,None given,None given,None given,,None given,2014
Sara,,Oyler McCance,,Associate Editor,USGS Fort Collins Science Center,None given,None given,None given,,None given,2014
Juan,L ,Parra,,Associate Editor,Universidadde Antioquia,None given,None given,None given,,None given,2014
Rebecca,J,Safran,,Associate Editor,University of Colorado Boulder,None given,None given,None given,,None given,2014
