FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,EDITOR_TITLE,INST,UNIT,CITY,COUNTRY,NOTES,STATE,YEAR
Gregory,J,Robertson,,Board of Reviewing Editors,Environment Canada,None given,None given,None given,,None given,2012
Keith,A,Hobson,,Board of Reviewing Editors,Environment Canada,None given,None given,None given,,None given,2013
Gregory,J,Robertson,,Board of Reviewing Editors,Environment Canada,None given,None given,None given,,None given,2013
Steve,L,Van Wilgenburg,,Associate Editors,Environment Canada National Hydrology Research Center,None given,None given,None given,,None given,2014
Steven,L,Van Wilgenburg,,Associate Editors,Environment Canada National Hydrology Research Center,None given,None given,None given,,None given,2015
Steven,L,Van Wilgenburg,,Associate Editors,Environment Canada National Hydrology Research Center,None given,None given,None given,,None given,2016
Steven,L,Van Wilgenburg,,Associate Editors,Environment Canada National Hydrology Research Center,None given,None given,None given,,None given,2017
Steven,L,Van Wilgenburg,,Associate Editors,Environment Canada National Hydrology Research Center,None given,None given,None given,,None given,2018
Gregory,J,Robertson,,Associate Editors,Environment Canada Wildlife Research Division,None given,None given,None given,,None given,2015
Gregory,J,Robertson,,Associate Editors,Environment Canada Wildlife Research Division,None given,None given,None given,,None given,2016
Gregory,J,Robertson,,Associate Editors,Environment Canada Wildlife Research Division,None given,None given,None given,,None given,2017
Gregory,J,Robertson,,Associate Editors,Environment Canada Wildlife Research Division,None given,None given,None given,,None given,2018
Gregory,J,Robertson,,Associate Editors,Environment Canada Wildlife Research East,None given,None given,None given,,None given,2014
Christin,L,Pruett,,Editorial Board,Florida Institute of Technology,None given,None given,None given,,None given,2009
Christin,L,Pruett,,Editorial Board,Florida Institute of Technology,None given,None given,None given,,None given,2010
Christin,L,Pruett,,Editorial Board,Florida Institute of Technology,None given,None given,None given,,None given,2011
Christin,L,Pruett,,Board of Reviewing Editors,Florida Institute of Technology,None given,None given,None given,,None given,2012
Christin,L,Pruett,,Board of Reviewing Editors,Florida Institute of Technology,None given,None given,None given,,None given,2013
Christin,L,Pruett,,Associate Editors,Florida Institute of Technology,None given,None given,None given,,None given,2014
Christin,L,Pruett,,Associate Editors,Florida Institute of Technology,None given,None given,None given,,None given,2015
Christin,L,Pruett,,Associate Editors,Florida Institute of Technology,None given,None given,None given,,None given,2016
Christin,L,Pruett,,Associate Editors,Florida Institute of Technology,None given,None given,None given,,None given,2017
Ray,,Chandler,,Editorial Board,Georgia Southern U,None given,None given,None given,,None given,2009
Ray,,Chandler,,Editorial Board,Georgia Southern University,None given,None given,None given,,None given,2010
Eben,,Goodale,,Associate Editors,Guangxi University,None given,None given,None given,,None given,2018
Mark,A,Colwell,,Associate Editors,Humbolt State University,None given,None given,None given,,None given,2018
Kristina,L,Cockle,,Associate Editors,IBIGEO CONICET,None given,None given,None given,,None given,2016
Kristina,L,Cockle,,Associate Editors,IBIGEO CONICET,None given,None given,None given,,None given,2017
Kristina,L,Cockle,,Associate Editors,IBIGEO CONICET,None given,None given,None given,,None given,2018
Stephen,J,Dinsmore,,Associate Editors,Iowa State University,None given,None given,None given,,None given,2018
Frederick,H,Sheldon,,Editorial Board,Louisiana State University,None given,None given,None given,,None given,2009
Frederick,H,Sheldon,,Editorial Board,Louisiana State University,None given,None given,None given,,None given,2010
Frederick,H,Sheldon,,Editorial Board,Louisiana State University,None given,None given,None given,,None given,2011
Frederick,H,Sheldon,,Board of Reviewing Editors,Louisiana State University,None given,None given,None given,,None given,2012
Frederick,H,Sheldon,,Board of Reviewing Editors,Louisiana State University,None given,None given,None given,,None given,2013
Kristina,L,Cockle,,Associate Editors,Louisiana State University,None given,None given,None given,,None given,2014
Kristina,L,Cockle,,Associate Editors,Louisiana State University,None given,None given,None given,,None given,2015
Luciano,N,Naka,,Latin American Editorial Board,Louisiana State University & University Federal University of Roraima,None given,None given,None given,,None given,2012
Luciano,N,Naka,,Latin American Editorial Board,Louisiana State University & University Federal University of Roraima,None given,None given,None given,,None given,2013
Richard,A,Erickson,,Editorial Board,LSA Associates,None given,None given,None given,,None given,2009
Richard,A,Erickson,,Editorial Board,LSA Associates,None given,None given,None given,,None given,2010
Richard,A,Erickson,,Editorial Board,LSA Associates,None given,None given,None given,,None given,2011
Richard,A,Erickson,,Board of Reviewing Editors,LSA Associates,None given,None given,None given,,None given,2012
