JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code,
BIOCON,1986,35,1,753,DJ,,KUENEN,DJ KUENEN,EB,SE,,,,,Netherlands,NLD,
BIOCON,1986,35,1,2050,K,,MELLANBY,K MELLANBY,EB,SE,,,,,UK,GBR,
BIOCON,1986,35,1,3607,TH,,MONOD,TH MONOD,EB,SE,,,,,France,FRA,
BIOCON,1986,35,1,333,B,,NIEVERGELT,B NIEVERGELT,EB,SE,,,,,Switzerland,CHE,
BIOCON,1986,35,1,1796,JD,,OVINGTON,JD OVINGTON,EB,SE,,,,,Australia,AUS,
BIOCON,1986,35,1,1810,JFV,,PHILLIPS,JFV PHILLIPS,EB,SE,,,,,South Africa,ZAF,
BIOCON,1986,35,1,2914,Peter,,Scott,Peter Scott,EB,SE,,,,,UK,GBR,
BIOCON,1986,35,1,2242,LK,,SHAPOSHNIKOV,LK SHAPOSHNIKOV,EB,SE,,,,,USSR,RUS,
BIOCON,1986,35,1,3705,V,,WESTHOFF,V WESTHOFF,EB,SE,,,,,Netherlands,NLD,
BIOCON,1987,39,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,,,,,Italy,ITA,
BIOCON,1987,39,1,3832,YONG-LIN,,CHEN,YONG-LIN CHEN,EB,SE,Academica Sinica,NoUnit,Beijing,,China,CHN,
BIOCON,1987,39,1,2333,M,J,COE,M J COE,EB,SE,,,,,UK,GBR,
BIOCON,1987,39,1,1294,H,,CRUSZ,H CRUSZ,EB,SE,,,,,Sri Lanka,LKA,
BIOCON,1987,39,1,2346,Manuel,G,DeViedma,Manuel G DeViedma,EB,SE,,,,,Spain,ESP,
BIOCON,1987,39,1,3734,WH,,DRURY,WH DRURY,EB,SE,,,,,USA,USA,
BIOCON,1987,39,1,958,Eric,,Duffey,Eric Duffey,EIC,EIC,,,,,UK,GBR,
BIOCON,1987,39,1,3738,W,,ERZ,W ERZ,EB,SE,,,,,Germany,DEU,
BIOCON,1987,39,1,1595,JOHN,A,GIBB,JOHN A GIBB,EB,SE,,,,,New Zealand,NZL,
BIOCON,1987,39,1,1071,F,B,Goldsmith,F B Goldsmith,EB,SE,,,,,UK,GBR,
BIOCON,1987,39,1,2164,Lennart,,Hansson,Lennart Hansson,EB,SE,,,,,Sweden,SWE,
BIOCON,1987,39,1,1626,J,,HARWOOD,J HARWOOD,EB,SE,Natural Environment Research Council,NoUnit,Cambridge,,UK,GBR,
BIOCON,1987,39,1,2050,K,,MELLANBY,K MELLANBY,EB,SE,,,,,UK,GBR,
BIOCON,1987,39,1,1765,JD,,MIDDLETON,JD MIDDLETON,EB,SE,Brock University,NoUnit,St. Catharines,Ontario,Canada,CAN,
BIOCON,1987,39,1,2672,NC,,MORGAN,NC MORGAN,EB,SE,NoInst,NoUnit,Saulxures sur Moselotte,,UK,GBR,
BIOCON,1987,39,1,3614,Tim,R,New,Tim R New,EB,SE,La Trobe University,Zoology,Victoria,,Australia,AUS,
BIOCON,1987,39,1,333,B,,NIEVERGELT,B NIEVERGELT,EB,SE,,,,,Switzerland,CHE,
BIOCON,1987,39,1,3840,Y,,ONO,Y ONO,EB,SE,Kyushu University,NoUnit,Fukuoka,,Japan,JPN,
BIOCON,1987,39,1,1121,F,,RAMADE,F RAMADE,EB,SE,Universite de Paris-Sud,NoUnit,Orsay,,France,FRA,
BIOCON,1987,39,1,566,CM,,SCHONEWALD,CM SCHONEWALD,EB,SE,University of California,NoUnit,,,USA,USA,
BIOCON,1987,39,1,3798,WR,,SIEGFRIED,WR SIEGFRIED,EB,SE,University of Cape Town,,Cape Town,,South Africa,ZAF,
BIOCON,1987,39,1,3705,V,,WESTHOFF,V WESTHOFF,EB,SE,,,,,Netherlands,NLD,
BIOCON,1987,39,1,3658,T,C,Whitmore,T C Whitmore,EB,SE,Oxford Forestry Institute,NoUnit,Oxford,,UK,GBR,
BIOCON,1988,43,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,,,,,Italy,ITA,
BIOCON,1988,43,1,3832,YONG-LIN,,CHEN,YONG-LIN CHEN,EB,SE,,,,,China,CHN,
BIOCON,1988,43,1,2333,M,J,COE,M J COE,EB,SE,,,,,UK,GBR,
BIOCON,1988,43,1,1294,H,,CRUSZ,H CRUSZ,EB,SE,,,,,Sri Lanka,LKA,
BIOCON,1988,43,1,2346,Manuel,G,DeViedma,Manuel G DeViedma,EB,SE,,,,,Spain,ESP,
BIOCON,1988,43,1,3734,WH,,DRURY,WH DRURY,EB,SE,,,,,USA,USA,
BIOCON,1988,43,1,958,Eric,,Duffey,Eric Duffey,EIC,EIC,,,,,UK,GBR,
BIOCON,1988,43,1,3738,W,,ERZ,W ERZ,EB,SE,,,,,Germany,DEU,
BIOCON,1988,43,1,1595,JOHN,A,GIBB,JOHN A GIBB,EB,SE,,,,,New Zealand,NZL,
