JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code,
BIOCON,1989,47,1,2333,M,J,COE,M J COE,EB,SE,,,,,UK,GBR,
BIOCON,1989,47,1,1294,H,,CRUSZ,H CRUSZ,EB,SE,,,,,Sri Lanka,LKA,
BIOCON,1989,47,1,958,Eric,,Duffey,Eric Duffey,EIC,EIC,NoInst,NoUnit,Peterborough,,UK,GBR,
BIOCON,1989,47,1,3738,W,,ERZ,W ERZ,EB,SE,,,,,Germany,DEU,
BIOCON,1989,47,1,1595,JOHN,A,GIBB,JOHN A GIBB,EB,SE,,,,,New Zealand,NZL,
BIOCON,1989,47,1,2164,Lennart,,Hansson,Lennart Hansson,EB,SE,,,,,Sweden,SWE,
BIOCON,1989,47,1,1626,J,,HARWOOD,J HARWOOD,EB,SE,,,,,UK,GBR,
BIOCON,1989,47,1,2050,K,,MELLANBY,K MELLANBY,EB,SE,,,,,UK,GBR,
BIOCON,1989,47,1,1765,JD,,MIDDLETON,JD MIDDLETON,EB,SE,,,,,Canada,CAN,
BIOCON,1989,47,1,2672,NC,,MORGAN,NC MORGAN,EB,SE,,,,,UK,GBR,
BIOCON,1989,47,1,3614,Tim,R,New,Tim R New,EB,SE,,,,,Australia,AUS,
BIOCON,1989,47,1,333,B,,NIEVERGELT,B NIEVERGELT,EB,SE,,,,,Switzerland,CHE,
BIOCON,1989,47,1,3840,Y,,ONO,Y ONO,EB,SE,,,,,Japan,JPN,
BIOCON,1989,47,1,1121,F,,RAMADE,F RAMADE,EB,SE,,,,,France,FRA,
BIOCON,1989,47,1,566,CM,,SCHONEWALD,CM SCHONEWALD,AE,AE,University of California Davis,Institute of Ecology,Davis,California,USA,USA,
BIOCON,1989,47,1,3798,WR,,SIEGFRIED,WR SIEGFRIED,EB,SE,,,,,South Africa,ZAF,
BIOCON,1989,47,1,3658,T,C,Whitmore,T C Whitmore,EB,SE,,,,,UK,GBR,
BIOCON,1989,47,1,3822,WJ,,WOLFF,WJ WOLFF,EB,SE,Research Institute for Nature Management,NoUnit,Leersum,,Netherlands,NLD,
BIOCON,1990,51,1,1054,F,G,Bernaldez,F G Bernaldez,EB,SE,Universidad Autonoma,NoUnit,Madrid,,Spain,ESP,
BIOCON,1990,51,1,398,C,,BIBBY,C BIBBY,EB,SE,The Royal Society for the Protection of Birds,NoUnit,Bedfordshire,,UK,GBR,
BIOCON,1990,51,1,34,AW,Fabio,Cassola,AW Fabio Cassola,EB,SE,,,,,Italy,ITA,
BIOCON,1990,51,1,3832,YONG-LIN,,CHEN,YONG-LIN CHEN,EB,SE,,,,,China,CHN,
BIOCON,1990,51,1,2333,M,J,COE,M J COE,EB,SE,,,,,UK,GBR,
BIOCON,1990,51,1,958,Eric,,Duffey,Eric Duffey,EIC,EIC,,,,,UK,GBR,
BIOCON,1990,51,1,3738,W,,ERZ,W ERZ,EB,SE,,,,,Germany,DEU,
BIOCON,1990,51,1,1595,JOHN,A,GIBB,JOHN A GIBB,EB,SE,,,,,New Zealand,NZL,
BIOCON,1990,51,1,2164,Lennart,,Hansson,Lennart Hansson,EB,SE,,,,,Sweden,SWE,
BIOCON,1990,51,1,1626,J,,HARWOOD,J HARWOOD,EB,SE,,,,,UK,GBR,
BIOCON,1990,51,1,2473,MARTIN,K,MCNICHOLL,MARTIN K MCNICHOLL,EB,SE,NoInst,NoUnit,Toronto,Ontario,Canada,CAN,
BIOCON,1990,51,1,2050,K,,MELLANBY,K MELLANBY,EB,SE,,,,,UK,GBR,
BIOCON,1990,51,1,2672,NC,,MORGAN,NC MORGAN,EB,SE,,,,,UK,GBR,
BIOCON,1990,51,1,2875,PETER,B,MOYLE,PETER B MOYLE,EB,SE,University of California Davis,NoUnit,Davis,California,USA,USA,
BIOCON,1990,51,1,3614,Tim,R,New,Tim R New,EB,SE,,,,,Australia,AUS,
BIOCON,1990,51,1,333,B,,NIEVERGELT,B NIEVERGELT,EB,SE,,,,,Switzerland,CHE,
