JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code,
ECOGRAPHY,1991,14,1,2930,Per,,Sunding,Per Sunding,AE,AE,Botanical Museum,Plant Ecology,Oslo,,Norway,NOR,
ECOGRAPHY,1991,14,1,3239,Rolf,,Vik,Rolf Vik,EIC,EIC,Zoological Museum,,Oslo,,Norway,NOR,
ECOGRAPHY,1992,15,1,2664,Nils,,Malmer,Nils Malmer,AEIC,EIC,Lund University,Department of Ecology,Lund,,Sweden,SWE,
ECOGRAPHY,1993,16,1,3371,Sven,,Jonasson,Sven Jonasson,EIC,EIC,University of Copenhagen,Department of Plant Ecology,Copenhagen,,Denmark,DNK,
ECOGRAPHY,1994,17,1,3371,Sven,,Jonasson,Sven Jonasson,EIC,EIC,University of Copenhagen,Department of Plant Ecology,Copenhagen,,Denmark,DNK,
ECOGRAPHY,1995,18,1,3371,Sven,,Jonasson,Sven Jonasson,EIC,EIC,University of Copenhagen,Department of Plant Ecology,Copenhagen,,Denmark,DNK,
ECOGRAPHY,1995,18,1,,Linus,,Svensson,Linus Scensson,ME,AE,Lund University,Department of Ecology,Lund,,Sweden,SWE,Managing Editor
ECOGRAPHY,1996,19,1,1398,Ilkka,,Hanski,Ilkka Hanski,E,AE,University of Helsinki,Department of Ecology and Systematics,Helsinki,,Finland,FIN,
ECOGRAPHY,1996,19,1,3688,Veijo,,Kaitala,Veijo Kaitala,E,AE,University of Helsinki,Department of Ecology and Systematics,Helsinki,,Finland,FIN,
ECOGRAPHY,1996,19,1,1787,Jari,,Niemela,Jari Niemela,E,AE,University of Helsinki,Department of Ecology and Systematics,Helsinki,,Finland,FIN,
ECOGRAPHY,1996,19,1,1019,Esa,,Ranta,Esa Ranta,EIC,EIC,University of Helsinki,Department of Ecology and Systematics,Helsinki,,Finland,FIN,
ECOGRAPHY,1996,19,1,,Linus,,Svensson,Linus Scensson,ME,AE,Lund University,Department of Ecology,Lund,,Sweden,SWE,Managing Editor
ECOGRAPHY,1997,20,1,1398,Ilkka,,Hanski,Ilkka Hanski,E,AE,University of Helsinki,Department of Ecology and Systematics,Helsinki,,Finland,FIN,
ECOGRAPHY,1997,20,1,3688,Veijo,,Kaitala,Veijo Kaitala,E,AE,University of Helsinki,Department of Ecology and Systematics,Helsinki,,Finland,FIN,
ECOGRAPHY,1997,20,1,1787,Jari,,Niemela,Jari Niemela,E,AE,University of Helsinki,Department of Ecology and Systematics,Helsinki,,Finland,FIN,
ECOGRAPHY,1997,20,1,1019,Esa,,Ranta,Esa Ranta,EIC,EIC,University of Helsinki,Department of Ecology and Systematics,Helsinki,,Finland,FIN,
ECOGRAPHY,1998,21,1,1398,Ilkka,,Hanski,Ilkka Hanski,E,AE,University of Helsinki,Department of Zoology,Helsinki,,Finland,FIN,
ECOGRAPHY,1998,21,1,3688,Veijo,,Kaitala,Veijo Kaitala,E,AE,University of Helsinki,Department of Biological and Environmental Sciences,Helsinki,,Finland,FIN,
ECOGRAPHY,1998,21,1,1787,Jari,,Niemela,Jari Niemela,E,AE,University of Helsinki,Department of Ecology and Systematics,Helsinki,,Finland,FIN,
ECOGRAPHY,1998,21,1,1019,Esa,,Ranta,Esa Ranta,EIC,EIC,University of Helsinki,Department of Ecology and Systematics,Helsinki,,Finland,FIN,
ECOGRAPHY,1999,22,1,1398,Ilkka,,Hanski,Ilkka Hanski,E,AE,University of Helsinki,Department of Zoology,Helsinki,,Finland,FIN,
ECOGRAPHY,1999,22,1,3688,Veijo,,Kaitala,Veijo Kaitala,E,AE,University of Helsinki,Department of Biological and Environmental Sciences,Helsinki,,Finland,FIN,
ECOGRAPHY,1999,22,1,1787,Jari,,Niemela,Jari Niemela,E,AE,University of Helsinki,Department of Ecology and Systematics,Helsinki,,Finland,FIN,
ECOGRAPHY,1999,22,1,1019,Esa,,Ranta,Esa Ranta,EIC,EIC,University of Helsinki,Department of Ecology and Systematics,Helsinki,,Finland,FIN,
ECOGRAPHY,2000,23,1,1019,Esa,,Ranta,Esa Ranta,EIC,EIC,University of Helsinki,Department of Ecology and Systematics,Helsinki,,Finland,FIN,
ECOGRAPHY,2000,23,1,2622,Martin,,Zobel,Martin Zobel,DEIC,AE,Tartu University,Department of Botany and Ecology,Tartu,,Estonia,EST,
ECOGRAPHY,2001,24,1,2482,Mikko,,Monkkonen,Mikko Monkkonen,DEIC,AE,University of Oulu,Department of Zoology,Oulu,,Finland,FIN,
ECOGRAPHY,2001,24,1,2622,Martin,,Zobel,Martin Zobel,EIC,EIC,Tartu University,Department of Botany and Ecology,Tartu,,Estonia,EST,
ECOGRAPHY,2002,25,1,2482,Mikko,,Monkkonen,Mikko Monkkonen,DEIC,AE,University of Oulu,Department of Zoology,Oulu,,Finland,FIN,
ECOGRAPHY,2002,25,1,1880,John,R,Spence,John R Spence,DEIC,AE,University of Alberta,Department of Renewable Resources,Edmonton,,Canada,CAN,
ECOGRAPHY,2002,25,1,2622,Martin,,Zobel,Martin Zobel,EIC,EIC,Tartu University,Department of Botany and Ecology,Tartu,,Estonia,EST,
ECOGRAPHY,2003,26,1,2482,Mikko,,Monkkonen,Mikko Monkkonen,DEIC,AE,University of Oulu,Department of Zoology,Oulu,,Finland,FIN,
ECOGRAPHY,2003,26,1,1880,John,R,Spence,John R Spence,DEIC,AE,University of Alberta,Department of Renewable Resources,Edmonton,,Canada,CAN,
ECOGRAPHY,2003,26,1,2622,Martin,,Zobel,Martin Zobel,EIC,EIC,Tartu University,Department of Botany and Ecology,Tartu,,Estonia,EST,
ECOGRAPHY,2004,27,1,2482,Mikko,,Monkkonen,Mikko Monkkonen,DEIC,AE,University of Oulu,Department of Zoology,Oulu,,Finland,FIN,
ECOGRAPHY,2004,27,1,1880,John,R,Spence,John R Spence,DEIC,AE,University of Alberta,Department of Renewable Resources,Edmonton,,Canada,CAN,
ECOGRAPHY,2004,27,1,2622,Martin,,Zobel,Martin Zobel,EIC,EIC,Tartu University,Department of Botany and Ecology,Tartu,,Estonia,EST,
ECOGRAPHY,2005,28,1,1311,Helmut,,Hillebrand,Helmut Hillebrand,SE,SE,University of Cologne,Institute of Botany,Cologne,,Germany,DEU,
ECOGRAPHY,2005,28,1,746,Douglas,,Kelt,Douglas Kelt,SE,SE,University of California Davis,"Department of Wildlife, Fish and Conservation Biology",Davis,California,United States,USA,
ECOGRAPHY,2005,28,1,124,Anders,,Klemetsen,Anders Klemetsen,SE,SE,University of Tromso,Department of Aquatic BioSciences,Tromso,,Norway,NOR,
ECOGRAPHY,2005,28,1,135,Andrew,,Liebhold,Andrew Liebhold,SE,SE,USDA Forest Service,,Morgantown,West Virginia,United States,USA,
