JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,INSTITUTION,CATEGORY,GENDER
AMNAT,2006,,,Editorial Board,Andrew,,Solow,,USA, Woods Hole Oceanographic Institute,SE,male
AMNAT,2006,,,Editorial Board,Judy,,Stamps,,USA, University of California-Davis,SE,female
AMNAT,2006,,,Editorial Board,Sonia,,Sultan,,USA, Wesleyan University,SE,female
AMNAT,2006,,,Editorial Board,Peter,D.,Taylor,,Canada, Queens University,SE,male
AMNAT,2006,,,Editorial Board,David,,Waxman,,England, University of Sussex,SE,male
AMNAT,2006,,,Editorial Board,Stuart,,West,,Scotland, Edinburgh University,SE,male
AMNAT,2006,,,Editorial Board,John,J.,Wiens,,USA, Stony Brook University,SE,male
AMNAT,2006,,,Editorial Board,Will,,Wilson,,USA, Duke University,SE,male
AMNAT,2006,,,Editorial Board,Chung-I,,Wu,,USA, University of Chicago,SE,male
AMNAT,2007,,,Editor,Donald,L.,DeAngelis,,USA, US Geological Survey and University of Miami,AE,male
AMNAT,2007,,,Editor,Monica,A.,Gerber,,USA,Cornell University,AE,female
AMNAT,2007,,,Editor-in-Chief,Michael,C.,Whitlock,,Canada, University of British Columbia,EIC,male
AMNAT,2007,,,Editorial Assistants,Rob,C.,Blixt,,NA,NA,NA,male
AMNAT,2007,,,Editorial Assistants,Alexa,,Bontrager,,NA,NA,NA,female
AMNAT,2007,,,Managing Editor,Patrica,L.,Morse,,NA,NA,NA,female
AMNAT,2007,,,Editorial Board,Elizabeth,,Adkins-Regan,,USA, Cornell University,SE,female
AMNAT,2007,,,Editorial Board,Priyanga,,Amarasekare,,USA,University of California-Los Angeles,SE,female
AMNAT,2007,,,Editorial Board,Goran,,Arnqvist,,Sweden,University of Uppsala,SE,male
AMNAT,2007,,,Editorial Board,Tia-Lynn,,Ashman,,USA, University of Pittsburgh,SE,female
AMNAT,2007,,,Editorial Board,Craig,W.,Benkman,,USA,University of Wyoming,SE,male
AMNAT,2007,,,Editorial Board,Mark,,Blows,,Australia, University of Queensland,SE,male
AMNAT,2007,,,Editorial Board,Benjamin,,Bolker,,USA, University of Florida,SE,male
AMNAT,2007,,,Editorial Board,Edmund,D.,Brodie,III,USA, Indiana University,SE,male
AMNAT,2007,,,Editorial Board,Judith,L.,Bronstein,,USA, University ofArizona,SE,female
AMNAT,2007,,,Editorial Board,Armando,,Caballero,,Spain, Universidad de Vigo,SE,male
AMNAT,2007,,,Editorial Board,Steven,L.,Chown,,South Africa, University of Stellenbosch ,SE,male
AMNAT,2007,,,Editorial Board,Andrew,,Clarke,,England,"British Antarctic Survey, Cambridge",SE,male
AMNAT,2007,,,Editorial Board,Tim,,Coulson,,England, Imperial College,SE,male
AMNAT,2007,,,Editorial Board,Troy,,Day,,Canada, Queens University,SE,male
AMNAT,2007,,,Editorial Board,Claire,,deMezancourt,,England,"Imperial College,Silwood Park",SE,female
AMNAT,2007,,,Editorial Board,Sebastian,,Diehl,,Germany, Ludwig-Maximilians-Universitat Munchen,SE,male
AMNAT,2007,,,Editorial Board,Kathleen,,Donohue,,USA,Harvard University,SE,female
AMNAT,2007,,,Editorial Board,Robert,,Dudley,,USA, University of California-Berkeley,SE,male
AMNAT,2007,,,Editorial Board,Elizabeth,,Elle,,Canada, Simon Fraser University,SE,female
AMNAT,2007,,,Editorial Board,Douglas,H.,Erwin,,USA, National Museum of Natural History,SE,male
AMNAT,2007,,,Editorial Board,William,F.,Fagan,,USA, University of Maryland,SE,male
AMNAT,2007,,,Editorial Board,James,D.,Fry,,USA, University of Rochester,SE,male
AMNAT,2007,,,Editorial Board,Greg,,Gibson,,USA, North Carolina State University,SE,male
AMNAT,2007,,,Editorial Board,George,W.,Gilchrist,,USA, College of William and Mary,SE,male
AMNAT,2007,,,Editorial Board,Luc-Alain,,Giraldeau,,Canada, Universite de Quebec a Montreal,SE,male
AMNAT,2007,,,Editorial Board,Richard,,Gomulkiewicz,,USA, Washington State University,SE,male
AMNAT,2007,,,Editorial Board,Volker,,Grimm,,Germany, UfZ Centre for Environmental Research Leipzig-Halle,SE,male
AMNAT,2007,,,Editorial Board,Stephen,B.,Heard,,Canada, University of New Brunswick,SE,male
AMNAT,2007,,,Editorial Board,Michael,E.,Hellberg,,USA, Louisiana State University,SE,male
AMNAT,2007,,,Editorial Board,Marcel,,Holyoak,,USA, University of California-Davis,SE,male
AMNAT,2007,,,Editorial Board,Raymond,B.,Huey,,USA, University of Washington,SE,male
AMNAT,2007,,,Editorial Board,Jef,,Huisman,,Netherlands, University of Amsterdam,SE,male
AMNAT,2007,,,Editorial Board,Frederic,C.,Janzen,,USA, Iowa State University,SE,male
AMNAT,2007,,,Editorial Board,Philippe,,Jarne,,France, Centre National de la Recherche Scientifique,SE,male
AMNAT,2007,,,Editorial Board,Bruce,C.,Jayne,,USA,University of Cincinnati,SE,male
AMNAT,2007,,,Editorial Board,Matt,J.,Keeling,,England, University of Warwick,SE,male
AMNAT,2007,,,Editorial Board,Ellen,D.,Ketterson,,USA, Indiana University,SE,female
AMNAT,2007,,,Editorial Board,Christopher,A.,Klausmeier,,USA,Michigan State University,SE,male
AMNAT,2007,,,Editorial Board,Thomas,,Lenormand,,France, CNRS,SE,male
AMNAT,2007,,,Editorial Board,Justin,,Marshall,,Australia,University of Queensland,SE,male
AMNAT,2007,,,Editorial Board,Emilia,,Martins,,USA,Indiana University,SE,female
AMNAT,2007,,,Editorial Board,John,M.,McNamara,,England, Bristol University,SE,male
AMNAT,2007,,,Editorial Board,Yannis,,Michalakis,,France, CNRS-IRI-Montpellier,SE,male
AMNAT,2007,,,Editorial Board,Robert,,Montgomerie,,Canada, Queens University,SE,male
AMNAT,2007,,,Editorial Board,Wolf,M.,Mooij,,Netherlands, Netherlands Institute of Ecology,SE,male
AMNAT,2007,,,Editorial Board,Allen,L.,Moore,,England, University of Manchester,SE,male
AMNAT,2007,,,Editorial Board,Peter,J.,Morin,,USA, Rutgers University,SE,male
AMNAT,2007,,,Editorial Board,William,F.,Morris,,USA, Duke University,SE,male
AMNAT,2007,,,Editorial Board,Peter,,Nonacs,,USA, University of California-Los Angeles,SE,male
AMNAT,2007,,,Editorial Board,Sergey,,Nuzhdin,,USA,University of California-Davis,SE,male
AMNAT,2007,,,Editorial Board,Nipam,H.,Patel,,USA, University of California-Berkeley,SE,male
AMNAT,2007,,,Editorial Board,Nicolas,,Perrin,,Switzerland, Universite de Lausanne,SE,male
AMNAT,2007,,,Editorial Board,Christopher,W.,Petersen,,USA, College of the Atlantic,SE,male
AMNAT,2007,,,Editorial Board,Catherine,A.,Pfister,,USA, University of Chicago,SE,female
AMNAT,2007,,,Editorial Board,Anna,,Qvarnstrom,,Sweden,University of Uppsala,SE,female
AMNAT,2007,,,Editorial Board,Susanne,S.,Renner,,USA, University of Missouri-St.Louis,SE,female
AMNAT,2007,,,Editorial Board,David,N.,Reznick,,USA, University of California-Riverside,SE,male
AMNAT,2007,,,Editorial Board,Locke,,Rowe,,Canada, University of Toronto,SE,male
AMNAT,2007,,,Editorial Board,Kaustuv,,Roy,,USA, University of California-San Diego,SE,male
AMNAT,2007,,,Editorial Board,Michael,J.,Ryan,,USA, University of Texas at Austin,SE,male
AMNAT,2007,,,Editorial Board,Christopher,J.,Schneider,,USA, Boston University,SE,male
AMNAT,2007,,,Editorial Board,Ben,,Sheldon,,England, University of Oxford,SE,male
AMNAT,2007,,,Editorial Board,Thomas,N.,Sherratt,,Canada,Carleton University,SE,male
AMNAT,2007,,,Editorial Board,Andrew,,Solow,,USA, Woods Hole Oceanographic Institute,SE,male
AMNAT,2007,,,Editorial Board,Peter,D.,Taylor,,Canada, Queens University,SE,male
AMNAT,2007,,,Editorial Board,David,,Waxman,,England, University of Sussex,SE,male
AMNAT,2007,,,Editorial Board,Franz,J.,Weissing,,Netherlands,University of Groningen,SE,male
AMNAT,2007,,,Editorial Board,Stuart,,West,,Scotland, Edinburgh University,SE,male
AMNAT,2007,,,Editorial Board,John,J.,Wiens,,USA, Stony Brook University,SE,male
AMNAT,2007,,,Editorial Board,Will,,Wilson,,USA, Duke University,SE,male
AMNAT,2007,,,Editorial Board,Chung-I,,Wu,,USA, University of Chicago,SE,male
AMNAT,2007,,,Natural HistoryEditor ,Henry,M.,Wilbur,,USA,University of Virginia,Special,male
AMNAT,2008,,,Editor,Donald,L.,DeAngelis,,USA, US Geological Survey and University of Miami,AE,male
AMNAT,2008,,,Editor,Monica,A.,Gerber,,USA,Cornell University,AE,female
AMNAT,2008,,,Editor-in-Chief,Michael,C.,Whitlock,,Canada, University of British Columbia,EIC,male
AMNAT,2008,,,Editorial Assistants,Philip,,Banning,,NA,NA,NA,male
AMNAT,2008,,,Editorial Assistants,Rob,C.,Blixt,,NA,NA,NA,male
AMNAT,2008,,,Managing Editor,Patrica,L.,Morse,,NA,NA,NA,female
AMNAT,2008,,,Editorial Board,David,D.,Ackerly,,USA,University of California-Berkeley,SE,male
AMNAT,2008,,,Editorial Board,Elizabeth,,Adkins-Regan,,USA, Cornell University,SE,female
AMNAT,2008,,,Editorial Board,Priyanga,,Amarasekare,,USA,University of California-Los Angeles,SE,female
AMNAT,2008,,,Editorial Board,Goran,,Arnqvist,,Sweden,University of Uppsala,SE,male
AMNAT,2008,,,Editorial Board,Tia-Lynn,,Ashman,,USA, University of Pittsburgh,SE,female
AMNAT,2008,,,Editorial Board,Craig,W.,Benkman,,USA,University of Wyoming,SE,male
AMNAT,2008,,,Editorial Board,Benjamin,,Bolker,,USA, University of Florida,SE,male
AMNAT,2008,,,Editorial Board,Edmund,D.,Brodie,III,USA, Indiana University,SE,male
AMNAT,2008,,,Editorial Board,Armando,,Caballero,,Spain, Universidad de Vigo,SE,male
AMNAT,2008,,,Editorial Board,Steven,L.,Chown,,South Africa, University of Stellenbosch ,SE,male
AMNAT,2008,,,Editorial Board,Andrew,,Clarke,,England,"British Antarctic Survey, Cambridge",SE,male
AMNAT,2008,,,Editorial Board,Tim,,Coulson,,England, Imperial College,SE,male
AMNAT,2008,,,Editorial Board,Troy,,Day,,Canada, Queens University,SE,male
AMNAT,2008,,,Editorial Board,Gregory,E.,Demas,,USA,Indiana University,SE,male
AMNAT,2008,,,Editorial Board,Claire,,deMezancourt,,England,"Imperial College,Silwood Park",SE,female
AMNAT,2008,,,Editorial Board,Sebastian,,Diehl,,Germany, Ludwig-Maximilians-Universitat Munchen,SE,male
AMNAT,2008,,,Editorial Board,Kathleen,,Donohue,,USA,Harvard University,SE,female
AMNAT,2008,,,Editorial Board,Robert,,Dudley,,USA, University of California-Berkeley,SE,male
AMNAT,2008,,,Editorial Board,Greg,,Dwyer,,USA,University of Chicago,SE,male
AMNAT,2008,,,Editorial Board,Elizabeth,,Elle,,Canada, Simon Fraser University,SE,female
AMNAT,2008,,,Editorial Board,William,F.,Fagan,,USA, University of Maryland,SE,male
AMNAT,2008,,,Editorial Board,James,D.,Fry,,USA, University of Rochester,SE,male
AMNAT,2008,,,Editorial Board,Greg,,Gibson,,USA, North Carolina State University,SE,male
AMNAT,2008,,,Editorial Board,George,W.,Gilchrist,,USA, College of William and Mary,SE,male
AMNAT,2008,,,Editorial Board,Volker,,Grimm,,Germany, UfZ Centre for Environmental Research Leipzig-Halle,SE,male
AMNAT,2008,,,Editorial Board,Stephen,B.,Heard,,Canada, University of New Brunswick,SE,male
AMNAT,2008,,,Editorial Board,Michael,E.,Hellberg,,USA, Louisiana State University,SE,male
AMNAT,2008,,,Editorial Board,Marcel,,Holyoak,,USA, University of California-Davis,SE,male
AMNAT,2008,,,Editorial Board,Raymond,B.,Huey,,USA, University of Washington,SE,male
AMNAT,2008,,,Editorial Board,Jef,,Huisman,,Netherlands, University of Amsterdam,SE,male
AMNAT,2008,,,Editorial Board,Frederic,C.,Janzen,,USA, Iowa State University,SE,male
AMNAT,2008,,,Editorial Board,Bruce,C.,Jayne,,USA,University of Cincinnati,SE,male
AMNAT,2008,,,Editorial Board,Jukka,,Jokela,,Switzerland,EAWAG/ETH-Zurich,SE,male
AMNAT,2008,,,Editorial Board,Susan,,Kalisz,,USA,University of Pittsburgh,SE,female
AMNAT,2008,,,Editorial Board,Matt,J.,Keeling,,England, University of Warwick,SE,male
AMNAT,2008,,,Editorial Board,Ellen,D.,Ketterson,,USA, Indiana University,SE,female
AMNAT,2008,,,Editorial Board,Christopher,A.,Klausmeier,,USA,Michigan State University,SE,male
AMNAT,2008,,,Editorial Board,Martin,J.,Lechowicz,,Canada,McGill University,SE,male
AMNAT,2008,,,Editorial Board,Thomas,,Lenormand,,France, CNRS,SE,male
AMNAT,2008,,,Editorial Board,Marc,,Mangel,,USA,University of California-Santa Cruz,SE,male
AMNAT,2008,,,Editorial Board,John,L.,Maron,,USA,University of Montana,SE,male
AMNAT,2008,,,Editorial Board,Justin,,Marshall,,Australia,University of Queensland,SE,male
AMNAT,2008,,,Editorial Board,Emilia,,Martins,,USA,Indiana University,SE,female
AMNAT,2008,,,Editorial Board,John,M.,McNamara,,England, Bristol University,SE,male
AMNAT,2008,,,Editorial Board,Yannis,,Michalakis,,France, CNRS-IRI-Montpellier,SE,male
AMNAT,2008,,,Editorial Board,Robert,,Montgomerie,,Canada, Queens University,SE,male
AMNAT,2008,,,Editorial Board,Wolf,M.,Mooij,,Netherlands, Netherlands Institute of Ecology,SE,male
AMNAT,2008,,,Editorial Board,Allen,L.,Moore,,England, University of Manchester,SE,male
AMNAT,2008,,,Editorial Board,Peter,J.,Morin,,USA, Rutgers University,SE,male
AMNAT,2008,,,Editorial Board,Sergey,,Nuzhdin,,USA,University of California-Davis,SE,male
AMNAT,2008,,,Editorial Board,Nipam,H.,Patel,,USA, University of California-Berkeley,SE,male
AMNAT,2008,,,Editorial Board,Catherine,A.,Pfister,,USA, University of Chicago,SE,female
AMNAT,2008,,,Editorial Board,Anna,,Qvarnstrom,,Sweden,University of Uppsala,SE,female
AMNAT,2008,,,Editorial Board,Susanne,S.,Renner,,USA, University of Missouri-St.Louis,SE,female
AMNAT,2008,,,Editorial Board,David,N.,Reznick,,USA, University of California-Riverside,SE,male
AMNAT,2008,,,Editorial Board,Sean,H.,Rice,,USA,Texas Tech University,SE,male
AMNAT,2008,,,Editorial Board,Daniel,L.,Roelke,,USA,Texas A&M University,SE,male
AMNAT,2008,,,Editorial Board,Pej,,Rohani,,USA,University of Georgia,SE,male
AMNAT,2008,,,Editorial Board,Locke,,Rowe,,Canada, University of Toronto,SE,male
AMNAT,2008,,,Editorial Board,Kaustuv,,Roy,,USA, University of California-San Diego,SE,male
AMNAT,2008,,,Editorial Board,Ben,,Sheldon,,England, University of Oxford,SE,male
AMNAT,2008,,,Editorial Board,Thomas,N.,Sherratt,,Canada,Carleton University,SE,male
AMNAT,2008,,,Editorial Board,Andrew,,Solow,,USA, Woods Hole Oceanographic Institute,SE,male
AMNAT,2008,,,Editorial Board,Peter,D.,Taylor,,Canada, Queens University,SE,male
AMNAT,2008,,,Editorial Board,David,,Waxman,,England, University of Sussex,SE,male
AMNAT,2008,,,Editorial Board,Franz,J.,Weissing,,Netherlands,University of Groningen,SE,male
AMNAT,2008,,,Editorial Board,Stuart,,West,,Scotland, Edinburgh University,SE,male
AMNAT,2008,,,Editorial Board,John,J.,Wiens,,USA, Stony Brook University,SE,male
AMNAT,2008,,,Natural HistoryEditor ,Henry,M.,Wilbur,,USA,University of Virginia,Special,male
AMNAT,2009,,,Editor,Donald,L.,DeAngelis,,USA, US Geological Survey and University of Miami,AE,male
AMNAT,2009,,,Editor,Ruth,G.,Shaw,,USA,University of Minnesota,AE,female
AMNAT,2009,,,Editor-in-Chief,Mark,A,McPeek,,USA,Dartmouth College,EIC,male
AMNAT,2009,,,Editorial Board,David,D.,Ackerly,,USA,University of California-Berkeley,SE,male
AMNAT,2009,,,Editorial Board,Elizabeth,,Adkins-Regan,,USA, Cornell University,SE,female
AMNAT,2009,,,Editorial Board,Fredrick,R.,Adler,,USA,University of Utah,SE,male
AMNAT,2009,,,Editorial Board,Priyanga,,Amarasekare,,USA,University of California-Los Angeles,SE,female
AMNAT,2009,,,Editorial Board,Maydianne,CB,Andrade,,Canada,University of Toronto-Scarborough,SE,female
AMNAT,2009,,,Editorial Board,Goran,,Arnqvist,,Sweden,University of Uppsala,SE,male
AMNAT,2009,,,Editorial Board,Tia-Lynn,,Ashman,,USA, University of Pittsburgh,SE,female
AMNAT,2009,,,Editorial Board,Charles,F.,Baer,,USA,University of Florida,SE,male
AMNAT,2009,,,Editorial Board,Uta,,Berger,,Germany,Dresden Institute of Technology,SE,female
AMNAT,2009,,,Editorial Board,Benjamin,,Bolker,,USA, University of Florida,SE,male
AMNAT,2009,,,Editorial Board,Daniel ,I.,Bolnick,,USA,University of Texas-Austin,SE,male
AMNAT,2009,,,Editorial Board,Janette,W.,Boughman,,USA,University of Wisconsin-Madison,SE,female
AMNAT,2009,,,Editorial Board,Edmund,D.,Brodie,III,USA, Indiana University,SE,male
AMNAT,2009,,,Editorial Board,Judith,L.,Bronstein,,USA,University of Arizona,SE,female
AMNAT,2009,,,Editorial Board,Armando,,Caballero,,Spain, Universidad de Vigo,SE,male
AMNAT,2009,,,Editorial Board,Steven,L.,Chown,,South Africa, University of Stellenbosch ,SE,male
AMNAT,2009,,,Editorial Board,Andrew,,Clarke,,England,"British Antarctic Survey, Cambridge",SE,male
AMNAT,2009,,,Editorial Board,Blaine,J.,Cole,,USA,University of Houston,SE,male
AMNAT,2009,,,Editorial Board,Tim,,Coulson,,England, Imperial College,SE,male
AMNAT,2009,,,Editorial Board,Ross,H.,Crozier,,Australia,James Cook University,SE,male
AMNAT,2009,,,Editorial Board,Gregory,E.,Demas,,USA,Indiana University,SE,male
AMNAT,2009,,,Editorial Board,Claire,,deMezancourt,,England,"Imperial College,Silwood Park",SE,female
AMNAT,2009,,,Editorial Board,Kathleen,,Donohue,,USA,Harvard University,SE,female
AMNAT,2009,,,Editorial Board,Robert,,Dudley,,USA, University of California-Berkeley,SE,male
AMNAT,2009,,,Editorial Board,Greg,,Dwyer,,USA,University of Chicago,SE,male
AMNAT,2009,,,Editorial Board,Christopher,G.,Eckert,,Canada,Queens University,SE,male
AMNAT,2009,,,Editorial Board,Santiago,F. ,Elena,,Spain,Consejo Superior de Investigaciones Cientificas,SE,male
AMNAT,2009,,,Editorial Board,Elizabeth,,Elle,,Canada, Simon Fraser University,SE,female
AMNAT,2009,,,Editorial Board,James,D.,Fry,,USA, University of Rochester,SE,male
AMNAT,2009,,,Editorial Board,Greg,,Gibson,,USA, North Carolina State University,SE,male
AMNAT,2009,,,Editorial Board,George,W.,Gilchrist,,USA, College of William and Mary,SE,male
AMNAT,2009,,,Editorial Board,Volker,,Grimm,,Germany, UfZ Centre for Environmental Research Leipzig-Halle,SE,male
AMNAT,2009,,,Editorial Board,Stephen,B.,Heard,,Canada, University of New Brunswick,SE,male
AMNAT,2009,,,Editorial Board,Michael,E.,Hellberg,,USA, Louisiana State University,SE,male
AMNAT,2009,,,Editorial Board,Carol,C.,Horvitz,,USA,University of Miami,SE,female
AMNAT,2009,,,Editorial Board,Lynn,D.,Houck,,USA,Oregon State University,SE,female
