JOURNAL,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,YEAR,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code,INST2
AMNAT,137,1,2226,Leslie,A,Real,1991,Leslie A Real,Editorial.Board,SE,,,,,USA,USA,
AMNAT,137,1,3697,V,Louise,Roth,1991,V Louise Roth,Editorial.Board,SE,,,,,USA,USA,
AMNAT,137,1,2917,Paul,W,Sherman,1991,Paul W Sherman,Editorial.Board,SE,Cornell University,,Ithaca,New York,USA,USA,
AMNAT,137,1,891,David,,Tilman,1991,David Tilman,Editorial.Board,SE,,,,,USA,USA,
AMNAT,137,1,1912,Joseph,,Travis,1991,Joseph Travis,Editorial.Board,SE,Florida State University,,Tallahassee,Florida,USA,USA,
AMNAT,137,1,601,Chung-I,,Wu,1991,Chung-I Wu,Editorial.Board,SE,,,,,USA,USA,
AMNAT,139,1,1437,Jeanne,,Altmann,1992,Jeanne Altmann,Editorial.Board,SE,University of Chicago,,Chicago,Illinois,USA,USA,
AMNAT,139,1,1062,F,Stuart,Chapin,1992,F Stuart Chapin,Editorial.Board,SE,,,,,USA,USA,
AMNAT,139,1,648,Deborah,,Charlesworth,1992,Deborah Charlesworth,Editorial.Board,SE,University of Chicago,,Chicago,Illinois,USA,USA,
AMNAT,139,1,2782,Peter,,Chesson,1992,Peter Chesson,Editorial.Board,SE,Australian National University,,Canberra,New South Wales,Australia,AUS,
AMNAT,139,1,3022,Robert,K,Colwell,1992,Robert K Colwell,Editorial.Board,SE,University of Connecticut,,Storrs,Connecticut,USA,USA,
AMNAT,139,1,1524,Jerry,A,Coyne,1992,Jerry A Coyne,Editorial.Board,SE,University of Chicago,,Chicago,Illinois,USA,USA,
AMNAT,139,1,3835,Yoh,,Iwasa,1992,Yoh Iwasa,Editorial.Board,SE,Kyushu University ,,Fukuoka,Kyushu,Japan,JPN,
AMNAT,139,1,115,Alejandro,,Kacelnik,1992,Alejandro Kacelnik,Editorial.Board,SE,Oxford University,,Oxford,England,UK,GBR,
AMNAT,139,1,1668,Joel,Green,Kingsolver,1992,Joel Green Kingsolver,Editorial.Board,SE,University of Washington,,Seattle,Washington,USA,USA,
AMNAT,139,1,2435,Mark,,Kirkpatrick,1992,Mark Kirkpatrick,Editorial.Board,SE,University of Texas,,Austin,Texas,USA,USA,
AMNAT,139,1,3129,Richard,,Law,1992,Richard Law,Editorial.Board,SE,University of York,,York,England,UK,GBR,
AMNAT,139,1,3603,Thomas,R,Meagher,1992,Thomas R Meagher,Editorial.Board,SE,Rutgers University,,New Brunswick,New Jersey,USA,USA,
AMNAT,139,1,327,Brent,D,Mishler,1992,Brent D Mishler,Editorial.Board,SE,,,,,USA,USA,
AMNAT,139,1,3426,Stephen,W,Pacala,1992,Stephen W Pacala,Editorial.Board,SE,,,,,USA,USA,
AMNAT,139,1,1240,Geoffrey,A,Parker,1992,Geoffrey A Parker,Editorial.Board,SE,University of Liverpool,,Liverpool,England,UK,GBR,
AMNAT,139,1,1800,John,,Pastor,1992,John Pastor,Editorial.Board,SE,"University of Minnesota, Duluth",,Duluth,Minnesota,USA,USA,
AMNAT,139,1,2532,Mark,D,Rausher,1992,Mark D Rausher,EIC,EIC,,,,,USA,USA,
AMNAT,139,1,3786,William,R,Rice,1992,William R Rice,Editorial.Board,SE,"University of California, Santa Cruz",,Santa Cruz,California,USA,USA,
AMNAT,139,1,3697,V,Louise,Roth,1992,V Louise Roth,Editorial.Board,SE,Duke University,,Durham,North Carolina,USA,USA,
AMNAT,139,1,1861,Jon,,Seger,1992,Jon Seger,Editorial.Board,SE,University of Utah,,Salt Lake City,Utah,USA,USA,
AMNAT,139,1,2917,Paul,W,Sherman,1992,Paul W Sherman,Editorial.Board,SE,,,,,USA,USA,
AMNAT,139,1,3804,Wayne,P,Sousa,1992,Wayne P Sousa,Editorial.Board,SE,"University of California, Berkeley",,Berkeley,California,USA,USA,
AMNAT,139,1,1886,Judy,A,Stamps,1992,Judy A Stamps,Editorial.Board,SE,"University of California, Davis",,Davis,California,USA,USA,
AMNAT,139,1,1912,Joseph,,Travis,1992,Joseph Travis,Editorial.Board,SE,,,,,USA,USA,
AMNAT,139,1,2584,Marcy,,Uyenoyama,1992,Marcy Uyenoyama,Editorial.Board,SE,Duke University,,Durham,North Carolina,USA,USA,
AMNAT,139,1,1378,Henry,M,Wilbur,1992,Henry M Wilbur,Editorial.Board,SE,University of Virginia,,Charlottesville,Virginia,USA,USA,
AMNAT,139,1,601,Chung-I,,Wu,1992,Chung-I Wu,Editorial.Board,SE,University of Chicago,,Chicago,Illinois,USA,USA,
AMNAT,141,1,1437,Jeanne,,Altmann,1993,Jeanne Altmann,Editorial.Board,SE,,,,,USA,USA,
AMNAT,141,1,1062,F,Stuart,Chapin,1993,F Stuart Chapin,Editorial.Board,SE,,,,,USA,USA,
AMNAT,141,1,648,Deborah,,Charlesworth,1993,Deborah Charlesworth,Editorial.Board,SE,,,,,USA,USA,
AMNAT,141,1,2782,Peter,,Chesson,1993,Peter Chesson,Editorial.Board,SE,,,,,Australia,AUS,
AMNAT,141,1,3022,Robert,K,Colwell,1993,Robert K Colwell,Editorial.Board,SE,,,,,USA,USA,
AMNAT,141,1,1524,Jerry,A,Coyne,1993,Jerry A Coyne,Editorial.Board,SE,,,,,USA,USA,
AMNAT,141,1,3835,Yoh,,Iwasa,1993,Yoh Iwasa,Editorial.Board,SE,,,,,Japan,JPN,
AMNAT,141,1,115,Alejandro,,Kacelnik,1993,Alejandro Kacelnik,Editorial.Board,SE,,,,,UK,GBR,
AMNAT,141,1,1668,Joel,Green,Kingsolver,1993,Joel Green Kingsolver,Editorial.Board,SE,,,,,USA,USA,
AMNAT,141,1,2435,Mark,,Kirkpatrick,1993,Mark Kirkpatrick,Editorial.Board,SE,,,,,USA,USA,
AMNAT,141,1,3129,Richard,,Law,1993,Richard Law,Editorial.Board,SE,,,,,UK,GBR,
AMNAT,141,1,3603,Thomas,R,Meagher,1993,Thomas R Meagher,Editorial.Board,SE,,,,,USA,USA,
AMNAT,141,1,327,Brent,D,Mishler,1993,Brent D Mishler,Editorial.Board,SE,,,,,USA,USA,
AMNAT,141,1,3426,Stephen,W,Pacala,1993,Stephen W Pacala,Editorial.Board,SE,,,,,USA,USA,
AMNAT,141,1,1800,John,,Pastor,1993,John Pastor,Editorial.Board,SE,,,,,USA,USA,
