no,JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code,other address,,,,2017 current address,,,
49,JECOL,1989,77,1,2419,Michael,J,Hutchings,Michael J Hutchings,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
50,JECOL,1989,77,1,3108,Robert,L,Jefferies,Robert L Jefferies,SE,SE,NoInst,,,,Canada,CAN,,,,,,,,
51,JECOL,1989,77,1,130,Alan,J,Lack,Alan J Lack,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
52,JECOL,1989,77,1,1704,John,,Lee,John Lee,EIC,EIC,NoInst,,,,UK,GBR,,,,,,,,
53,JECOL,1989,77,1,3395,Stephen,P,Long,Stephen P Long,SE,SE,NoInst,,,,USA,USA,,,,,,,,
54,JECOL,1989,77,1,1872,Jonathan,,Silvertown,Jonathan Silvertown,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
55,JECOL,1989,77,1,1036,Eddy,,VanDerMeijden,Eddy VanDerMeijden,SE,SE,NoInst,,,,Netherlands,NLD,,,,,,,,
56,JECOL,1989,77,1,3911,James,,White,James White,AE,AE,NoInst,,,,Ireland,IRL,,,,,,,,
57,JECOL,1989,77,1,3874,D,A,Williams,D A Williams,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
58,JECOL,1990,78,1,2281,Mike,P,Austin,Mike P Austin,SE,SE,NoInst,,,,Australia,AUS,,,,,,,,
59,JECOL,1990,78,1,1519,John,,Connolly,John Connolly,SE,SE,NoInst,,,,Ireland,IRL,,,,,,,,
60,JECOL,1990,78,1,2338,M,J,Crawley,M J Crawley,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
61,JECOL,1990,78,1,2342,M,S,Davies,M S Davies,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
62,JECOL,1990,78,1,1564,John,R,Etherington,John R Etherington,AE,AE,NoInst,,,,UK,GBR,,,,,,,,
63,JECOL,1990,78,1,3108,Robert,L,Jefferies,Robert L Jefferies,SE,SE,NoInst,,,,Canada,CAN,,,,,,,,
64,JECOL,1990,78,1,130,Alan,J,Lack,Alan J Lack,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
65,JECOL,1990,78,1,1704,John,,Lee,John Lee,EIC,EIC,NoInst,,,,UK,GBR,,,,,,,,
66,JECOL,1990,78,1,3395,Stephen,P,Long,Stephen P Long,SE,SE,NoInst,,,,USA,USA,,,,,,,,
67,JECOL,1990,78,1,1872,Jonathan,,Silvertown,Jonathan Silvertown,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
68,JECOL,1990,78,1,1036,Eddy,,VanDerMeijden,Eddy VanDerMeijden,SE,SE,NoInst,,,,Netherlands,NLD,,,,,,,,
69,JECOL,1990,78,1,3911,James,,White,James White,AE,AE,NoInst,,,,Ireland,IRL,,,,,,,,
70,JECOL,1990,78,1,3874,D,A,Williams,D A Williams,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
71,JECOL,1990,78,1,1144,F,Ian,Woodward,F Ian Woodward,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
72,JECOL,1991,79,1,2281,Mike,P,Austin,Mike P Austin,SE,SE,NoInst,,,,Australia,AUS,,,,,,,,
73,JECOL,1991,79,1,2979,Richard,W,Battarbee,Richard W Battarbee,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
74,JECOL,1991,79,1,644,David,R,Causton,David R Causton,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
75,JECOL,1991,79,1,1519,John,,Connolly,John Connolly,SE,SE,NoInst,,,,Ireland,IRL,,,,,,,,
76,JECOL,1991,79,1,2338,M,J,Crawley,M J Crawley,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
77,JECOL,1991,79,1,2342,M,S,Davies,M S Davies,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
78,JECOL,1991,79,1,690,David,R,Foster,David R Foster,SE,SE,NoInst,,,,USA,USA,,,,,,,,
79,JECOL,1991,79,1,89,Alan,J,Gray,Alan J Gray,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
80,JECOL,1991,79,1,2419,Michael,J,Hutchings,Michael J Hutchings,SE,SE,NoInst,,,,UK,GBR,,,,,,,,
81,JECOL,1991,79,1,1210,George,L,Jacobson,George L Jacobson,SE,SE,NoInst,,,,USA,USA,,,,,,,,
