,journal,year,volume,issue,editor_id.x,editor_id.y,first_name,middle_name,last_name,title,category,inst,unit,city,state,country,country_prior_class,geo.code,geo.code_prior_class,gender,notes
147,OECOL,1992,89,1,3490,NA,Staffan,NA,Ulfstrand,Editorial.Board,SE,University of Uppsala,missing,Uppsala ,missing,Sweden,NA,SWE,NA,NA,DOUBLE CHECK INST
116,OECOL,1994,97,1,2074,NA,Karsten,NA,Reise,Editorial.Board,SE,Biological Institute Helgoland,missing,List,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
133,OECOL,1994,97,1,867,NA,Daniel,NA,Simberloff,Editorial.Board,SE,Florida State University ,missing,Tallahassee,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
55,OECOL,1995,101,1,2831,NA,Peter,NA,Hogberg,Editorial.Board,SE,Swedish University of Agricultural Science,missing,Umea,missing,Sweden,NA,SWE,NA,NA,DOUBLE CHECK INST
56,OECOL,1995,101,1,724,NA,David,NA,Hollinger,Editorial.Board,SE,US Forest Service,missing,Durham,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
87,OECOL,1995,101,1,764,NA,David,NA,Lincoln,Editorial.Board,SE,University of South Carolina,missing,Columbia,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
124,OECOL,1995,101,1,351,NA,Bernhard,NA,Schmid,Editorial.Board,SE,University of Zurich,missing,Zurich,missing,Switzerland,NA,CHE,NA,NA,DOUBLE CHECK INST
145,OECOL,1996,105,1,3648,NA,Teja,NA,Tscharntke,Editorial.Board,SE,University of Gottingen,missing,Gottingen,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
17,OECOL,1997,109,4,2996,NA,Roland,NA,Brandl,Editorial.Board,SE,UFZ Helmholtz Ctr Environm Res,missing,Bad Lauchstadt,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
49,OECOL,1997,109,4,1308,NA,Hermann,NA,Heilmeier,Editorial.Board,SE,University of Wurzburg,missing,Tharandt,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
61,OECOL,1997,109,4,3371,NA,Sven,NA,Jonasson,Editorial.Board,SE,University of Copenhagen ,missing,Copenhagen,missing,Denmark,NA,DNK,NA,NA,DOUBLE CHECK INST
160,OECOL,1997,109,4,3706,NA,Volkmar,NA,Wolters,Editorial.Board,SE,University of Giessen,missing,Giessen,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
31,OECOL,1998,113,4,2001,NA,Konrad,NA,Fiedler,Editorial.Board,SE,University of Bayreuth,missing,Bayreuth,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
45,OECOL,1998,113,4,98,NA,Alan,NA,Hastings,Editorial.Board,SE,University of California Davis,missing,Davis,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
109,OECOL,1998,113,4,168,NA,Andrea,NA,Polle,Editorial.Board,SE,University of Gottingen,missing,Gottingen,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
118,OECOL,1998,113,4,1843,NA,Jay,NA,Rosenheim,Editorial.Board,SE,University of California Davis,missing,Davis,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
120,OECOL,1998,113,4,1853,NA,Jose,NA,Sarukhan,Editorial.Board,SE,National Autonomous University Mexico,missing,Mexico City,missing,Mexico,NA,MEX,NA,NA,DOUBLE CHECK INST
123,OECOL,1998,113,4,3462,NA,Stefan,NA,Scheu,Editorial.Board,SE,Technical University of Darmstadt,missing,Darmstadt,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
135,OECOL,1998,113,4,2096,NA,Ken,NA,Spitze,Editorial.Board,SE,University of Miami,missing,Coral Gables,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
139,OECOL,1998,113,4,1261,NA,Glenn,NA,Stewart,Editorial.Board,SE,NA,missing,Brisbane,missing,Australia,NA,AUS,NA,NA,DOUBLE CHECK INST
43,OECOL,1999,118,4,3347,NA,Stefan,NA,Halle,Editorial.Board,SE,Friedrich-Schiller University of Jena,missing,Jena,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
100,OECOL,1999,118,4,2501,NA,Markku,NA,Orell,Editorial.Board,SE,University of Oulu,missing,Oulu,missing,Finland,NA,FIN,NA,NA,DOUBLE CHECK INST
140,OECOL,1999,118,4,208,NA,Allan,NA,Stewart-Oaten,Editorial.Board,SE,University of California Santa Barbara,missing,Santa Barbara,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
156,OECOL,1999,118,4,2606,NA,Mark,NA,Westoby,Editorial.Board,SE,Macquarie University  ,missing,New South Wales,missing,Australia,NA,AUS,NA,NA,DOUBLE CHECK INST
161,OECOL,1999,118,4,923,NA,Dan,NA,Yakir,Editorial.Board,SE,Weizmann Institute of Science,missing,Rehovot,missing,Israel,NA,ISR,NA,NA,DOUBLE CHECK INST
14,OECOL,2000,122,4,1981,NA,Katrin,NA,Bohning-Gaese,Editorial.Board,SE,RWTH Aachen University,missing,Aachen,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
26,OECOL,2000,122,4,3315,NA,Sebastian,NA,Diehl,Editorial.Board,SE,University of Munich,missing,Munchen,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
35,OECOL,2000,122,4,77,NA,Anders,NA,Forsman,Editorial.Board,SE,University of Vaxjo,missing,Vaxjo,missing,Sweden,NA,SWE,NA,NA,DOUBLE CHECK INST
37,OECOL,2000,122,4,1589,NA,Jean-Michel,NA,Gaillard,Editorial.Board,SE,University of Lyon,missing,Villeurbanne,missing,France,NA,FRA,NA,NA,DOUBLE CHECK INST
89,OECOL,2000,122,4,2455,NA,Michel,NA,Loreau,Editorial.Board,SE,University of Paris,missing,Paris,missing,France,NA,FRA,NA,NA,DOUBLE CHECK INST
110,OECOL,2000,122,4,1346,NA,Hendrik,NA,Poorter,Editorial.Board,SE,University of Utrecht,missing,Utrecht,missing,Netherlands,NA,NLD,NA,NA,DOUBLE CHECK INST
60,OECOL,2001,126,4,3105,NA,Robert,NA,Jackson,Editorial.Board,SE,Duke University,missing,Durham,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
80,OECOL,2001,126,4,307,NA,Beverly,NA,Law,Editorial.Board,SE,Oregon State University ,missing,Corvallis,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
132,OECOL,2001,126,4,3800,NA,Whendee,NA,Silver,Editorial.Board,SE,University of California Berkeley,missing,Berkeley,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
18,OECOL,2002,130,4,2632,NA,Nina,NA,Buchmann,Editorial.Board,SE,Max Planck Institute of Biogeochemistry,missing,Jena,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
125,OECOL,2002,130,4,2740,NA,Oswald,J,Schmitz,Editorial.Board,SE,Yale University,missing,New Haven,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
19,OECOL,2003,134,4,2319,NA,Mercedes,NA,Bustamante,Editorial.Board,SE,University of Brasilia,missing,Brasilia,missing,Brazil,NA,BRA,NA,NA,DOUBLE CHECK INST
33,OECOL,2003,134,4,2368,NA,Mary,NA,Firestone,Editorial.Board,SE,University of California Berkeley,missing,Berkeley,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
39,OECOL,2003,134,4,1591,NA,Jorg,NA,Ganzhorn,Editorial.Board,SE,University of Hamburg,missing,Hamburg,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
57,OECOL,2003,134,4,1646,NA,Jef,NA,Huisman,Editorial.Board,SE,University of Amsterdam,missing,Amsterdam,missing,Netherlands,NA,NLD,NA,NA,DOUBLE CHECK INST
95,OECOL,2003,134,4,782,NA,Diethart,NA,Matthies,Editorial.Board,SE,University of Marburg,missing,Marburg,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
102,OECOL,2003,134,4,541,NA,Colin,NA,Orians,Editorial.Board,SE,Tufts University,missing,Medford,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
134,OECOL,2003,134,4,3672,NA,Ulrich,NA,Sommer,Editorial.Board,SE,Institut Meereskunde,missing,Kiel,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
72,OECOL,2004,138,1,1677,NA,Julia,NA,Koricheva,Editorial.Board,SE,University of Turku,missing,Turku,missing,Finland,NA,FIN,NA,NA,DOUBLE CHECK INST
136,OECOL,2004,138,1,363,NA,Bernhard,NA,Stadler,Editorial.Board,SE,University of Bayreuth,missing,Bayreuth,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
150,OECOL,2004,138,1,586,NA,Carol,NA,Vleck,Editorial.Board,SE,Iowa State University,missing,Ames,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
4,OECOL,2005,142,1,3274,NA,Sven,NA,Bacher,Editorial.Board,SE,Zoological Institute,missing,Bern,missing,Switzerland,NA,CHE,NA,NA,DOUBLE CHECK INST
20,OECOL,2005,142,1,3844,NA,Zoe,Green,Cardon,Editorial.Board,SE,University of Connecticut,missing,Storrs,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
46,OECOL,2005,142,1,3354,NA,Stephan,NA,Hattenschwiler,Editorial.Board,SE,CNRS,missing,Montpellier,missing,France,NA,FRA,NA,NA,DOUBLE CHECK INST
92,OECOL,2005,142,1,995,NA,Elizabeth,NA,Marschall,Editorial.Board,SE,Ohio State University,missing,Columbus,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
94,OECOL,2005,142,1,520,NA,Carlos,NA,MartinezDelRio,Editorial.Board,SE,University of Wyoming,missing,Laramie,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
138,OECOL,2005,142,1,1421,NA,Ingolf,NA,Steffan-Dewenter,Editorial.Board,SE,University of Gottingen,missing,Gottingen,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
7,OECOL,2006,146,4,1284,NA,Hormoz,NA,BassiriRad,Editorial.Board,SE,University of Illinois,missing,Chicago,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
67,OECOL,2006,146,4,2432,NA,Michael,NA,Keough,Editorial.Board,SE,University of Melbourne,missing,Victoria,missing,Australia,NA,AUS,NA,NA,DOUBLE CHECK INST
148,OECOL,2006,146,4,1136,NA,Fernando,NA,Valladares,Editorial.Board,SE,Centro de ciencias medioambientales,missing,Madrid,missing,Spain,NA,ESP,NA,NA,DOUBLE CHECK INST
162,OECOL,2006,146,4,1382,NA,Hannu,NA,Ylonen,Editorial.Board,SE,University of Jyvaskyla,missing,Jyvaskyla,missing,Finland,NA,FIN,NA,NA,DOUBLE CHECK INST
41,OECOL,2007,150,4,88,NA,Andrew,NA,Gonzalez,Editorial.Board,SE,McGill University,missing,Montreal,missing,Canada,NA,CAN,NA,NA,DOUBLE CHECK INST
53,OECOL,2007,150,4,2015,NA,Kouki,NA,Hikosaka,Editorial.Board,SE,Tohoku University,missing,Aoba,missing,Japan,NA,JPN,NA,NA,DOUBLE CHECK INST
66,OECOL,2007,150,4,3116,NA,Richard,NA,Karban,Editorial.Board,SE,University of California Davis,missing,Davis,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
152,OECOL,2007,150,4,1374,NA,Hakan,NA,Wallander,Editorial.Board,SE,Lund University ,missing,Lund,missing,Sweden,NA,SWE,NA,NA,DOUBLE CHECK INST
36,OECOL,2008,154,4,2376,NA,Miguel,NA,Franco,Handling.Editor,SE,University of Plymouth,missing,Plymouth,missing,United Kingdom,NA,GBR,NA,NA,DOUBLE CHECK INST
64,OECOL,2008,154,4,985,NA,Elisabeth,KV,Kalko,Handling.Editor,SE,Ulm University,missing,Ulm,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
84,OECOL,2008,154,4,1326,NA,Herwig,NA,Leirs,Handling.Editor,SE,University of Antwerp,missing,Antwerpen,missing,Belgium,NA,BEL,NA,NA,DOUBLE CHECK INST
114,OECOL,2008,154,4,1822,NA,Jacek,NA,Radwan,Handling.Editor,SE,Jagiellonian University,missing,Krakow,missing,Poland,NA,POL,NA,NA,DOUBLE CHECK INST
131,OECOL,2008,154,4,1362,NA,Heli,NA,Siitari,Handling.Editor,SE,University of Jyvaskyla,missing,Jyvaskyla,missing,Finland,NA,FIN,NA,NA,DOUBLE CHECK INST
141,OECOL,2008,154,4,1897,NA,Janne,NA,Sundell,Handling.Editor,SE,University of Helsinki,missing,Helsinki,missing,Finland,NA,FIN,NA,NA,DOUBLE CHECK INST
9,OECOL,2009,158,4,243,NA,Brian,NA,Beckage,Handling.Editor,SE,University of Vermont,missing,Burlingotn,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
47,OECOL,2009,158,4,99,NA,Andrew,NA,Hector,Handling.Editor,SE,University of Zurich,missing,Zurich,missing,Switzerland,NA,CHE,NA,NA,DOUBLE CHECK INST
