,journal,year,volume,issue,editor_id.x,editor_id.y,first_name,middle_name,last_name,title,category,inst,unit,city,state,country,country_prior_class,geo.code,geo.code_prior_class,gender,notes
151,OECOL,2013,171,1,587,NA,Christian,NA,Voigt,Handling.Editor,SE,Leibniz Institute for Zoo & Wildlife Research ,missing,Berlin,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
2,OECOL,2014,174,1,1441,NA,Juan,NA,Armesto,Handling.Editor,SE,Pontificia Universidad Catolica de Chile,missing,Santiago,missing,Chile,NA,CHL,NA,NA,DOUBLE CHECK INST
16,OECOL,2014,174,1,633,NA,Dave,NA,Bowling,Handling.Editor,SE,University of Utah,missing,Salt Lake City,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
25,OECOL,2014,174,1,3040,NA,Raphael,NA,Didham,Editorial.Board,SE,University of Western Australia,missing,Crawley,missing,United Kingdom,NA,GBR,NA,NA,DOUBLE CHECK INST
30,OECOL,2014,174,1,2644,NA,Nina,NA,Farwig,Handling.Editor,SE,University of Mainz,missing,Marburg,missing,Germany,NA,DEU,NA,NA,DOUBLE CHECK INST
38,OECOL,2014,174,1,458,NA,Candace,NA,Galen,Handling.Editor,SE,University of Missouri,missing,Columbia,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
48,OECOL,2014,174,1,2408,NA,Martin,NA,Heil,Handling.Editor,SE,CINVESTAV Irapuato,missing,Irapuato,missing,Mexico,NA,MEX,NA,NA,DOUBLE CHECK INST
51,OECOL,2014,174,1,102,NA,Allen,NA,Herre,Handling.Editor,SE,NA,missing,"Washington, DC",missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
59,OECOL,2014,174,1,2420,NA,Moshe,NA,Inbar,Handling.Editor,SE,University of Haifa,missing,Haifa,missing,Israel,NA,ISR,NA,NA,DOUBLE CHECK INST
65,OECOL,2014,174,1,2426,NA,Merijn,NA,Kant,Handling.Editor,SE,University of Amsterdam,missing,Amsterdam,missing,Netherlands,NA,NLD,NA,NA,DOUBLE CHECK INST
70,OECOL,2014,174,1,1673,NA,Jamie,NA,Kneitel,Handling.Editor,SE,California State University ,missing,Sacramento,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
79,OECOL,2014,174,1,1699,NA,Jennifer,NA,Lau,Handling.Editor,SE,Michigan State University,missing,Hickory Corners,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
108,OECOL,2014,174,1,555,NA,Corne,MJ,Pieterse,Handling.Editor,SE,University of Utrecht,missing,Utrecht,missing,Netherlands,NA,NLD,NA,NA,DOUBLE CHECK INST
112,OECOL,2014,174,1,2522,NA,Maria,J,Pozo,Handling.Editor,SE,CSIC,missing,Granada,missing,Spain,NA,ESP,NA,NA,DOUBLE CHECK INST
119,OECOL,2014,174,1,1851,NA,Joel,NA,Sachs,Handling.Editor,SE,University of California Riverside,missing,Riverside ,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
143,OECOL,2014,174,1,1905,NA,Jennifer,NA,Thaler,Handling.Editor,SE,Cornell University ,missing,Ithaca,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
144,OECOL,2014,174,1,1369,NA,Heather,NA,Throop,Handling.Editor,SE,New Mexico State University ,missing,Las Cruces,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
153,OECOL,2014,174,1,2255,NA,Laurence,NA,Ward,Handling.Editor,SE,NA,missing,Lawrence,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
157,OECOL,2014,174,1,232,NA,Aaron,NA,Wirsing,Handling.Editor,SE,University of Washington,missing,Seattle,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
