,journal,year,editor_id,first_na,middle_,last_na,inst,unit,city,state,country,notes
241,JAPE,2011,454,Chris,LJ,Frid,,,,,,
242,JAPE,2012,454,Chris,LJ,Frid,,,,,,
243,JAPE,2013,454,Chris,LJ,Frid,,,,,,
244,JAPE,2014,454,Chris,LJ,Frid,,,,,,
245,JAPE,2015,454,Chris,LJ,Frid,,,,,,
426,JAPE,1989,521,Christoph,NA,Mason,University of Essex,unknown,unknown,Colchester,United Kingdom,
427,JAPE,1990,521,Christoph,NA,Mason,,,,,,
428,JAPE,1991,521,Christoph,NA,Mason,,,,,,
429,JAPE,1992,521,Christoph,NA,Mason,,,,,,
430,JAPE,1993,521,Christoph,NA,Mason,,,,,,
431,JAPE,1994,521,Christoph,NA,Mason,,,,,,
432,JAPE,1995,521,Christoph,NA,Mason,,,,,,
433,JAPE,1996,521,Christoph,NA,Mason,,,,,,
777,JAPE,2007,593,Chris,NA,Wilcox,CSIRO Marine and Atmospheric Research,unknown,unknown,Hobart,Australia,
778,JAPE,2008,593,Chris,NA,Wilcox,,,,,,
779,JAPE,2009,593,Chris,NA,Wilcox,,,,,,
776,JAPE,2010,593,Chris,NA,Wilcox,,,,,,
780,JAPE,2011,593,Chris,NA,Wilcox,,,,,,
781,JAPE,2012,593,Chris,NA,Wilcox,,,,,,
1,JAPE,2011,608,David,NA,Angeler,Sweedish University of Agricultural Sciences,unknown,Uppsala,unknown,Sweden,
2,JAPE,2012,608,David,NA,Angeler,,,,,Sweden,
3,JAPE,2013,608,David,NA,Angeler,,,,,Sweden,
4,JAPE,2014,608,David,NA,Angeler,,,,,Sweden,
5,JAPE,2015,608,David,NA,Angeler,,,,,Sweden,
53,JAPE,1985,629,David,E,Bignell,University of London Westfield,unknown,unknown,London,United Kingdom,
54,JAPE,1986,629,David,E,Bignell,,,,,,
55,JAPE,1987,629,David,E,Bignell,,,,,,
56,JAPE,1988,629,David,E,Bignell,,,,,,
57,JAPE,1989,629,David,E,Bignell,,,,,,
58,JAPE,1990,629,David,E,Bignell,,,,,,
59,JAPE,1991,629,David,E,Bignell,University of London Queen Mary ,unknown,unknown,unknown,United Kingdom,
60,JAPE,1992,629,David,E,Bignell,,,,,,
61,JAPE,1993,629,David,E,Bignell,,,,,,
62,JAPE,1994,629,David,E,Bignell,,,,,,
63,JAPE,1995,629,David,E,Bignell,,,,,,
268,JAPE,2008,718,Daniel,NA,Haydon,University of Glasgow,unknown,unknown,Glasgow,United Kingdom,
269,JAPE,2009,718,Daniel,NA,Haydon,,,,,United Kingdom,
292,JAPE,1993,722,David,A,Hill,unknown,unknown,Thetford,unknown,United Kingdom,
293,JAPE,1994,722,David,A,Hill,,unknown,,,United Kingdom,
294,JAPE,1995,722,David,A,Hill,,unknown,Cambridge,unknown,United Kingdom,
295,JAPE,1996,722,David,A,Hill,,unknown,,,,
296,JAPE,1997,722,David,A,Hill,,unknown,,,,
297,JAPE,1998,722,David,A,Hill,,unknown,,,,
298,JAPE,1999,722,David,A,Hill,,unknown,,,,
318,JAPE,2011,727,Danny,NA,Hooftman,Centre for Ecology and Hydrology,unknown,Wallingford,unknown,United Kingdom,
319,JAPE,2012,727,Danny,NA,Hooftman,,unknown,,,,
320,JAPE,2013,727,Danny,NA,Hooftman,,unknown,,,,
321,JAPE,2014,727,Danny,NA,Hooftman,,unknown,,,,
322,JAPE,2015,727,Danny,NA,Hooftman,,unknown,,,,
369,JAPE,2007,747,David,NA,Kleijn,Wageningen University ,unknown,Nijmegen,unknown,Netherlands,
370,JAPE,2008,747,David,NA,Kleijn,,unknown,,,,
371,JAPE,2009,747,David,NA,Kleijn,,unknown,,,,
368,JAPE,2010,747,David,NA,Kleijn,,unknown,,,,
372,JAPE,2011,747,David,NA,Kleijn,,unknown,,,,
373,JAPE,2012,747,David,NA,Kleijn,,unknown,,,,
374,JAPE,2013,747,David,NA,Kleijn,,unknown,,,,
375,JAPE,2014,747,David,NA,Kleijn,,unknown,,,,
376,JAPE,2015,747,David,NA,Kleijn,,unknown,,,,
377,JAPE,2010,755,Doug,NA,Landis,Michigan State University ,unknown,unknown,East Lansing,USA,MISSING 2012
378,JAPE,2011,755,Doug,NA,Landis,,unknown,unknown,,USA,
379,JAPE,2013,755,Doug,NA,Landis,,unknown,unknown,,USA,
445,JAPE,1996,785,David,I,McCracken,Scottish Agricultural College,unknown,Auchincruive,Ayr,United Kingdom,
446,JAPE,1997,785,David,I,McCracken,,unknown,,,,
447,JAPE,1998,785,David,I,McCracken,,unknown,,,,
448,JAPE,1999,785,David,I,McCracken,,unknown,,,,
449,JAPE,2000,785,David,I,McCracken,,unknown,,,,
450,JAPE,2001,785,David,I,McCracken,,unknown,,,,
451,JAPE,2002,785,David,I,McCracken,,unknown,,,,
452,JAPE,2003,785,David,I,McCracken,,unknown,,,,
453,JAPE,2004,785,David,I,McCracken,,unknown,,,,
454,JAPE,2005,785,David,I,McCracken,,unknown,,,,
455,JAPE,2006,785,David,I,McCracken,,unknown,,,,
444,JAPE,2007,785,David,I,McCracken,,unknown,,,,
456,JAPE,2008,785,David,I,McCracken,,unknown,,,,
457,JAPE,2009,785,David,I,McCracken,,unknown,,,,
458,JAPE,2010,785,David,I,McCracken,,unknown,,,,
459,JAPE,2011,785,David,I,McCracken,,unknown,,,,
460,JAPE,2012,785,David,I,McCracken,,unknown,,,,
704,JAPE,2006,890,Des,NA,Thompson,Scottish Natural Heritage,unknown,Edinburgh,unknown,United Kingdom,
705,JAPE,2007,890,Des,NA,Thompson,,unknown,,,,
706,JAPE,2008,890,Des,NA,Thompson,,unknown,,,,
707,JAPE,2009,890,Des,NA,Thompson,,unknown,,,,
703,JAPE,2010,890,Des,NA,Thompson,,unknown,,,,
708,JAPE,2011,890,Des,NA,Thompson,,unknown,,,,
709,JAPE,2012,890,Des,NA,Thompson,,unknown,,,,
710,JAPE,2014,890,Des,NA,Thompson,,unknown,,,,
711,JAPE,2015,890,Des,NA,Thompson,,unknown,,,,
758,JAPE,1988,910,David,NA,Welch,unknown,unknown,Banchory,unknown,United Kingdom,
759,JAPE,1989,910,David,NA,Welch,,,,,,
760,JAPE,1990,910,David,NA,Welch,,,,,,
761,JAPE,1991,910,David,NA,Welch,,,,,,
762,JAPE,1992,910,David,NA,Welch,,,,,,
763,JAPE,1993,910,David,NA,Welch,,,,,,
764,JAPE,1994,910,David,NA,Welch,,,,,,
765,JAPE,1995,910,David,NA,Welch,,,,,,
766,JAPE,1996,910,David,NA,Welch,,,,,,
151,JAPE,2012,951,Erika,NA,Crispo,University of Calgary ,unknown,Calgary,Alberta,Canada,
152,JAPE,2013,951,Erika,NA,Crispo,,unknown,,,,
153,JAPE,2014,951,Erika,NA,Crispo,,unknown,,,,
154,JAPE,2015,951,Erika,NA,Crispo,,unknown,,,,
194,JAPE,2008,965,Esteban,NA,Fernandez-Juricic,California State,Biology,Long Beach,California,USA,
195,JAPE,2009,965,Esteban,NA,Fernandez-Juricic,Purdue University,Biology,West Lafayette,Indiana,USA,
193,JAPE,2010,965,Esteban,NA,Fernande-Juricic,,,,,,
196,JAPE,2011,965,Esteban,NA,Fernandez-Juricic,,,,,,
197,JAPE,2012,965,Esteban,NA,Fernandez-Juricic,,,,,,
198,JAPE,2013,965,Esteban,NA,Fernandez-Juricic,,,,,,
199,JAPE,2014,965,Esteban,NA,Fernandez-Juricic,,,,,,
200,JAPE,2015,965,Esteban,NA,Fernandez-Juricic,,,,,,
476,JAPE,2002,1004,Eleanor,Jane,Milner-Gulland,Imperial College ,unknown,unknown,London,United Kingdom,
477,JAPE,2003,1004,Eleanor,Jane,Milner-Gulland,,,,,,
478,JAPE,2004,1004,Eleanor,Jane,Milner-Gulland,,,,,,
479,JAPE,2005,1004,Eleanor,Jane,Milner-Gulland,,,,,,
480,JAPE,2006,1004,Eleanor,Jane,Milner-Gulland,,,,,,
481,JAPE,2007,1004,Eleanor,Jane,Milner-Gulland,,,,,,
475,JAPE,2008,1004,Eleanor,Jane,Milner-Gulland,,,,,,
482,JAPE,2009,1004,Eleanor,Jane,Milner-Gulland,,,,,,
483,JAPE,2010,1004,Eleanor,Jane,Milner-Gulland,,,,,,
484,JAPE,2011,1004,Eleanor,Jane,Milner-Gulland,,,,,,
485,JAPE,2012,1004,Eleanor,Jane,Milner-Gulland,,,,,,
486,JAPE,2013,1004,Eleanor,Jane,Milner-Gulland,,,,,,
487,JAPE,2014,1004,Eleanor,Jane,Milner-Gulland,,,,,,
500,JAPE,2010,1006,Eric,NA,Morgan,University of Bristol,unknown,unknown,Bristol,United Kingdom,
501,JAPE,2011,1006,Eric,NA,Morgan,,unknown,unknown,,,
502,JAPE,2012,1006,Eric,NA,Morgan,,unknown,unknown,,,
503,JAPE,2013,1006,Eric,NA,Morgan,,unknown,unknown,,,
504,JAPE,2014,1006,Eric,NA,Morgan,,unknown,unknown,,,
272,JAPE,2007,1079,Fangliang,NA,He,University of Alberta,unknown,Alberta,unknown,Canada,
273,JAPE,2008,1079,Fangliang,NA,He,,unknown,,,,
274,JAPE,2009,1079,Fangliang,NA,He,,unknown,,,,
271,JAPE,2010,1079,Fangliang,NA,He,,unknown,,,Canada,
334,JAPE,2000,1209,Glenn,R,Iason,University of Aberdeen,unknown,Aberdeen,unknown,United Kingdom,
335,JAPE,2001,1209,Glenn,R,Iason,,unknown,,,,
336,JAPE,2002,1209,Glenn,R,Iason,,unknown,,,,
337,JAPE,2003,1209,Glenn,R,Iason,,unknown,,,,
338,JAPE,2004,1209,Glenn,R,Iason,,unknown,,,,
629,JAPE,2005,1260,Graham,NA,Smith,unknown,unknown,York,unknown,United Kingdom,
630,JAPE,2006,1260,Graham,NA,Smith,,unknown,,,,
102,JAPE,2010,1290,Harald,NA,Bugmann,Swiss Federal Institute of Technology Zurich,unknown,Zurich,unknown,Switzerland,
103,JAPE,2011,1290,Harald,NA,Bugmann,,unknown,,,,
104,JAPE,2012,1290,Harald,NA,Bugmann,,unknown,,,,
105,JAPE,2013,1290,Harald,NA,Bugmann,,unknown,,,,
106,JAPE,2014,1290,Harald,NA,Bugmann,,unknown,,,,
107,JAPE,2015,1290,Harald,NA,Bugmann,,unknown,,,,
339,JAPE,1992,1316,Hugh,AP,Ingram,University of Dundee,Biological Sciences,Dundee,Scotland,United Kingdom,
340,JAPE,1993,1316,Hugh,AP,Ingram,,,,,,
341,JAPE,1994,1316,Hugh,AP,Ingram,,,,,,
342,JAPE,1995,1316,Hugh,AP,Ingram,,,,,,
343,JAPE,1996,1316,Hugh,AP,Ingram,,,,,,
