,journal,year,editor_id,first_name,middle_name,last_name,unit,inst,city,state,country,check,notes,correct_inst,correct_city,correct_state,correct_country
110,JBIOG,2011,1834,James,NA,Richardson,NA,missing,NA,NA,UK,2x,,,,,
112,JBIOG,2011,2232,Luiz,A,Rocha,NA,California Academy Of Sciences,NA,NA,United States,2x,NA,,,,
115,JBIOG,2012,343,Brett,R,Riddle,Department Of Biological Sciencies,University Of Nevada Las Vegas,NA,NA,United States,spotcheck,NA,,,,
116,JBIOG,2012,2232,Luiz,A,Rocha,NA,Uc Santa Cruz,NA,NA,United States,2x,NA,,,,
119,JBIOG,2013,1436,Jason,NA,Ali,NA,missing,NA,NA,Japan,2x,,,,,
121,JBIOG,2013,266,Brent,NA,Emerson,NA,missing,NA,NA,Spain,spotcheck,,,,,
125,JBIOG,2013,3125,Richard,J,Ladle,NA,Icbs Ufal And Oxford University,NA,NA,Brazil And UK,spotcheck,,,,,
127,JBIOG,2013,166,Albert,NA,Phillimore,NA,missing,NA,NA,UK,spotcheck,,,,,
131,JBIOG,2014,647,Daniel,NA,Chapman,NA,missing,NA,NA,UK,spotcheck,,,,,
136,JBIOG,2014,3125,Richard,J,Ladle,NA,Universidade Federal De Alagoas,NA,NA,Brazil,2x,,,,,
137,JBIOG,2014,1097,Fu-Min,NA,Lei,NA,missing,NA,NA,China,spotcheck,,,,,
